ФИО автора,название,год издания,количество страниц
Тургенев Иван Сергеевич,Хамелеон,1353,398
Бунин Иван Алексеевич,Хождение по мукам,1551,1205
Пушкин Александр Сергеевич,Пётр Первый,1422,1566
Шолохов Михаил Александрович,Первая любовь,1645,1218
Достоевский Фёдор Михайлович,Морфий,1980,1115
Некрасов Виктор Платонович,Судьба человека,1588,1940
Некрасов Виктор Платонович,Железная дорога,2019,43
Достоевский Фёдор Михайлович,Медный всадник,1483,1391
Шолохов Михаил Александрович,Белые ночи,1220,608
Гоголь Николай Васильевич,Первая любовь,1508,727
Шолохов Михаил Александрович,Хамелеон,1799,1468
Чехов Антон Павлович,Первая любовь,1948,1402
Пушкин Александр Сергеевич,Вишнёвый сад,1464,716
Пушкин Александр Сергеевич,Аэлита,1986,1168
Достоевский Фёдор Михайлович,Анна Каренина,2005,1550
Шолохов Михаил Александрович,Морфий,1998,80
Шолохов Михаил Александрович,Вий,1391,1406
Некрасов Виктор Платонович,Собачье сердце,1248,964
Тургенев Иван Сергеевич,Евгений Онегин,1888,318
Некрасов Виктор Платонович,Шинель,1457,312
Пушкин Александр Сергеевич,Крестьянские дети,1222,1113
Толстой Алексей Николаевич,Ионыч,1924,586
Гоголь Николай Васильевич,Белая гвардия,1891,1409
Бунин Иван Алексеевич,Война и мир,1533,367
Достоевский Фёдор Михайлович,Русские женщины,1818,1878
Тургенев Иван Сергеевич,Отцы и дети,1606,379
Шолохов Михаил Александрович,Белая гвардия,1486,1359
Некрасов Николай Алексеевич,Ася,1941,181
Тургенев Иван Сергеевич,Война и мир,1829,1660
Толстой Алексей Николаевич,Тёмные аллеи,1763,1052
Достоевский Фёдор Михайлович,Судьба человека,1736,444
Толстой Лев Николаевич,Хождение по мукам,1166,182
Толстой Лев Николаевич,Лёгкое дыхание,1524,540
Гоголь Николай Васильевич,Братья Карамазовы,1535,708
Пушкин Александр Сергеевич,Судьба человека,1366,1640
Достоевский Фёдор Михайлович,Первая любовь,1542,1642
Достоевский Фёдор Михайлович,Шинель,1370,555
Пушкин Александр Сергеевич,Хождение по мукам,1572,1246
Булгаков Михаил Афанасьевич,Евгений Онегин,1739,850
Пушкин Александр Сергеевич,Вий,1906,1444
Толстой Лев Николаевич,Белая гвардия,1285,1785
Некрасов Виктор Платонович,Крестьянские дети,1160,729
Достоевский Фёдор Михайлович,Тихий Дон,2001,110
Гоголь Николай Васильевич,В окопах Сталинграда,1202,1514
Толстой Лев Николаевич,Русские женщины,1303,844
Толстой Лев Николаевич,Шинель,1344,900
Гоголь Николай Васильевич,Вий,1679,599
Чехов Антон Павлович,Ионыч,1545,972
Некрасов Николай Алексеевич,В окопах Сталинграда,1529,655
Толстой Алексей Николаевич,Хождение по мукам,1634,63
Чехов Антон Павлович,Тарас Бульба,2009,1540
Некрасов Николай Алексеевич,Евгений Онегин,1550,587
Булгаков Михаил Афанасьевич,Тарас Бульба,2008,1932
Некрасов Николай Алексеевич,Антоновские яблоки,1565,1861
Тургенев Иван Сергеевич,Братья Карамазовы,1434,1019
Тургенев Иван Сергеевич,Мастер и Маргарита,1597,330
Чехов Антон Павлович,Ревизор,1266,1263
Булгаков Михаил Афанасьевич,Братья Карамазовы,1382,1401
Некрасов Николай Алексеевич,Белые ночи,1470,1199
Достоевский Фёдор Михайлович,Братья Карамазовы,1555,1419
Пушкин Александр Сергеевич,Воскресение,1192,781
Некрасов Николай Алексеевич,Маленькая печальная повесть,1219,1593
Некрасов Виктор Платонович,Мертвые души,2010,954
Булгаков Михаил Афанасьевич,Листопад,1701,1496
Толстой Алексей Николаевич,Листопад,1153,1605
Шолохов Михаил Александрович,Ася,1938,1711
Некрасов Николай Алексеевич,Митина любовь,1448,148
Шолохов Михаил Александрович,Русские женщины,1386,376
Бунин Иван Алексеевич,Крестьянские дети,1487,81
Шолохов Михаил Александрович,Русские женщины,1808,1444
Тургенев Иван Сергеевич,Собачье сердце,1509,584
Толстой Алексей Николаевич,Тихий Дон,1569,843
Пушкин Александр Сергеевич,Ионыч,1481,1178
Толстой Алексей Николаевич,В окопах Сталинграда,1434,1690
Достоевский Фёдор Михайлович,Идиот,1527,759
Некрасов Николай Алексеевич,Хамелеон,1195,1655
Некрасов Николай Алексеевич,В окопах Сталинграда,1492,1186
Булгаков Михаил Афанасьевич,Белая гвардия,1746,1938
Толстой Лев Николаевич,Братья Карамазовы,1725,259
Чехов Антон Павлович,Русские женщины,1560,260
Пушкин Александр Сергеевич,Записки охотника,1815,1315
Бунин Иван Алексеевич,Лёгкое дыхание,1897,1778
Гоголь Николай Васильевич,Вишнёвый сад,1252,446
Бунин Иван Алексеевич,Евгений Онегин,1271,1059
Достоевский Фёдор Михайлович,Собачье сердце,1584,276
Бунин Иван Алексеевич,Ионыч,1240,34
Толстой Алексей Николаевич,Крестьянские дети,1159,1099
Толстой Лев Николаевич,Белые ночи,1183,901
Толстой Алексей Николаевич,Белая гвардия,2002,891
Булгаков Михаил Афанасьевич,Первая любовь,1948,343
Булгаков Михаил Афанасьевич,Вий,1948,886
Чехов Антон Павлович,Война и мир,1308,1944
Некрасов Виктор Платонович,Вий,1352,1186
Бунин Иван Алексеевич,Тёмные аллеи,2017,1118
Чехов Антон Павлович,Анна Каренина,1658,247
Толстой Алексей Николаевич,Тихий Дон,1675,1448
Пушкин Александр Сергеевич,Ревизор,1801,64
Чехов Антон Павлович,Маленькая печальная повесть,1293,448
Толстой Алексей Николаевич,Крестьянские дети,1476,1818
Некрасов Николай Алексеевич,Записки охотника,1946,266
Пушкин Александр Сергеевич,Ревизор,1712,530
Толстой Алексей Николаевич,Митина любовь,1369,870
Толстой Алексей Николаевич,Преступление и наказание,1983,501
Толстой Лев Николаевич,Ионыч,1371,1488
Бунин Иван Алексеевич,Медный всадник,1814,1775
Бунин Иван Алексеевич,Ася,1151,270
Булгаков Михаил Афанасьевич,Преступление и наказание,1767,1224
Чехов Антон Павлович,Листопад,1132,1887
Толстой Алексей Николаевич,Первая любовь,1775,519
Шолохов Михаил Александрович,Братья Карамазовы,1832,218
Булгаков Михаил Афанасьевич,Воскресение,1171,201
Достоевский Фёдор Михайлович,Рядовой Лютиков,1112,1889
Булгаков Михаил Афанасьевич,Русские женщины,1440,14
Достоевский Фёдор Михайлович,Белая гвардия,1754,1175
Шолохов Михаил Александрович,Тарас Бульба,1452,402
Шолохов Михаил Александрович,Лёгкое дыхание,1209,1345
Толстой Лев Николаевич,Первая любовь,1831,1034
Бунин Иван Алексеевич,Шинель,1628,276
Толстой Алексей Николаевич,Листопад,1317,1550
Толстой Алексей Николаевич,Анна Каренина,1170,1641
Гоголь Николай Васильевич,В окопах Сталинграда,1684,24
Некрасов Николай Алексеевич,Донские рассказы,1802,796
Чехов Антон Павлович,Дама с собачкой,1122,337
Толстой Лев Николаевич,Воскресение,1579,564
Толстой Алексей Николаевич,Анна Каренина,1278,605
Толстой Алексей Николаевич,Белые ночи,1335,338
Бунин Иван Алексеевич,Дом с мезонином,1600,1661
Булгаков Михаил Афанасьевич,Белые ночи,1404,1892
Толстой Алексей Николаевич,Вишнёвый сад,1494,1111
Некрасов Виктор Платонович,Идиот,1263,665
Толстой Алексей Николаевич,Воскресение,1582,1575
Достоевский Фёдор Михайлович,Антоновские яблоки,1560,569
Гоголь Николай Васильевич,Пётр Первый,1143,498
Тургенев Иван Сергеевич,Первая любовь,1549,1033
Пушкин Александр Сергеевич,Пётр Первый,1581,250
Некрасов Виктор Платонович,Собачье сердце,1877,1103
Бунин Иван Алексеевич,Ревизор,1852,192
Чехов Антон Павлович,Отцы и дети,1429,1220
Некрасов Виктор Платонович,Железная дорога,1757,784
Некрасов Виктор Платонович,Аэлита,1266,1602
Гоголь Николай Васильевич,Идиот,1908,1452
Тургенев Иван Сергеевич,Хождение по мукам,1968,891
Чехов Антон Павлович,Братья Карамазовы,1972,898
Тургенев Иван Сергеевич,Крестьянские дети,1523,1216
Чехов Антон Павлович,Лёгкое дыхание,1557,1462
Пушкин Александр Сергеевич,Записки охотника,1724,450
Чехов Антон Павлович,Крестьянские дети,1818,1458
Толстой Лев Николаевич,Ревизор,2018,1851
Толстой Алексей Николаевич,Хамелеон,1415,1498
Толстой Алексей Николаевич,Первая любовь,1875,130
Некрасов Виктор Платонович,Белая гвардия,1228,1191
Некрасов Виктор Платонович,Идиот,1100,1982
Бунин Иван Алексеевич,Белые ночи,1132,1890
Бунин Иван Алексеевич,Листопад,1144,1777
Булгаков Михаил Афанасьевич,Вишнёвый сад,1791,857
Бунин Иван Алексеевич,Тёмные аллеи,1791,1689
Достоевский Фёдор Михайлович,Записки охотника,1694,1018
Гоголь Николай Васильевич,В окопах Сталинграда,1659,438
Некрасов Николай Алексеевич,Шинель,1124,1384
Некрасов Виктор Платонович,Детство,1699,921
Достоевский Фёдор Михайлович,Лёгкое дыхание,1594,1790
Гоголь Николай Васильевич,Судьба человека,1252,1743
Некрасов Николай Алексеевич,Воскресение,1887,1102
Бунин Иван Алексеевич,Мертвые души,1721,1103
Бунин Иван Алексеевич,Маленькая печальная повесть,1204,1291
Шолохов Михаил Александрович,Детство,1107,360
Гоголь Николай Васильевич,Белые ночи,1693,1515
Бунин Иван Алексеевич,Отцы и дети,1780,1746
Некрасов Виктор Платонович,Первая любовь,1514,837
Бунин Иван Алексеевич,Ревизор,1962,1620
Тургенев Иван Сергеевич,Русские женщины,1597,1772
Достоевский Фёдор Михайлович,Записки охотника,1642,562
Чехов Антон Павлович,Анна Каренина,1781,106
Некрасов Виктор Платонович,Листопад,1407,453
Толстой Алексей Николаевич,Шинель,1993,1285
Чехов Антон Павлович,Записки охотника,1504,639
Достоевский Фёдор Михайлович,Евгений Онегин,1130,1661
Бунин Иван Алексеевич,Тарас Бульба,1672,87
Достоевский Фёдор Михайлович,Дама с собачкой,1925,1808
Толстой Лев Николаевич,Отцы и дети,1758,983
Чехов Антон Павлович,Рядовой Лютиков,1889,1183
Толстой Алексей Николаевич,Аэлита,1416,1746
Чехов Антон Павлович,Отцы и дети,1131,1676
Пушкин Александр Сергеевич,Евгений Онегин,1301,1443
Гоголь Николай Васильевич,Судьба человека,1197,1981
Шолохов Михаил Александрович,Донские рассказы,1329,1086
Некрасов Виктор Платонович,Железная дорога,1628,1936
Тургенев Иван Сергеевич,Воскресение,1969,1430
Некрасов Николай Алексеевич,Идиот,1566,323
Достоевский Фёдор Михайлович,Бесы,1842,1264
Чехов Антон Павлович,Война и мир,1571,594
Гоголь Николай Васильевич,Преступление и наказание,1201,909
Достоевский Фёдор Михайлович,Донские рассказы,1169,703
Бунин Иван Алексеевич,Шинель,1429,1461
Некрасов Николай Алексеевич,Мастер и Маргарита,1865,111
Толстой Алексей Николаевич,Кому на Руси жить хорошо,1642,956
Пушкин Александр Сергеевич,Крестьянские дети,1346,1545
Некрасов Виктор Платонович,Собачье сердце,1968,1392
Тургенев Иван Сергеевич,Кому на Руси жить хорошо,1301,601
Бунин Иван Алексеевич,Отцы и дети,1547,338
Некрасов Николай Алексеевич,Записки охотника,1192,1000
Некрасов Виктор Платонович,Вишнёвый сад,1379,468
Бунин Иван Алексеевич,Евгений Онегин,1574,1831
Некрасов Виктор Платонович,Отцы и дети,1400,930
Толстой Алексей Николаевич,Вий,1188,819
Некрасов Николай Алексеевич,Ася,1297,1585
Некрасов Виктор Платонович,Листопад,1125,1140
Толстой Лев Николаевич,Первая любовь,1781,277
Бунин Иван Алексеевич,Листопад,1115,1093
Гоголь Николай Васильевич,Ревизор,1822,1433
Некрасов Виктор Платонович,Хамелеон,1468,1601
Достоевский Фёдор Михайлович,Собачье сердце,1457,251
Толстой Лев Николаевич,Медный всадник,1322,828
Тургенев Иван Сергеевич,Тарас Бульба,1147,112
Пушкин Александр Сергеевич,Донские рассказы,1610,1015
Тургенев Иван Сергеевич,Белая гвардия,1752,53
Пушкин Александр Сергеевич,Крестьянские дети,1341,665
Толстой Алексей Николаевич,Шинель,1631,284
Тургенев Иван Сергеевич,Вий,1921,1423
Некрасов Николай Алексеевич,Железная дорога,1896,1383
Некрасов Николай Алексеевич,Крестьянские дети,1156,587
Пушкин Александр Сергеевич,Дом с мезонином,1873,675
Некрасов Николай Алексеевич,Война и мир,1176,1327
Достоевский Фёдор Михайлович,Рядовой Лютиков,1976,1100
Пушкин Александр Сергеевич,Митина любовь,1140,226
Достоевский Фёдор Михайлович,Тихий Дон,1452,1729
Некрасов Виктор Платонович,Мастер и Маргарита,1438,1623
Булгаков Михаил Афанасьевич,Война и мир,1837,1699
Толстой Алексей Николаевич,Железная дорога,1938,1695
Шолохов Михаил Александрович,Белые ночи,1766,1312
Достоевский Фёдор Михайлович,Мертвые души,1441,813
Толстой Алексей Николаевич,Война и мир,1733,1234
Достоевский Фёдор Михайлович,Ионыч,1830,862
Толстой Лев Николаевич,Маленькая печальная повесть,1908,1253
Гоголь Николай Васильевич,Митина любовь,1583,1042
Бунин Иван Алексеевич,Дама с собачкой,1426,341
Бунин Иван Алексеевич,Хамелеон,1650,1043
Тургенев Иван Сергеевич,Шинель,1145,314
Булгаков Михаил Афанасьевич,Тарас Бульба,1778,505
Шолохов Михаил Александрович,Тёмные аллеи,1410,1860
Некрасов Николай Алексеевич,Ася,1441,44
Некрасов Николай Алексеевич,Мастер и Маргарита,1544,1401
Толстой Алексей Николаевич,Евгений Онегин,1760,729
Некрасов Виктор Платонович,Дом с мезонином,1206,1958
Пушкин Александр Сергеевич,Рядовой Лютиков,1243,337
Толстой Лев Николаевич,Судьба человека,1391,160
Шолохов Михаил Александрович,Ревизор,1930,1820
Бунин Иван Алексеевич,Детство,1468,1785
Гоголь Николай Васильевич,Записки охотника,1897,527
Бунин Иван Алексеевич,Вий,1596,73
Достоевский Фёдор Михайлович,Детство,1434,747
Гоголь Николай Васильевич,Евгений Онегин,1690,1862
Булгаков Михаил Афанасьевич,Белые ночи,1448,127
Булгаков Михаил Афанасьевич,Кому на Руси жить хорошо,1725,888
Некрасов Виктор Платонович,Морфий,1132,355
Шолохов Михаил Александрович,Хамелеон,1993,583
Некрасов Николай Алексеевич,Митина любовь,1123,524
Гоголь Николай Васильевич,Хамелеон,1821,1684
Толстой Лев Николаевич,Идиот,1402,844
Гоголь Николай Васильевич,Лёгкое дыхание,1698,163
Тургенев Иван Сергеевич,Ася,1895,20
Бунин Иван Алексеевич,Белые ночи,1847,622
Толстой Лев Николаевич,Воскресение,1379,1896
Булгаков Михаил Афанасьевич,Мертвые души,1859,1669
Некрасов Виктор Платонович,Преступление и наказание,1505,827
Некрасов Николай Алексеевич,Судьба человека,1570,780
Толстой Лев Николаевич,Мертвые души,1252,673
Бунин Иван Алексеевич,Крестьянские дети,1598,973
Бунин Иван Алексеевич,Кому на Руси жить хорошо,1178,1678
Некрасов Виктор Платонович,Война и мир,1713,979
Бунин Иван Алексеевич,Маленькая печальная повесть,1119,249
Гоголь Николай Васильевич,Вий,1427,1287
Гоголь Николай Васильевич,Белые ночи,1753,36
Булгаков Михаил Афанасьевич,Евгений Онегин,1425,1016
Некрасов Виктор Платонович,Железная дорога,1821,1100
Толстой Лев Николаевич,Кому на Руси жить хорошо,2018,82
Толстой Алексей Николаевич,Дом с мезонином,1353,1532
Толстой Лев Николаевич,Вишнёвый сад,1519,1861
Булгаков Михаил Афанасьевич,Дама с собачкой,1606,1661
Толстой Алексей Николаевич,Ревизор,2012,819
Гоголь Николай Васильевич,Медный всадник,2001,661
Достоевский Фёдор Михайлович,Белые ночи,1207,1289
Тургенев Иван Сергеевич,Митина любовь,1435,1905
Некрасов Николай Алексеевич,Вий,1109,1259
Некрасов Виктор Платонович,Записки охотника,1364,1613
Бунин Иван Алексеевич,Медный всадник,1566,1895
Толстой Лев Николаевич,Маленькая печальная повесть,1646,1860
Бунин Иван Алексеевич,Первая любовь,1794,591
Чехов Антон Павлович,Русские женщины,1332,1177
Некрасов Николай Алексеевич,Белая гвардия,1871,588
Бунин Иван Алексеевич,Бесы,1796,651
Чехов Антон Павлович,Воскресение,1620,53
Толстой Алексей Николаевич,Ася,1387,57
Пушкин Александр Сергеевич,Русские женщины,1588,1759
Булгаков Михаил Афанасьевич,Вий,1346,1652
Некрасов Виктор Платонович,Листопад,1916,1693
Гоголь Николай Васильевич,Преступление и наказание,1819,581
Гоголь Николай Васильевич,Лёгкое дыхание,1179,299
Бунин Иван Алексеевич,Антоновские яблоки,1856,607
Некрасов Виктор Платонович,В окопах Сталинграда,1281,973
Достоевский Фёдор Михайлович,Мертвые души,1507,1179
Пушкин Александр Сергеевич,Анна Каренина,1841,1518
Толстой Лев Николаевич,Ревизор,1354,237
Шолохов Михаил Александрович,Хамелеон,1852,277
Чехов Антон Павлович,Кому на Руси жить хорошо,1847,505
Тургенев Иван Сергеевич,Крестьянские дети,1239,502
Некрасов Виктор Платонович,Мертвые души,1936,1867
Тургенев Иван Сергеевич,Мастер и Маргарита,2004,1117
Чехов Антон Павлович,Русские женщины,1363,660
Толстой Алексей Николаевич,Отцы и дети,2009,1147
Толстой Алексей Николаевич,Лёгкое дыхание,1112,1872
Шолохов Михаил Александрович,Анна Каренина,1329,792
Толстой Лев Николаевич,Донские рассказы,1527,83
Булгаков Михаил Афанасьевич,Записки охотника,1396,299
Достоевский Фёдор Михайлович,Антоновские яблоки,1960,1273
Толстой Лев Николаевич,Отцы и дети,1952,1094
Чехов Антон Павлович,Отцы и дети,1814,527
Гоголь Николай Васильевич,Тёмные аллеи,1237,1407
Гоголь Николай Васильевич,Мертвые души,2024,1993
Тургенев Иван Сергеевич,Собачье сердце,1514,732
Шолохов Михаил Александрович,Братья Карамазовы,1606,45
Шолохов Михаил Александрович,Листопад,1318,1710
Достоевский Фёдор Михайлович,Судьба человека,1922,432
Пушкин Александр Сергеевич,Белые ночи,1309,238
Тургенев Иван Сергеевич,Донские рассказы,1527,277
Бунин Иван Алексеевич,В окопах Сталинграда,1673,300
Толстой Алексей Николаевич,Собачье сердце,1522,693
Тургенев Иван Сергеевич,Хождение по мукам,1176,1959
Тургенев Иван Сергеевич,Крестьянские дети,1994,186
Бунин Иван Алексеевич,Братья Карамазовы,1484,1471
Чехов Антон Павлович,Шинель,1448,1359
Бунин Иван Алексеевич,Идиот,1826,1924
Пушкин Александр Сергеевич,Бесы,1347,1071
Гоголь Николай Васильевич,Собачье сердце,1831,979
Чехов Антон Павлович,Собачье сердце,1649,1921
Бунин Иван Алексеевич,Евгений Онегин,1709,310
Толстой Лев Николаевич,Хождение по мукам,1856,176
Булгаков Михаил Афанасьевич,Бесы,1998,1800
Некрасов Виктор Платонович,Шинель,1308,928
Некрасов Николай Алексеевич,Морфий,1440,589
Чехов Антон Павлович,Рядовой Лютиков,1429,1308
Бунин Иван Алексеевич,Мертвые души,1347,299
Тургенев Иван Сергеевич,Дама с собачкой,1212,1044
Некрасов Виктор Платонович,Кому на Руси жить хорошо,1703,232
Толстой Лев Николаевич,Дама с собачкой,1819,1951
Некрасов Николай Алексеевич,Антоновские яблоки,1432,1908
Гоголь Николай Васильевич,Крестьянские дети,1606,524
Чехов Антон Павлович,Тихий Дон,1840,1860
Шолохов Михаил Александрович,Ревизор,1797,1958
Булгаков Михаил Афанасьевич,Тихий Дон,1571,1504
Бунин Иван Алексеевич,Донские рассказы,1998,398
Бунин Иван Алексеевич,Ася,1180,651
Некрасов Николай Алексеевич,Донские рассказы,1667,178
Некрасов Виктор Платонович,Митина любовь,1878,1414
Пушкин Александр Сергеевич,Антоновские яблоки,1554,225
Некрасов Виктор Платонович,Преступление и наказание,1522,1221
Достоевский Фёдор Михайлович,Бесы,1631,411
Некрасов Николай Алексеевич,Анна Каренина,1248,216
Булгаков Михаил Афанасьевич,Ионыч,2005,1327
Пушкин Александр Сергеевич,Лёгкое дыхание,1201,729
Тургенев Иван Сергеевич,Идиот,1459,1801
Толстой Алексей Николаевич,Хамелеон,1431,224
Булгаков Михаил Афанасьевич,Дама с собачкой,1927,509
Чехов Антон Павлович,Дама с собачкой,1345,1443
Достоевский Фёдор Михайлович,Ревизор,1539,856
Шолохов Михаил Александрович,Антоновские яблоки,1973,847
Гоголь Николай Васильевич,Евгений Онегин,1459,599
Тургенев Иван Сергеевич,Шинель,1965,917
Некрасов Николай Алексеевич,Железная дорога,1547,862
Толстой Алексей Николаевич,Шинель,1181,1889
Некрасов Виктор Платонович,Крестьянские дети,1953,1202
Шолохов Михаил Александрович,Ревизор,1953,600
Некрасов Николай Алексеевич,Белые ночи,1998,536
Булгаков Михаил Афанасьевич,Вишнёвый сад,1781,1506
Бунин Иван Алексеевич,Пётр Первый,1293,1609
Толстой Лев Николаевич,Ионыч,2012,1838
Бунин Иван Алексеевич,Крестьянские дети,1503,157
Некрасов Николай Алексеевич,Мастер и Маргарита,1756,1179
Тургенев Иван Сергеевич,Листопад,1779,87
Толстой Лев Николаевич,Белые ночи,1925,97
Некрасов Виктор Платонович,Судьба человека,1565,873
Чехов Антон Павлович,Белые ночи,1992,1159
Некрасов Виктор Платонович,Отцы и дети,1871,1957
Достоевский Фёдор Михайлович,Медный всадник,1740,50
Булгаков Михаил Афанасьевич,Русские женщины,1928,1515
Гоголь Николай Васильевич,Белая гвардия,1137,1156
Некрасов Николай Алексеевич,Евгений Онегин,1240,129
Некрасов Виктор Платонович,Лёгкое дыхание,1123,301
Чехов Антон Павлович,Тёмные аллеи,1177,267
Бунин Иван Алексеевич,Тарас Бульба,1381,847
Гоголь Николай Васильевич,Железная дорога,1731,207
Некрасов Николай Алексеевич,Война и мир,1568,26
Толстой Алексей Николаевич,Маленькая печальная повесть,1111,185
Бунин Иван Алексеевич,Антоновские яблоки,1303,1490
Пушкин Александр Сергеевич,Антоновские яблоки,1945,1180
Пушкин Александр Сергеевич,Хождение по мукам,1550,96
Бунин Иван Алексеевич,Ася,1544,1204
Гоголь Николай Васильевич,Воскресение,1339,1932
Толстой Лев Николаевич,Преступление и наказание,1855,733
Булгаков Михаил Афанасьевич,Воскресение,1390,1943
Достоевский Фёдор Михайлович,Лёгкое дыхание,1913,1580
Пушкин Александр Сергеевич,Вий,1334,581
Некрасов Виктор Платонович,Мертвые души,1100,1394
Пушкин Александр Сергеевич,Белая гвардия,1508,1554
Шолохов Михаил Александрович,Ионыч,1559,26
Некрасов Николай Алексеевич,Медный всадник,1195,1980
Бунин Иван Алексеевич,Железная дорога,1867,211
Пушкин Александр Сергеевич,Белые ночи,1896,1026
Пушкин Александр Сергеевич,Тарас Бульба,1156,1412
Булгаков Михаил Афанасьевич,Кому на Руси жить хорошо,1869,1820
Чехов Антон Павлович,Евгений Онегин,1838,1513
Шолохов Михаил Александрович,Хамелеон,1892,802
Шолохов Михаил Александрович,Евгений Онегин,1345,722
Тургенев Иван Сергеевич,Мертвые души,1420,1556
Толстой Алексей Николаевич,Морфий,1470,1656
Некрасов Николай Алексеевич,Записки охотника,1562,306
Шолохов Михаил Александрович,Бесы,1236,875
Шолохов Михаил Александрович,Дом с мезонином,1496,324
Булгаков Михаил Афанасьевич,Детство,1696,1318
Булгаков Михаил Афанасьевич,Листопад,1400,1729
Пушкин Александр Сергеевич,Белая гвардия,1903,1382
Булгаков Михаил Афанасьевич,Железная дорога,1820,602
Некрасов Виктор Платонович,Шинель,1423,795
Гоголь Николай Васильевич,Кому на Руси жить хорошо,1922,668
Тургенев Иван Сергеевич,Ревизор,1605,407
Тургенев Иван Сергеевич,Тихий Дон,1420,1222
Некрасов Николай Алексеевич,Ионыч,1203,821
Достоевский Фёдор Михайлович,Судьба человека,1523,873
Толстой Алексей Николаевич,Аэлита,1321,841
Булгаков Михаил Афанасьевич,Белая гвардия,1193,1069
Тургенев Иван Сергеевич,Тихий Дон,1127,1687
Шолохов Михаил Александрович,Мастер и Маргарита,1643,309
Гоголь Николай Васильевич,Идиот,1335,1807
