ФИО автора,название,год издания,количество страниц
Тургенев Иван Сергеевич,Тёмные аллеи,1853,1071
Достоевский Фёдор Михайлович,Белая гвардия,1815,52
Чехов Антон Павлович,Лёгкое дыхание,1575,1298
Пушкин Александр Сергеевич,Белая гвардия,1682,988
Гоголь Николай Васильевич,Воскресение,1345,1433
Толстой Лев Николаевич,Собачье сердце,1258,846
Чехов Антон Павлович,Евгений Онегин,1462,1880
Некрасов Николай Алексеевич,Тарас Бульба,1757,1500
Булгаков Михаил Афанасьевич,В окопах Сталинграда,1154,1647
Шолохов Михаил Александрович,Отцы и дети,1973,1988
Некрасов Виктор Платонович,Тарас Бульба,1358,548
Пушкин Александр Сергеевич,Маленькая печальная повесть,1469,132
Некрасов Николай Алексеевич,Записки охотника,1979,1439
Некрасов Виктор Платонович,Ионыч,1698,644
Шолохов Михаил Александрович,Дама с собачкой,1161,1359
Толстой Алексей Николаевич,Воскресение,1576,974
Булгаков Михаил Афанасьевич,Дом с мезонином,1746,1707
Толстой Лев Николаевич,Морфий,1664,1493
Чехов Антон Павлович,Белая гвардия,1322,141
Шолохов Михаил Александрович,Железная дорога,1771,1099
Некрасов Виктор Платонович,Ася,1802,1189
Достоевский Фёдор Михайлович,Судьба человека,1306,503
Толстой Алексей Николаевич,Вишнёвый сад,1615,859
Достоевский Фёдор Михайлович,В окопах Сталинграда,1132,329
Булгаков Михаил Афанасьевич,Листопад,1291,1991
Некрасов Виктор Платонович,Записки охотника,1612,625
Некрасов Виктор Платонович,Записки охотника,1740,460
Тургенев Иван Сергеевич,Тарас Бульба,1501,649
Некрасов Николай Алексеевич,Митина любовь,1149,1253
Булгаков Михаил Афанасьевич,Пётр Первый,1391,281
Гоголь Николай Васильевич,Антоновские яблоки,1714,1080
Пушкин Александр Сергеевич,Преступление и наказание,1360,217
Достоевский Фёдор Михайлович,Белые ночи,1842,191
Достоевский Фёдор Михайлович,Рядовой Лютиков,1370,566
Шолохов Михаил Александрович,Анна Каренина,1552,490
Гоголь Николай Васильевич,Аэлита,1744,962
Тургенев Иван Сергеевич,Белая гвардия,1320,756
Толстой Лев Николаевич,Митина любовь,1477,1603
Толстой Лев Николаевич,Кому на Руси жить хорошо,1311,1708
Бунин Иван Алексеевич,Детство,1833,635
Тургенев Иван Сергеевич,Хождение по мукам,1378,90
Гоголь Николай Васильевич,Вий,1101,319
Толстой Лев Николаевич,Собачье сердце,1797,871
Пушкин Александр Сергеевич,Анна Каренина,1954,707
Гоголь Николай Васильевич,Братья Карамазовы,1811,727
Гоголь Николай Васильевич,Дом с мезонином,1401,384
Пушкин Александр Сергеевич,Мастер и Маргарита,1524,164
Толстой Алексей Николаевич,Ревизор,1428,500
Толстой Алексей Николаевич,Ася,1405,166
Достоевский Фёдор Михайлович,Анна Каренина,1944,1415
Чехов Антон Павлович,Воскресение,1499,1547
Булгаков Михаил Афанасьевич,Русские женщины,1297,588
Пушкин Александр Сергеевич,Медный всадник,1114,1901
Пушкин Александр Сергеевич,Ионыч,1667,1816
Булгаков Михаил Афанасьевич,Вишнёвый сад,1398,676
Тургенев Иван Сергеевич,Первая любовь,1747,915
Пушкин Александр Сергеевич,Анна Каренина,1279,100
Достоевский Фёдор Михайлович,Ревизор,1377,1938
Бунин Иван Алексеевич,Мастер и Маргарита,1252,1880
Бунин Иван Алексеевич,Ионыч,1893,1517
Толстой Лев Николаевич,Пётр Первый,1518,18
Гоголь Николай Васильевич,Кому на Руси жить хорошо,1393,649
Толстой Алексей Николаевич,Белые ночи,1688,1416
Пушкин Александр Сергеевич,Пётр Первый,1473,1816
Некрасов Николай Алексеевич,Белые ночи,1200,1740
Булгаков Михаил Афанасьевич,Донские рассказы,1410,1253
Булгаков Михаил Афанасьевич,Белая гвардия,1343,479
Булгаков Михаил Афанасьевич,Дама с собачкой,1144,1497
Толстой Лев Николаевич,Лёгкое дыхание,1437,1130
Шолохов Михаил Александрович,Идиот,1211,1875
Толстой Лев Николаевич,В окопах Сталинграда,1318,809
Булгаков Михаил Афанасьевич,Хамелеон,1401,11
Достоевский Фёдор Михайлович,Митина любовь,1988,1688
Шолохов Михаил Александрович,Ася,1599,1024
Бунин Иван Алексеевич,Дом с мезонином,1297,1852
Бунин Иван Алексеевич,Кому на Руси жить хорошо,1634,1401
Толстой Алексей Николаевич,Аэлита,1678,1529
Шолохов Михаил Александрович,Дама с собачкой,1892,1760
Достоевский Фёдор Михайлович,Война и мир,1786,1214
Некрасов Виктор Платонович,Детство,1486,644
Гоголь Николай Васильевич,Тихий Дон,1964,1191
Тургенев Иван Сергеевич,Вий,1421,1881
Тургенев Иван Сергеевич,Железная дорога,1484,1871
Толстой Алексей Николаевич,Маленькая печальная повесть,1278,264
Булгаков Михаил Афанасьевич,Вий,1669,360
Толстой Алексей Николаевич,Вий,1887,1461
Некрасов Виктор Платонович,Тёмные аллеи,1253,253
Достоевский Фёдор Михайлович,Вий,1714,1185
Чехов Антон Павлович,Вий,1593,145
Чехов Антон Павлович,Вишнёвый сад,1267,273
Пушкин Александр Сергеевич,Братья Карамазовы,1624,140
Бунин Иван Алексеевич,Братья Карамазовы,1724,1911
Пушкин Александр Сергеевич,Тёмные аллеи,1435,1302
Некрасов Виктор Платонович,Детство,1810,766
Достоевский Фёдор Михайлович,Тёмные аллеи,1227,915
Булгаков Михаил Афанасьевич,Вишнёвый сад,1238,116
Булгаков Михаил Афанасьевич,Первая любовь,1575,1045
Бунин Иван Алексеевич,Тарас Бульба,1731,1540
Толстой Алексей Николаевич,Антоновские яблоки,1317,1358
Некрасов Виктор Платонович,Тарас Бульба,1872,780
Некрасов Виктор Платонович,Пётр Первый,1542,1739
Чехов Антон Павлович,Мастер и Маргарита,1917,1824
Некрасов Виктор Платонович,Ася,1147,1770
Тургенев Иван Сергеевич,Медный всадник,1454,944
Гоголь Николай Васильевич,Тёмные аллеи,1965,415
Толстой Лев Николаевич,Вишнёвый сад,1914,889
Бунин Иван Алексеевич,Ася,1437,1630
Толстой Алексей Николаевич,Белая гвардия,1529,516
Бунин Иван Алексеевич,Лёгкое дыхание,1150,427
Шолохов Михаил Александрович,Тихий Дон,1761,813
Чехов Антон Павлович,Донские рассказы,1418,153
Гоголь Николай Васильевич,Аэлита,1931,1579
Некрасов Виктор Платонович,Русские женщины,1408,490
Чехов Антон Павлович,Бесы,1507,1202
Булгаков Михаил Афанасьевич,Крестьянские дети,1807,249
Булгаков Михаил Афанасьевич,Медный всадник,1707,1217
Некрасов Виктор Платонович,Кому на Руси жить хорошо,1291,1783
Пушкин Александр Сергеевич,Белые ночи,1748,1078
Шолохов Михаил Александрович,Хождение по мукам,1950,1888
Чехов Антон Павлович,Крестьянские дети,1438,739
Чехов Антон Павлович,Дама с собачкой,1580,123
Гоголь Николай Васильевич,Отцы и дети,1681,1564
Некрасов Николай Алексеевич,Кому на Руси жить хорошо,1639,649
Некрасов Николай Алексеевич,Русские женщины,1872,84
Чехов Антон Павлович,Идиот,1545,1551
Достоевский Фёдор Михайлович,Тарас Бульба,2000,1123
Шолохов Михаил Александрович,Митина любовь,1563,1623
Чехов Антон Павлович,Судьба человека,1100,557
Достоевский Фёдор Михайлович,Тарас Бульба,1835,831
Некрасов Виктор Платонович,Белая гвардия,1174,538
Некрасов Николай Алексеевич,Судьба человека,1950,985
Гоголь Николай Васильевич,Медный всадник,1529,115
Некрасов Виктор Платонович,Первая любовь,1343,1165
Пушкин Александр Сергеевич,Братья Карамазовы,1658,724
Некрасов Николай Алексеевич,Вишнёвый сад,1768,1035
Достоевский Фёдор Михайлович,Лёгкое дыхание,1795,791
Некрасов Виктор Платонович,Мастер и Маргарита,1914,1507
Достоевский Фёдор Михайлович,Кому на Руси жить хорошо,1621,1522
Тургенев Иван Сергеевич,Хождение по мукам,1627,987
Бунин Иван Алексеевич,Собачье сердце,1936,1635
Тургенев Иван Сергеевич,Хождение по мукам,1260,1441
Толстой Лев Николаевич,Хамелеон,1713,1327
Толстой Лев Николаевич,Мертвые души,1645,435
Толстой Алексей Николаевич,Ревизор,1748,401
Бунин Иван Алексеевич,Тихий Дон,1485,1618
Некрасов Николай Алексеевич,Донские рассказы,1800,1131
Некрасов Николай Алексеевич,Мертвые души,1783,1335
Некрасов Виктор Платонович,Бесы,1407,1575
Достоевский Фёдор Михайлович,Антоновские яблоки,2005,219
Толстой Алексей Николаевич,Идиот,1585,1630
Бунин Иван Алексеевич,Русские женщины,1596,314
Шолохов Михаил Александрович,Пётр Первый,1896,792
Шолохов Михаил Александрович,Белые ночи,1968,905
Достоевский Фёдор Михайлович,Преступление и наказание,1107,844
Тургенев Иван Сергеевич,Война и мир,1949,212
Шолохов Михаил Александрович,Листопад,1636,820
Достоевский Фёдор Михайлович,Аэлита,1561,425
Гоголь Николай Васильевич,В окопах Сталинграда,1466,713
Толстой Алексей Николаевич,Евгений Онегин,1143,1678
Толстой Лев Николаевич,Братья Карамазовы,1487,1267
Достоевский Фёдор Михайлович,Лёгкое дыхание,1499,1836
Булгаков Михаил Афанасьевич,Детство,1298,1294
Толстой Лев Николаевич,Русские женщины,1462,942
Пушкин Александр Сергеевич,Листопад,1283,1763
Некрасов Николай Алексеевич,Донские рассказы,1555,1245
Чехов Антон Павлович,Кому на Руси жить хорошо,1163,809
Некрасов Николай Алексеевич,Детство,1819,1446
Толстой Алексей Николаевич,Белая гвардия,1923,330
Чехов Антон Павлович,Дом с мезонином,1477,1931
Достоевский Фёдор Михайлович,Морфий,1115,1413
Толстой Лев Николаевич,Медный всадник,1329,1722
Некрасов Виктор Платонович,Ионыч,1869,524
Пушкин Александр Сергеевич,Кому на Руси жить хорошо,1642,640
Бунин Иван Алексеевич,Кому на Руси жить хорошо,1683,1013
Пушкин Александр Сергеевич,Дама с собачкой,1219,1648
Некрасов Виктор Платонович,Белая гвардия,1403,741
Пушкин Александр Сергеевич,Дом с мезонином,1794,1350
Тургенев Иван Сергеевич,Тёмные аллеи,2024,574
Толстой Лев Николаевич,Железная дорога,1156,273
Толстой Лев Николаевич,Война и мир,1586,1650
Толстой Алексей Николаевич,Преступление и наказание,1219,1756
Достоевский Фёдор Михайлович,Вий,1611,1260
Пушкин Александр Сергеевич,Медный всадник,1822,1811
Тургенев Иван Сергеевич,Пётр Первый,1939,1415
Чехов Антон Павлович,Детство,1482,1891
Толстой Лев Николаевич,Отцы и дети,1531,1408
Некрасов Виктор Платонович,Морфий,1888,1321
Булгаков Михаил Афанасьевич,Лёгкое дыхание,1852,1697
Толстой Алексей Николаевич,Идиот,1814,411
Гоголь Николай Васильевич,Листопад,1714,340
Толстой Алексей Николаевич,Мертвые души,1374,1147
Тургенев Иван Сергеевич,Ася,1881,1598
Толстой Лев Николаевич,Хамелеон,1262,229
Некрасов Николай Алексеевич,Первая любовь,1339,293
Некрасов Николай Алексеевич,Записки охотника,1154,1378
Булгаков Михаил Афанасьевич,Пётр Первый,2003,263
Толстой Алексей Николаевич,Ревизор,1328,58
Некрасов Николай Алексеевич,Вий,1501,1812
Тургенев Иван Сергеевич,Дама с собачкой,1432,1068
Некрасов Виктор Платонович,В окопах Сталинграда,1928,674
Чехов Антон Павлович,Детство,1980,1543
Булгаков Михаил Афанасьевич,Бесы,1209,1510
Достоевский Фёдор Михайлович,Отцы и дети,1619,1840
Шолохов Михаил Александрович,Евгений Онегин,1166,1564
Толстой Алексей Николаевич,Тёмные аллеи,1788,26
Тургенев Иван Сергеевич,Анна Каренина,1270,1104
Гоголь Николай Васильевич,Кому на Руси жить хорошо,1165,1002
Толстой Лев Николаевич,Мертвые души,1577,1669
Достоевский Фёдор Михайлович,Братья Карамазовы,1562,1042
Чехов Антон Павлович,Судьба человека,1300,1189
Достоевский Фёдор Михайлович,Собачье сердце,1244,1415
Некрасов Виктор Платонович,Антоновские яблоки,1838,420
Некрасов Николай Алексеевич,Белые ночи,1199,1986
Толстой Лев Николаевич,Митина любовь,1890,625
Толстой Алексей Николаевич,Записки охотника,1340,1132
Толстой Лев Николаевич,Воскресение,1126,619
Толстой Лев Николаевич,Русские женщины,1110,1574
Достоевский Фёдор Михайлович,Митина любовь,1366,195
Бунин Иван Алексеевич,Железная дорога,1786,1696
Бунин Иван Алексеевич,Морфий,1775,1346
Толстой Алексей Николаевич,Русские женщины,1643,579
Бунин Иван Алексеевич,Вишнёвый сад,1164,1480
Достоевский Фёдор Михайлович,Хождение по мукам,1964,1129
Шолохов Михаил Александрович,Вий,1386,1880
Булгаков Михаил Афанасьевич,Железная дорога,1701,972
Некрасов Виктор Платонович,Записки охотника,1371,1540
Гоголь Николай Васильевич,Шинель,2026,126
Толстой Лев Николаевич,Белые ночи,2011,1364
Булгаков Михаил Афанасьевич,Собачье сердце,1984,1529
Толстой Лев Николаевич,Вишнёвый сад,1326,889
Гоголь Николай Васильевич,Дама с собачкой,1969,1680
Бунин Иван Алексеевич,Дама с собачкой,1208,1184
Некрасов Николай Алексеевич,Хождение по мукам,1136,1391
Достоевский Фёдор Михайлович,Шинель,1919,1344
Тургенев Иван Сергеевич,Тихий Дон,1815,1651
Гоголь Николай Васильевич,Морфий,1381,66
Пушкин Александр Сергеевич,Дом с мезонином,1993,1848
Толстой Лев Николаевич,Митина любовь,1182,1968
Тургенев Иван Сергеевич,Преступление и наказание,1307,390
Достоевский Фёдор Михайлович,Ионыч,1273,1093
Булгаков Михаил Афанасьевич,Первая любовь,1200,1932
Достоевский Фёдор Михайлович,Русские женщины,1836,21
Чехов Антон Павлович,Донские рассказы,1680,1038
Бунин Иван Алексеевич,Записки охотника,1517,301
Некрасов Николай Алексеевич,Война и мир,1930,1162
Булгаков Михаил Афанасьевич,Ася,1174,435
Шолохов Михаил Александрович,Шинель,1122,1205
Некрасов Николай Алексеевич,Преступление и наказание,1686,202
Бунин Иван Алексеевич,Дама с собачкой,1422,20
Толстой Алексей Николаевич,Дама с собачкой,1509,442
Булгаков Михаил Афанасьевич,Маленькая печальная повесть,1537,987
Толстой Алексей Николаевич,Вишнёвый сад,1429,30
Некрасов Николай Алексеевич,Преступление и наказание,1399,264
Толстой Лев Николаевич,Ася,2002,148
Толстой Алексей Николаевич,Вий,1798,1217
Тургенев Иван Сергеевич,Ревизор,1952,1907
Некрасов Николай Алексеевич,Маленькая печальная повесть,1806,182
Пушкин Александр Сергеевич,Отцы и дети,2025,1092
Булгаков Михаил Афанасьевич,Морфий,1244,237
Чехов Антон Павлович,Хождение по мукам,1979,1626
Гоголь Николай Васильевич,Хождение по мукам,1479,1791
Шолохов Михаил Александрович,Детство,1134,1245
Толстой Лев Николаевич,Железная дорога,1256,139
Достоевский Фёдор Михайлович,Рядовой Лютиков,1291,927
Гоголь Николай Васильевич,Листопад,1696,1403
Некрасов Виктор Платонович,Дом с мезонином,1386,414
Толстой Лев Николаевич,Маленькая печальная повесть,1105,1303
Тургенев Иван Сергеевич,Кому на Руси жить хорошо,1837,587
Некрасов Виктор Платонович,Тарас Бульба,1142,1230
Тургенев Иван Сергеевич,Рядовой Лютиков,1525,205
Шолохов Михаил Александрович,Антоновские яблоки,1489,255
Толстой Алексей Николаевич,Собачье сердце,1650,1968
Некрасов Николай Алексеевич,Бесы,1569,1533
Шолохов Михаил Александрович,Белые ночи,1968,1212
Толстой Алексей Николаевич,Донские рассказы,1682,522
Тургенев Иван Сергеевич,Ася,1188,113
Булгаков Михаил Афанасьевич,Аэлита,1310,748
Толстой Лев Николаевич,Первая любовь,1552,1571
Толстой Лев Николаевич,Идиот,1752,847
Толстой Лев Николаевич,Записки охотника,1769,798
Булгаков Михаил Афанасьевич,Тихий Дон,1796,273
Чехов Антон Павлович,В окопах Сталинграда,2024,1610
Шолохов Михаил Александрович,Хамелеон,1291,652
Булгаков Михаил Афанасьевич,Анна Каренина,1515,1238
Некрасов Виктор Платонович,Пётр Первый,1922,1553
Тургенев Иван Сергеевич,Белые ночи,1677,1894
Бунин Иван Алексеевич,Первая любовь,1838,313
Некрасов Виктор Платонович,Мастер и Маргарита,1687,1090
Достоевский Фёдор Михайлович,Митина любовь,1873,1063
Булгаков Михаил Афанасьевич,Пётр Первый,1773,615
Бунин Иван Алексеевич,Судьба человека,1977,1461
Достоевский Фёдор Михайлович,Митина любовь,1893,373
Толстой Алексей Николаевич,Ионыч,1504,1267
Бунин Иван Алексеевич,Ионыч,1860,1173
Толстой Лев Николаевич,Первая любовь,1415,1907
Бунин Иван Алексеевич,Пётр Первый,1490,754
Гоголь Николай Васильевич,Война и мир,1104,1022
Тургенев Иван Сергеевич,Анна Каренина,2011,1719
Некрасов Виктор Платонович,Судьба человека,1801,739
Булгаков Михаил Афанасьевич,Отцы и дети,2016,83
Некрасов Николай Алексеевич,Русские женщины,1453,1950
Гоголь Николай Васильевич,Ионыч,1433,1868
Некрасов Виктор Платонович,Евгений Онегин,1262,729
Шолохов Михаил Александрович,Маленькая печальная повесть,1115,734
Пушкин Александр Сергеевич,Ася,1885,447
Тургенев Иван Сергеевич,Ася,1215,1445
Шолохов Михаил Александрович,Морфий,1648,1904
Чехов Антон Павлович,Белая гвардия,1865,100
Некрасов Виктор Платонович,Рядовой Лютиков,1913,439
Гоголь Николай Васильевич,Крестьянские дети,1294,1460
Достоевский Фёдор Михайлович,Кому на Руси жить хорошо,1197,1168
Гоголь Николай Васильевич,Собачье сердце,1776,1370
Толстой Лев Николаевич,Медный всадник,1177,127
Шолохов Михаил Александрович,Идиот,1698,1903
Булгаков Михаил Афанасьевич,Отцы и дети,1308,153
Булгаков Михаил Афанасьевич,Белые ночи,1967,1205
Некрасов Виктор Платонович,Пётр Первый,1803,1117
Чехов Антон Павлович,Морфий,1347,241
Булгаков Михаил Афанасьевич,Тарас Бульба,1124,670
Бунин Иван Алексеевич,Рядовой Лютиков,1718,878
Чехов Антон Павлович,Анна Каренина,1787,1798
Достоевский Фёдор Михайлович,Морфий,1287,1732
Булгаков Михаил Афанасьевич,Первая любовь,1736,188
Шолохов Михаил Александрович,Воскресение,1725,1688
Некрасов Николай Алексеевич,Железная дорога,1407,366
Достоевский Фёдор Михайлович,Железная дорога,1382,1835
Толстой Алексей Николаевич,Крестьянские дети,1959,716
Пушкин Александр Сергеевич,Ася,1446,1935
Достоевский Фёдор Михайлович,Лёгкое дыхание,1414,625
Тургенев Иван Сергеевич,Русские женщины,1707,681
Чехов Антон Павлович,Мастер и Маргарита,1573,739
Чехов Антон Павлович,Дом с мезонином,1770,1720
Шолохов Михаил Александрович,Собачье сердце,1927,940
Гоголь Николай Васильевич,Идиот,1753,1520
Толстой Лев Николаевич,Кому на Руси жить хорошо,1419,625
Некрасов Николай Алексеевич,Пётр Первый,1825,1443
Гоголь Николай Васильевич,Война и мир,1914,502
Бунин Иван Алексеевич,Хамелеон,1306,437
Шолохов Михаил Александрович,Ревизор,1157,601
Толстой Лев Николаевич,Крестьянские дети,1169,139
Толстой Лев Николаевич,Тихий Дон,1923,721
Чехов Антон Павлович,Записки охотника,1155,1752
Толстой Лев Николаевич,Первая любовь,1945,490
Бунин Иван Алексеевич,Братья Карамазовы,1955,961
Тургенев Иван Сергеевич,Дом с мезонином,1194,1788
Гоголь Николай Васильевич,Железная дорога,1235,130
Пушкин Александр Сергеевич,Пётр Первый,1353,232
Шолохов Михаил Александрович,Собачье сердце,1817,1855
Бунин Иван Алексеевич,Тёмные аллеи,1463,1521
Бунин Иван Алексеевич,Русские женщины,1138,167
Толстой Алексей Николаевич,Вишнёвый сад,1607,1141
Бунин Иван Алексеевич,Собачье сердце,1825,699
Толстой Алексей Николаевич,Судьба человека,1153,534
Шолохов Михаил Александрович,Листопад,1376,722
Некрасов Виктор Платонович,Братья Карамазовы,1906,480
Шолохов Михаил Александрович,Дом с мезонином,1269,671
Чехов Антон Павлович,Война и мир,1683,832
Толстой Лев Николаевич,Евгений Онегин,1319,147
Булгаков Михаил Афанасьевич,Аэлита,1399,1318
Шолохов Михаил Александрович,Первая любовь,1391,1269
Достоевский Фёдор Михайлович,Белая гвардия,1631,1589
Тургенев Иван Сергеевич,Братья Карамазовы,1682,1078
Тургенев Иван Сергеевич,Евгений Онегин,1722,1788
Толстой Алексей Николаевич,Крестьянские дети,1265,391
Тургенев Иван Сергеевич,Маленькая печальная повесть,1658,1252
Бунин Иван Алексеевич,Медный всадник,1676,1657
Толстой Лев Николаевич,Отцы и дети,1815,1011
Некрасов Виктор Платонович,Хождение по мукам,1703,721
Пушкин Александр Сергеевич,Пётр Первый,1428,1223
Некрасов Николай Алексеевич,Судьба человека,1839,524
Некрасов Николай Алексеевич,Евгений Онегин,1779,752
Достоевский Фёдор Михайлович,Пётр Первый,1763,59
Некрасов Николай Алексеевич,Дом с мезонином,1482,813
Толстой Алексей Николаевич,Идиот,1614,713
Некрасов Виктор Платонович,Аэлита,1141,1789
Толстой Алексей Николаевич,Евгений Онегин,1843,1948
Гоголь Николай Васильевич,Судьба человека,1822,869
Некрасов Виктор Платонович,Записки охотника,1348,1424
Шолохов Михаил Александрович,Бесы,2012,546
Чехов Антон Павлович,Вишнёвый сад,1538,846
Толстой Лев Николаевич,Дом с мезонином,1629,928
Некрасов Виктор Платонович,Антоновские яблоки,1341,553
Толстой Лев Николаевич,Вишнёвый сад,1466,649
Булгаков Михаил Афанасьевич,Антоновские яблоки,1237,792
Шолохов Михаил Александрович,Шинель,1617,951
Шолохов Михаил Александрович,Донские рассказы,1416,1510
Шолохов Михаил Александрович,Ионыч,1340,1063
Шолохов Михаил Александрович,Первая любовь,1365,1391
Булгаков Михаил Афанасьевич,Кому на Руси жить хорошо,1875,1053
Гоголь Николай Васильевич,Анна Каренина,1524,599
Чехов Антон Павлович,Шинель,1992,1810
Некрасов Николай Алексеевич,Митина любовь,1892,1351
Некрасов Николай Алексеевич,Воскресение,1408,1782
Булгаков Михаил Афанасьевич,Кому на Руси жить хорошо,1210,695
Булгаков Михаил Афанасьевич,Маленькая печальная повесть,1386,950
Толстой Лев Николаевич,Хамелеон,1483,309
Толстой Лев Николаевич,Воскресение,1862,383
Толстой Алексей Николаевич,Маленькая печальная повесть,1591,1272
Булгаков Михаил Афанасьевич,Вишнёвый сад,1738,1805
Гоголь Николай Васильевич,Лёгкое дыхание,1721,764
Булгаков Михаил Афанасьевич,Антоновские яблоки,1180,601
Бунин Иван Алексеевич,Судьба человека,1998,604
Некрасов Николай Алексеевич,Русские женщины,1380,138
Некрасов Виктор Платонович,Тихий Дон,1332,1480
Некрасов Виктор Платонович,Крестьянские дети,2010,1804
Некрасов Николай Алексеевич,Ионыч,1828,1649
Достоевский Фёдор Михайлович,Пётр Первый,1966,1647
Бунин Иван Алексеевич,Тёмные аллеи,1374,136
Булгаков Михаил Афанасьевич,Анна Каренина,1728,1227
Достоевский Фёдор Михайлович,Ионыч,1396,1853
Толстой Лев Николаевич,Ионыч,1278,1996
Толстой Алексей Николаевич,Русские женщины,1388,1070
