ФИО автора,название,год издания,количество страниц
Шолохов Михаил Александрович,Пётр Первый,1353,956
Некрасов Виктор Платонович,Анна Каренина,1331,1914
Чехов Антон Павлович,Аэлита,1706,1800
Толстой Лев Николаевич,Листопад,1872,515
Тургенев Иван Сергеевич,Первая любовь,1135,240
Чехов Антон Павлович,Евгений Онегин,1187,1335
Бунин Иван Алексеевич,Дом с мезонином,1872,1185
Толстой Алексей Николаевич,Хождение по мукам,1244,1239
Гоголь Николай Васильевич,Крестьянские дети,1564,1223
Шолохов Михаил Александрович,Вишнёвый сад,1832,527
Достоевский Фёдор Михайлович,Дама с собачкой,1331,59
Толстой Лев Николаевич,Отцы и дети,1142,380
Некрасов Николай Алексеевич,Идиот,1261,1487
Достоевский Фёдор Михайлович,Крестьянские дети,1465,746
Некрасов Николай Алексеевич,Русские женщины,1308,938
Пушкин Александр Сергеевич,В окопах Сталинграда,1991,1219
Чехов Антон Павлович,Ася,1171,1682
Некрасов Виктор Платонович,Крестьянские дети,1439,1510
Толстой Алексей Николаевич,Евгений Онегин,1625,515
Гоголь Николай Васильевич,Мастер и Маргарита,1550,245
Некрасов Николай Алексеевич,Медный всадник,1169,98
Чехов Антон Павлович,Судьба человека,1768,949
Достоевский Фёдор Михайлович,Донские рассказы,1255,1153
Булгаков Михаил Афанасьевич,Морфий,1508,249
Шолохов Михаил Александрович,Пётр Первый,1462,309
Тургенев Иван Сергеевич,Крестьянские дети,1623,1687
Толстой Алексей Николаевич,Ионыч,1584,751
Достоевский Фёдор Михайлович,Донские рассказы,1237,1049
Шолохов Михаил Александрович,Кому на Руси жить хорошо,1929,1441
Чехов Антон Павлович,Листопад,1787,1430
Толстой Лев Николаевич,Донские рассказы,1354,825
Пушкин Александр Сергеевич,Морфий,1659,749
Чехов Антон Павлович,Белая гвардия,1900,1159
Пушкин Александр Сергеевич,Тарас Бульба,1952,799
Булгаков Михаил Афанасьевич,Хождение по мукам,1253,1805
Булгаков Михаил Афанасьевич,Собачье сердце,1631,408
Толстой Лев Николаевич,Преступление и наказание,1939,1429
Чехов Антон Павлович,Вий,1797,569
Шолохов Михаил Александрович,Преступление и наказание,1217,339
Некрасов Виктор Платонович,Крестьянские дети,1800,1416
Булгаков Михаил Афанасьевич,Братья Карамазовы,1950,1530
Некрасов Николай Алексеевич,Белые ночи,1540,1194
Тургенев Иван Сергеевич,Аэлита,1727,283
Достоевский Фёдор Михайлович,Мастер и Маргарита,1923,1384
Шолохов Михаил Александрович,Аэлита,2009,30
Пушкин Александр Сергеевич,Первая любовь,1208,411
Толстой Лев Николаевич,Детство,1913,736
Бунин Иван Алексеевич,Евгений Онегин,1599,1405
Шолохов Михаил Александрович,Записки охотника,1927,672
Шолохов Михаил Александрович,Митина любовь,1478,376
Бунин Иван Алексеевич,Ионыч,1986,872
Гоголь Николай Васильевич,Лёгкое дыхание,1419,976
Шолохов Михаил Александрович,Тихий Дон,1225,1085
Бунин Иван Алексеевич,Русские женщины,1683,157
Толстой Алексей Николаевич,Тихий Дон,1385,783
Булгаков Михаил Афанасьевич,Братья Карамазовы,1721,597
Шолохов Михаил Александрович,Анна Каренина,1157,538
Некрасов Виктор Платонович,Мертвые души,1566,1704
Достоевский Фёдор Михайлович,Шинель,1532,1797
Пушкин Александр Сергеевич,Отцы и дети,1375,1546
Некрасов Николай Алексеевич,Хамелеон,1194,742
Достоевский Фёдор Михайлович,Бесы,1223,679
Шолохов Михаил Александрович,Крестьянские дети,1723,504
Тургенев Иван Сергеевич,Маленькая печальная повесть,1657,1237
Чехов Антон Павлович,Кому на Руси жить хорошо,1876,1900
Чехов Антон Павлович,Русские женщины,1902,647
Толстой Лев Николаевич,Морфий,1308,715
Толстой Лев Николаевич,Митина любовь,1116,1677
Гоголь Николай Васильевич,Тёмные аллеи,1347,1137
Достоевский Фёдор Михайлович,Бесы,1526,256
Некрасов Виктор Платонович,Аэлита,1979,159
Толстой Лев Николаевич,Мастер и Маргарита,1300,1473
Достоевский Фёдор Михайлович,Тарас Бульба,2016,1272
Гоголь Николай Васильевич,Тихий Дон,1421,1027
Толстой Лев Николаевич,Лёгкое дыхание,1641,1665
Бунин Иван Алексеевич,Кому на Руси жить хорошо,1401,320
Некрасов Виктор Платонович,Вишнёвый сад,1498,270
Толстой Алексей Николаевич,Братья Карамазовы,1345,162
Толстой Лев Николаевич,Братья Карамазовы,1372,890
Шолохов Михаил Александрович,Железная дорога,1892,973
Тургенев Иван Сергеевич,Записки охотника,1822,1632
Гоголь Николай Васильевич,Тарас Бульба,1478,1243
Толстой Алексей Николаевич,Медный всадник,1883,1810
Некрасов Николай Алексеевич,Белые ночи,1229,945
Шолохов Михаил Александрович,Хамелеон,1127,1121
Тургенев Иван Сергеевич,Отцы и дети,1421,1242
Бунин Иван Алексеевич,Железная дорога,1316,432
Шолохов Михаил Александрович,Русские женщины,2018,1067
Достоевский Фёдор Михайлович,Детство,1203,218
Некрасов Виктор Платонович,Вий,1116,1816
Некрасов Виктор Платонович,Рядовой Лютиков,1468,95
Пушкин Александр Сергеевич,Листопад,1976,168
Бунин Иван Алексеевич,Отцы и дети,1780,968
Толстой Лев Николаевич,Братья Карамазовы,1326,270
Гоголь Николай Васильевич,Война и мир,1335,947
Некрасов Виктор Платонович,Хамелеон,1600,1986
Бунин Иван Алексеевич,Железная дорога,1472,1743
Некрасов Николай Алексеевич,Шинель,1338,655
Некрасов Виктор Платонович,Бесы,1636,1828
Толстой Лев Николаевич,Шинель,1924,907
Некрасов Николай Алексеевич,Ионыч,1808,186
Некрасов Виктор Платонович,Шинель,1410,1450
Некрасов Виктор Платонович,Первая любовь,1641,1545
Некрасов Виктор Платонович,Дама с собачкой,1893,300
Толстой Лев Николаевич,Первая любовь,1548,1312
Гоголь Николай Васильевич,Вий,1171,99
Некрасов Виктор Платонович,Мертвые души,1757,510
Некрасов Виктор Платонович,Вий,1328,563
Тургенев Иван Сергеевич,Детство,1360,1231
Шолохов Михаил Александрович,Мастер и Маргарита,1659,161
Толстой Лев Николаевич,Преступление и наказание,1705,469
Толстой Лев Николаевич,Аэлита,1328,1305
Некрасов Николай Алексеевич,Война и мир,1665,136
Некрасов Николай Алексеевич,Хамелеон,1402,1163
Толстой Алексей Николаевич,Аэлита,1953,227
Толстой Алексей Николаевич,Аэлита,1457,35
Чехов Антон Павлович,Пётр Первый,1956,840
Пушкин Александр Сергеевич,Медный всадник,1934,721
Бунин Иван Алексеевич,Вий,1839,188
Толстой Алексей Николаевич,Евгений Онегин,1635,1740
Шолохов Михаил Александрович,Крестьянские дети,1324,1931
Тургенев Иван Сергеевич,Кому на Руси жить хорошо,1785,1209
Достоевский Фёдор Михайлович,Пётр Первый,1383,117
Булгаков Михаил Афанасьевич,Идиот,1371,1616
Гоголь Николай Васильевич,Хождение по мукам,1330,195
Толстой Лев Николаевич,Мертвые души,1562,935
Некрасов Николай Алексеевич,Преступление и наказание,1718,926
Бунин Иван Алексеевич,Донские рассказы,1822,200
Чехов Антон Павлович,Анна Каренина,1912,35
Булгаков Михаил Афанасьевич,Лёгкое дыхание,1143,1135
Толстой Алексей Николаевич,Евгений Онегин,1649,1603
Толстой Алексей Николаевич,Война и мир,1973,412
Некрасов Виктор Платонович,Евгений Онегин,1625,700
Булгаков Михаил Афанасьевич,Маленькая печальная повесть,1517,770
Достоевский Фёдор Михайлович,Судьба человека,1971,1829
Достоевский Фёдор Михайлович,Лёгкое дыхание,1159,1552
Гоголь Николай Васильевич,Мастер и Маргарита,1750,988
Гоголь Николай Васильевич,Железная дорога,1365,1345
Булгаков Михаил Афанасьевич,Антоновские яблоки,1231,873
Толстой Лев Николаевич,Морфий,1755,397
Шолохов Михаил Александрович,Кому на Руси жить хорошо,1436,1394
Гоголь Николай Васильевич,Тихий Дон,1267,750
Пушкин Александр Сергеевич,Судьба человека,1232,1834
Некрасов Виктор Платонович,Лёгкое дыхание,1490,1341
Тургенев Иван Сергеевич,Отцы и дети,1590,1750
Толстой Лев Николаевич,Медный всадник,1877,1155
Пушкин Александр Сергеевич,Рядовой Лютиков,1457,1963
Чехов Антон Павлович,Железная дорога,1818,1285
Чехов Антон Павлович,Хождение по мукам,1457,1474
Толстой Лев Николаевич,Митина любовь,1440,1122
Тургенев Иван Сергеевич,Ионыч,1665,415
Пушкин Александр Сергеевич,Аэлита,1299,57
Достоевский Фёдор Михайлович,Преступление и наказание,1579,1535
Чехов Антон Павлович,Антоновские яблоки,1292,1786
Чехов Антон Павлович,Дама с собачкой,1132,1481
Тургенев Иван Сергеевич,Пётр Первый,2010,659
Некрасов Виктор Платонович,Детство,1350,257
Чехов Антон Павлович,Записки охотника,1266,623
Гоголь Николай Васильевич,Преступление и наказание,1589,394
Чехов Антон Павлович,Маленькая печальная повесть,1145,132
Некрасов Виктор Платонович,Собачье сердце,1381,1506
Некрасов Николай Алексеевич,Отцы и дети,1814,1024
Булгаков Михаил Афанасьевич,Война и мир,1561,284
Шолохов Михаил Александрович,Белая гвардия,1881,676
Тургенев Иван Сергеевич,Донские рассказы,1407,908
Бунин Иван Алексеевич,Морфий,1142,1423
Бунин Иван Алексеевич,Бесы,1476,771
Некрасов Николай Алексеевич,Мертвые души,1640,1829
Пушкин Александр Сергеевич,В окопах Сталинграда,1459,1210
Бунин Иван Алексеевич,Тёмные аллеи,1298,363
Шолохов Михаил Александрович,Маленькая печальная повесть,1803,1729
Толстой Алексей Николаевич,Преступление и наказание,1882,1406
Гоголь Николай Васильевич,Ася,1249,1408
Пушкин Александр Сергеевич,Тихий Дон,1914,102
Чехов Антон Павлович,Отцы и дети,1588,1377
Толстой Алексей Николаевич,Мастер и Маргарита,1868,293
Толстой Лев Николаевич,Ася,1406,756
Некрасов Николай Алексеевич,Ионыч,1837,432
Тургенев Иван Сергеевич,Судьба человека,1371,838
Толстой Лев Николаевич,Тарас Бульба,1943,1868
Достоевский Фёдор Михайлович,Первая любовь,1817,1672
Пушкин Александр Сергеевич,Воскресение,2000,626
Тургенев Иван Сергеевич,Вишнёвый сад,1297,1274
Чехов Антон Павлович,Ася,1858,1019
Пушкин Александр Сергеевич,Донские рассказы,1201,678
Толстой Лев Николаевич,Мертвые души,2002,720
Пушкин Александр Сергеевич,Ася,1995,870
Гоголь Николай Васильевич,Митина любовь,1193,964
Шолохов Михаил Александрович,Пётр Первый,1234,1706
Шолохов Михаил Александрович,Вий,1795,475
Толстой Алексей Николаевич,Лёгкое дыхание,1149,733
Булгаков Михаил Афанасьевич,Бесы,1839,1771
Шолохов Михаил Александрович,Война и мир,1623,334
Толстой Лев Николаевич,Анна Каренина,1746,1864
Бунин Иван Алексеевич,Братья Карамазовы,1236,1891
Пушкин Александр Сергеевич,Ася,1878,1820
Достоевский Фёдор Михайлович,Анна Каренина,1931,1470
Шолохов Михаил Александрович,Собачье сердце,1187,213
Достоевский Фёдор Михайлович,Бесы,1239,1030
Чехов Антон Павлович,Бесы,1888,1099
Бунин Иван Алексеевич,Ася,1540,641
Гоголь Николай Васильевич,Первая любовь,1226,1404
Некрасов Николай Алексеевич,Дама с собачкой,1701,1203
Толстой Лев Николаевич,Собачье сердце,1558,1430
Некрасов Николай Алексеевич,Преступление и наказание,1450,269
Толстой Лев Николаевич,Первая любовь,1753,1169
Шолохов Михаил Александрович,Пётр Первый,2021,1665
Булгаков Михаил Афанасьевич,Судьба человека,1828,462
Некрасов Николай Алексеевич,Белая гвардия,1762,1802
Толстой Алексей Николаевич,Белая гвардия,1701,726
Некрасов Николай Алексеевич,Евгений Онегин,1808,1242
Гоголь Николай Васильевич,Дама с собачкой,1459,1037
Чехов Антон Павлович,Донские рассказы,1743,872
Гоголь Николай Васильевич,Шинель,1768,283
Толстой Алексей Николаевич,Крестьянские дети,1257,39
Пушкин Александр Сергеевич,Железная дорога,2024,636
Достоевский Фёдор Михайлович,Хамелеон,1925,1007
Чехов Антон Павлович,Мастер и Маргарита,1640,207
Чехов Антон Павлович,Отцы и дети,1488,114
Толстой Лев Николаевич,Белые ночи,1613,537
Бунин Иван Алексеевич,Детство,1462,125
Толстой Алексей Николаевич,Русские женщины,1858,92
Достоевский Фёдор Михайлович,Мастер и Маргарита,1422,420
Толстой Лев Николаевич,Мертвые души,1841,1014
Тургенев Иван Сергеевич,Вий,1374,1047
Некрасов Николай Алексеевич,Аэлита,1310,580
Достоевский Фёдор Михайлович,Донские рассказы,1927,1724
Гоголь Николай Васильевич,Мертвые души,1347,724
Пушкин Александр Сергеевич,Судьба человека,1969,1369
Толстой Лев Николаевич,В окопах Сталинграда,1564,844
Толстой Лев Николаевич,Собачье сердце,1646,1552
Некрасов Николай Алексеевич,Крестьянские дети,1646,1403
Чехов Антон Павлович,Морфий,2008,1574
Чехов Антон Павлович,Детство,1655,1010
Некрасов Николай Алексеевич,Бесы,1190,260
Пушкин Александр Сергеевич,Медный всадник,1699,288
Шолохов Михаил Александрович,Белые ночи,1991,1799
Гоголь Николай Васильевич,Ревизор,1507,1570
Гоголь Николай Васильевич,Ионыч,1763,655
Тургенев Иван Сергеевич,Преступление и наказание,1717,1703
Бунин Иван Алексеевич,Дама с собачкой,1811,979
Шолохов Михаил Александрович,Крестьянские дети,1650,1972
Пушкин Александр Сергеевич,Шинель,1104,1632
Бунин Иван Алексеевич,Собачье сердце,1741,1032
Толстой Алексей Николаевич,Шинель,2012,493
Булгаков Михаил Афанасьевич,Лёгкое дыхание,1290,1529
Тургенев Иван Сергеевич,Лёгкое дыхание,1468,792
Пушкин Александр Сергеевич,Мертвые души,1895,1335
Чехов Антон Павлович,Ася,1876,1675
Некрасов Виктор Платонович,Кому на Руси жить хорошо,1347,657
Шолохов Михаил Александрович,Лёгкое дыхание,1526,494
Бунин Иван Алексеевич,Ревизор,1857,79
Булгаков Михаил Афанасьевич,Идиот,1269,551
Булгаков Михаил Афанасьевич,Аэлита,1460,1939
Тургенев Иван Сергеевич,Пётр Первый,1437,1076
Гоголь Николай Васильевич,Первая любовь,1302,1752
Чехов Антон Павлович,Тихий Дон,1982,1816
Тургенев Иван Сергеевич,Ионыч,1111,1477
Гоголь Николай Васильевич,Маленькая печальная повесть,1314,488
Шолохов Михаил Александрович,Евгений Онегин,2017,1320
Чехов Антон Павлович,Ионыч,1511,180
Некрасов Виктор Платонович,Ионыч,1207,1030
Толстой Алексей Николаевич,Дама с собачкой,1764,1973
Булгаков Михаил Афанасьевич,Тихий Дон,1519,77
Толстой Алексей Николаевич,Собачье сердце,1245,884
Чехов Антон Павлович,Отцы и дети,1283,1535
Чехов Антон Павлович,Белая гвардия,1355,1458
Тургенев Иван Сергеевич,Анна Каренина,1163,1528
Пушкин Александр Сергеевич,Донские рассказы,1955,780
Некрасов Виктор Платонович,Ревизор,1476,1239
Бунин Иван Алексеевич,Мертвые души,1616,691
Толстой Алексей Николаевич,Братья Карамазовы,1818,1438
Некрасов Николай Алексеевич,Дама с собачкой,1151,140
Чехов Антон Павлович,Воскресение,1300,1322
Гоголь Николай Васильевич,Мертвые души,1901,784
Пушкин Александр Сергеевич,Тарас Бульба,1205,597
Булгаков Михаил Афанасьевич,Кому на Руси жить хорошо,1975,808
Некрасов Виктор Платонович,Тарас Бульба,1155,1694
Бунин Иван Алексеевич,Рядовой Лютиков,1649,935
Достоевский Фёдор Михайлович,Пётр Первый,1802,1244
Тургенев Иван Сергеевич,Ионыч,2012,1472
Некрасов Виктор Платонович,Идиот,1408,669
Пушкин Александр Сергеевич,Тихий Дон,1404,111
Пушкин Александр Сергеевич,Идиот,1860,269
Толстой Лев Николаевич,Идиот,1393,1562
Некрасов Николай Алексеевич,Вий,1427,125
Гоголь Николай Васильевич,Отцы и дети,1999,1174
Гоголь Николай Васильевич,Хамелеон,1638,800
Толстой Алексей Николаевич,Первая любовь,1387,843
Некрасов Николай Алексеевич,Воскресение,1953,749
Достоевский Фёдор Михайлович,Хождение по мукам,1891,490
Гоголь Николай Васильевич,Евгений Онегин,1568,1019
Достоевский Фёдор Михайлович,Листопад,1484,618
Некрасов Виктор Платонович,Кому на Руси жить хорошо,1942,715
Пушкин Александр Сергеевич,Евгений Онегин,1502,964
Толстой Лев Николаевич,Белая гвардия,1605,617
Гоголь Николай Васильевич,Собачье сердце,1693,1856
Пушкин Александр Сергеевич,Братья Карамазовы,1535,230
Бунин Иван Алексеевич,Русские женщины,1540,1529
Некрасов Николай Алексеевич,Дама с собачкой,1251,1549
Булгаков Михаил Афанасьевич,Ревизор,1290,537
Достоевский Фёдор Михайлович,Мастер и Маргарита,1345,1099
Достоевский Фёдор Михайлович,Рядовой Лютиков,1791,1059
Некрасов Виктор Платонович,Братья Карамазовы,1564,105
Пушкин Александр Сергеевич,Вий,1792,557
Чехов Антон Павлович,Преступление и наказание,1405,513
Пушкин Александр Сергеевич,Бесы,1157,1130
Чехов Антон Павлович,Тёмные аллеи,2005,705
Чехов Антон Павлович,Тарас Бульба,1513,225
Бунин Иван Алексеевич,Мертвые души,1474,275
Некрасов Виктор Платонович,Анна Каренина,1711,1485
Бунин Иван Алексеевич,Братья Карамазовы,1530,1592
Некрасов Виктор Платонович,Первая любовь,1351,406
Пушкин Александр Сергеевич,Аэлита,1724,619
Толстой Лев Николаевич,Шинель,1740,410
Тургенев Иван Сергеевич,Русские женщины,1619,1711
Шолохов Михаил Александрович,Собачье сердце,1778,66
Чехов Антон Павлович,Шинель,1804,1607
Пушкин Александр Сергеевич,Воскресение,1225,53
Тургенев Иван Сергеевич,Аэлита,1857,1195
Толстой Алексей Николаевич,Тихий Дон,1939,724
Шолохов Михаил Александрович,Морфий,1995,1353
Бунин Иван Алексеевич,Записки охотника,2007,1285
Некрасов Виктор Платонович,Ревизор,1928,1905
Булгаков Михаил Афанасьевич,Листопад,1386,898
Булгаков Михаил Афанасьевич,Белые ночи,1152,1431
Чехов Антон Павлович,Преступление и наказание,1513,1856
Чехов Антон Павлович,Мертвые души,1604,1290
Чехов Антон Павлович,Дом с мезонином,1804,1150
Достоевский Фёдор Михайлович,Русские женщины,1827,397
Некрасов Николай Алексеевич,Рядовой Лютиков,1393,552
Бунин Иван Алексеевич,Преступление и наказание,1415,1816
Пушкин Александр Сергеевич,Бесы,1940,1776
Толстой Лев Николаевич,Вий,1835,1839
Достоевский Фёдор Михайлович,Хамелеон,1696,1657
Толстой Лев Николаевич,Война и мир,1384,1657
Достоевский Фёдор Михайлович,Лёгкое дыхание,1492,1891
Бунин Иван Алексеевич,Бесы,1191,1426
Некрасов Виктор Платонович,Ревизор,1924,1691
Некрасов Николай Алексеевич,Мертвые души,1585,359
Достоевский Фёдор Михайлович,Мертвые души,1293,651
Чехов Антон Павлович,Евгений Онегин,1693,58
Некрасов Николай Алексеевич,Ася,1148,1944
Некрасов Николай Алексеевич,Листопад,1666,1913
Булгаков Михаил Афанасьевич,В окопах Сталинграда,1353,233
Некрасов Виктор Платонович,Мастер и Маргарита,1305,1137
Гоголь Николай Васильевич,Собачье сердце,1105,1109
Достоевский Фёдор Михайлович,Донские рассказы,1263,1342
Некрасов Виктор Платонович,Первая любовь,1699,1024
Тургенев Иван Сергеевич,Лёгкое дыхание,1647,1522
Чехов Антон Павлович,Медный всадник,1571,1311
Некрасов Николай Алексеевич,Детство,1607,289
Толстой Алексей Николаевич,Крестьянские дети,1574,1958
Толстой Лев Николаевич,Хамелеон,1450,1488
Булгаков Михаил Афанасьевич,Митина любовь,1176,1330
Толстой Алексей Николаевич,Анна Каренина,1106,1323
Толстой Лев Николаевич,Собачье сердце,1899,1255
Пушкин Александр Сергеевич,Хамелеон,1906,996
Бунин Иван Алексеевич,Отцы и дети,1132,654
Пушкин Александр Сергеевич,Судьба человека,1271,567
Шолохов Михаил Александрович,Ионыч,1141,1378
Тургенев Иван Сергеевич,Преступление и наказание,1138,205
Толстой Алексей Николаевич,Детство,1321,386
Тургенев Иван Сергеевич,Русские женщины,1852,658
Гоголь Николай Васильевич,Морфий,1260,980
Некрасов Николай Алексеевич,Первая любовь,1447,925
Чехов Антон Павлович,Воскресение,1822,1281
Чехов Антон Павлович,Вишнёвый сад,1677,1606
Булгаков Михаил Афанасьевич,Тихий Дон,1914,404
Тургенев Иван Сергеевич,Крестьянские дети,1565,1958
Некрасов Виктор Платонович,Железная дорога,1859,1323
Пушкин Александр Сергеевич,Собачье сердце,1987,1141
Чехов Антон Павлович,Морфий,1589,965
Некрасов Виктор Платонович,Белые ночи,1104,1192
Достоевский Фёдор Михайлович,Кому на Руси жить хорошо,1147,284
Тургенев Иван Сергеевич,Тарас Бульба,1202,1907
Бунин Иван Алексеевич,Дама с собачкой,1169,186
Гоголь Николай Васильевич,Морфий,1671,1081
Некрасов Николай Алексеевич,Хождение по мукам,1298,1784
Пушкин Александр Сергеевич,Хождение по мукам,1622,371
Толстой Лев Николаевич,В окопах Сталинграда,1362,516
Тургенев Иван Сергеевич,Дама с собачкой,1993,1131
Пушкин Александр Сергеевич,Преступление и наказание,1268,1281
Некрасов Виктор Платонович,Белая гвардия,1660,1991
Шолохов Михаил Александрович,Медный всадник,1465,669
Некрасов Виктор Платонович,Вишнёвый сад,1121,71
