author,title,year,pages
Лермонтов Михаил Юрьевич,Русские женщины,1957,1247
Горький Максим,Крестьянские дети,1977,1269
Лермонтов Михаил Юрьевич,В окопах Сталинграда,1961,853
Стругацкий Аркадий Натанович,Первая любовь,1981,663
Некрасов Виктор Платонович,Русские женщины,1970,747
Горький Максим,Тарас Бульба,2024,994
Ильф Илья Арнольдович,Белые ночи,1950,833
Набоков Владимир Владимирович,Мертвые души,1824,567
Некрасов Виктор Платонович,Война и мир,1847,801
Некрасов Николай Алексеевич,Ася,1967,793
Толстой Лев Николаевич,Мастер и Маргарита,1995,267
Добролюбов Николай Александрович,Железная дорога,1964,262
Куприн Александр Иванович,Русские женщины,1870,1270
Чехов Антон Павлович,Братья Карамазовы,1881,445
Есенин Сергей Александрович,Кому на Руси жить хорошо,1881,766
Некрасов Николай Алексеевич,Вишнёвый сад,1873,694
Гоголь Николай Васильевич,Русские женщины,1891,789
Петров Евгений Петрович,Первая любовь,1955,448
Толстой Лев Николаевич,Детство,1981,78
Добролюбов Николай Александрович,Детство,1991,516
Куприн Александр Иванович,Тихий Дон,1943,1275
Стругацкий Борис Натанович,Аэлита,2020,861
Замятин Евгений Иванович,Мастер и Маргарита,1905,1149
Блок Александр Александрович,Тёмные аллеи,1902,156
Островский Александр Николаевич,Митина любовь,1954,1161
Стругацкий Аркадий Натанович,Русские женщины,1819,1199
Есенин Сергей Александрович,Дама с собачкой,1932,773
Толстой Лев Николаевич,Антоновские яблоки,1973,515
Толстой Лев Николаевич,Анна Каренина,1853,1123
Толстой Лев Николаевич,Дама с собачкой,1912,150
Блок Александр Александрович,Лёгкое дыхание,1959,411
Беляев Александр Романович,Медный всадник,2005,1450
Грибоедов Александр Сергеевич,Записки охотника,1946,576
Мандельштам Осип Эмильевич,Лёгкое дыхание,1921,826
Толстой Лев Николаевич,Белая гвардия,1912,699
Блок Александр Александрович,Война и мир,2019,1131
Горький Максим,Тёмные аллеи,1974,732
Толстой Лев Николаевич,Воскресение,1867,1253
Бунин Иван Алексеевич,Бесы,1878,1380
Стругацкий Борис Натанович,Ионыч,1904,398
Замятин Евгений Иванович,Кому на Руси жить хорошо,1985,506
Стругацкий Борис Натанович,Вий,1846,1247
Стругацкий Аркадий Натанович,Вий,1939,1412
Толстой Лев Николаевич,Железная дорога,1851,1051
Толстой Лев Николаевич,Белая гвардия,1871,799
Цветаева Марина Ивановна,Медный всадник,1863,1244
Ильф Илья Арнольдович,Морфий,1840,582
Толстой Лев Николаевич,Белые ночи,1995,60
Пастернак Борис Леонидович,Хождение по мукам,1864,147
Чехов Антон Павлович,Белая гвардия,2007,651
Достоевский Фёдор Михайлович,Бесы,1945,496
Толстой Лев Николаевич,Братья Карамазовы,1911,904
Островский Александр Николаевич,Лёгкое дыхание,1817,63
Чехов Антон Павлович,Вишнёвый сад,1885,1035
Бродский Иосиф Александрович,Маленькая печальная повесть,1905,1040
Блок Александр Александрович,Братья Карамазовы,1953,1323
Толстой Алексей Николаевич,Первая любовь,1866,1213
Добролюбов Николай Александрович,Детство,2009,994
