author,title,year,pages
Грибоедов Александр Сергеевич,Вий,1869,1291
Булгаков Михаил Афанасьевич,Записки охотника,1947,1030
Набоков Владимир Владимирович,Листопад,1910,1476
Петров Евгений Петрович,Хамелеон,1801,1198
Горький Максим,Тихий Дон,1880,1443
Грибоедов Александр Сергеевич,Детство,1856,1240
Лесков Николай Семёнович,Судьба человека,1994,497
Салтыков-Щедрин Михаил Евграфович,Анна Каренина,1861,1181
Блок Александр Александрович,Лёгкое дыхание,1916,333
Платонов Андрей Платонович,Железная дорога,1954,621
Некрасов Николай Алексеевич,Отцы и дети,1808,1123
Стругацкий Аркадий Натанович,Хождение по мукам,1994,946
Горький Максим,Анна Каренина,1926,732
Пушкин Александр Сергеевич,Тихий Дон,1912,622
Блок Александр Александрович,Маленькая печальная повесть,1925,566
Чернышевский Николай Гаврилович,Ионыч,1860,1022
Набоков Владимир Владимирович,Листопад,1918,663
Набоков Владимир Владимирович,Ревизор,1900,1026
Стругацкий Аркадий Натанович,Мастер и Маргарита,1859,1494
Пушкин Александр Сергеевич,Шинель,1963,1115
Бунин Иван Алексеевич,Судьба человека,1938,1073
Салтыков-Щедрин Михаил Евграфович,Донские рассказы,1899,110
Стругацкий Борис Натанович,Собачье сердце,1987,946
Набоков Владимир Владимирович,Белые ночи,1996,576
Мандельштам Осип Эмильевич,Маленькая печальная повесть,2008,795
Толстой Лев Николаевич,Отцы и дети,1801,1106
Лермонтов Михаил Юрьевич,Тарас Бульба,1969,853
Некрасов Виктор Платонович,Листопад,1987,479
Пушкин Александр Сергеевич,Крестьянские дети,1811,545
Мандельштам Осип Эмильевич,Вий,2004,1114
Гоголь Николай Васильевич,Аэлита,2001,872
Салтыков-Щедрин Михаил Евграфович,Первая любовь,1905,319
Пастернак Борис Леонидович,Война и мир,2022,95
Есенин Сергей Александрович,Мертвые души,2005,367
Чернышевский Николай Гаврилович,Братья Карамазовы,1912,1223
Есенин Сергей Александрович,Пётр Первый,1936,1258
Грин Александр Степанович,Бесы,1935,1020
Замятин Евгений Иванович,Идиот,1919,365
Замятин Евгений Иванович,Хамелеон,1843,317
Толстой Лев Николаевич,В окопах Сталинграда,1915,176
Булгаков Михаил Афанасьевич,Детство,1850,354
Достоевский Фёдор Михайлович,Аэлита,1986,1266
Тургенев Иван Сергеевич,Тихий Дон,1806,1315
Чехов Антон Павлович,Собачье сердце,1830,1057
Шолохов Михаил Александрович,Тихий Дон,1934,658
Лермонтов Михаил Юрьевич,Ревизор,1854,389
Гоголь Николай Васильевич,Анна Каренина,1936,556
Некрасов Виктор Платонович,Первая любовь,1843,1200
Толстой Лев Николаевич,Русские женщины,1999,1274
Тургенев Иван Сергеевич,Донские рассказы,1923,441
Ильф Илья Арнольдович,Ионыч,1921,854
Пастернак Борис Леонидович,Шинель,1821,869
Лермонтов Михаил Юрьевич,Тихий Дон,1814,758
Чернышевский Николай Гаврилович,Хамелеон,1891,303
Блок Александр Александрович,Братья Карамазовы,1948,228
Чехов Антон Павлович,Воскресение,1934,328
Толстой Лев Николаевич,Анна Каренина,2002,839
Лермонтов Михаил Юрьевич,Воскресение,1876,936
Лесков Николай Семёнович,Русские женщины,1817,1483
Пушкин Александр Сергеевич,Война и мир,1906,1133
Толстой Лев Николаевич,Дом с мезонином,2005,903
Петров Евгений Петрович,Первая любовь,1830,292
Маяковский Владимир Владимирович,Детство,1829,482
Пастернак Борис Леонидович,Вий,1888,1490
Тургенев Иван Сергеевич,В окопах Сталинграда,1815,318
Куприн Александр Иванович,Антоновские яблоки,1978,455
Ильф Илья Арнольдович,Евгений Онегин,1920,324
Добролюбов Николай Александрович,Дама с собачкой,1972,1388
Ильф Илья Арнольдович,Тёмные аллеи,1815,1321
Замятин Евгений Иванович,Собачье сердце,1975,954
Шолохов Михаил Александрович,Дама с собачкой,1856,1392
Толстой Лев Николаевич,Война и мир,1944,1015
Набоков Владимир Владимирович,Дом с мезонином,2006,171
Бунин Иван Алексеевич,Детство,1897,1324
Лермонтов Михаил Юрьевич,Ревизор,1855,1441
Салтыков-Щедрин Михаил Евграфович,Тарас Бульба,1807,838
Маяковский Владимир Владимирович,Дом с мезонином,1801,218
Толстой Алексей Николаевич,Судьба человека,1966,1444
Бродский Иосиф Александрович,Ревизор,1889,1280
Замятин Евгений Иванович,Лёгкое дыхание,1937,1373
Стругацкий Аркадий Натанович,Братья Карамазовы,1928,548
Толстой Лев Николаевич,Рядовой Лютиков,1908,168
Чехов Антон Павлович,Мастер и Маргарита,1808,68
Толстой Лев Николаевич,Маленькая печальная повесть,1951,385
Островский Александр Николаевич,Дом с мезонином,1808,280
Мандельштам Осип Эмильевич,Русские женщины,2021,688
Набоков Владимир Владимирович,Шинель,1824,1205
Гоголь Николай Васильевич,Белые ночи,2023,976
Лермонтов Михаил Юрьевич,Бесы,1999,997
Толстой Лев Николаевич,Рядовой Лютиков,1838,1223
Толстой Лев Николаевич,Лёгкое дыхание,1870,552
Платонов Андрей Платонович,Рядовой Лютиков,1844,822
Некрасов Николай Алексеевич,Преступление и наказание,1946,1083
Добролюбов Николай Александрович,Ася,1920,274
Некрасов Виктор Платонович,Белые ночи,1811,997
Тургенев Иван Сергеевич,Шинель,1894,1106
Маяковский Владимир Владимирович,Мертвые души,1955,917
Гоголь Николай Васильевич,Тарас Бульба,1962,319
Толстой Лев Николаевич,Тёмные аллеи,1979,1102
Набоков Владимир Владимирович,Антоновские яблоки,1801,156
Достоевский Фёдор Михайлович,Воскресение,1886,402
Петров Евгений Петрович,Мертвые души,1974,161
Бунин Иван Алексеевич,Воскресение,1966,164
Набоков Владимир Владимирович,Донские рассказы,1899,335
Салтыков-Щедрин Михаил Евграфович,Хождение по мукам,1872,109
Добролюбов Николай Александрович,Белая гвардия,2014,1144
Стругацкий Аркадий Натанович,Крестьянские дети,1887,1049
Островский Александр Николаевич,Кому на Руси жить хорошо,1810,408
Толстой Лев Николаевич,Идиот,1959,1437
Мандельштам Осип Эмильевич,Морфий,1929,1044
Булгаков Михаил Афанасьевич,Тарас Бульба,2015,640
Толстой Алексей Николаевич,Собачье сердце,1833,886
Стругацкий Аркадий Натанович,Медный всадник,2014,882
Ильф Илья Арнольдович,Шинель,1838,1394
Грибоедов Александр Сергеевич,Рядовой Лютиков,1876,1172
Пастернак Борис Леонидович,Братья Карамазовы,1837,222
Ильф Илья Арнольдович,Медный всадник,1851,1383
Грибоедов Александр Сергеевич,Война и мир,1886,563
Мандельштам Осип Эмильевич,Тёмные аллеи,2021,977
Блок Александр Александрович,Маленькая печальная повесть,1945,555
Толстой Лев Николаевич,Аэлита,1843,1403
Добролюбов Николай Александрович,Евгений Онегин,1975,630
Цветаева Марина Ивановна,Братья Карамазовы,1881,109
Мандельштам Осип Эмильевич,Бесы,1971,761
Стругацкий Борис Натанович,Дама с собачкой,1940,318
Стругацкий Аркадий Натанович,Бесы,2024,1062
Толстой Алексей Николаевич,Детство,2025,184
Некрасов Николай Алексеевич,Донские рассказы,1989,67
Булгаков Михаил Афанасьевич,Братья Карамазовы,1986,874
Добролюбов Николай Александрович,Медный всадник,1965,465
Гоголь Николай Васильевич,Донские рассказы,1909,367
Бунин Иван Алексеевич,Антоновские яблоки,1839,560
Толстой Лев Николаевич,Рядовой Лютиков,2012,1120
Петров Евгений Петрович,Русские женщины,1961,960
Есенин Сергей Александрович,Бесы,1961,905
Петров Евгений Петрович,Донские рассказы,2024,571
Толстой Лев Николаевич,Кому на Руси жить хорошо,1805,1433
Гоголь Николай Васильевич,Белые ночи,1972,1431
Куприн Александр Иванович,Дом с мезонином,1814,178
Стругацкий Борис Натанович,Крестьянские дети,1867,1352
Мандельштам Осип Эмильевич,Идиот,1930,1482
Пастернак Борис Леонидович,Маленькая печальная повесть,1824,614
Пушкин Александр Сергеевич,Рядовой Лютиков,1934,1370
Горький Максим,Бесы,1814,407
Куприн Александр Иванович,Хамелеон,1839,220
Бунин Иван Алексеевич,Митина любовь,1977,856
Мандельштам Осип Эмильевич,Вишнёвый сад,1836,1342
Гоголь Николай Васильевич,Хождение по мукам,1895,1406
Лесков Николай Семёнович,Война и мир,1966,1362
Лермонтов Михаил Юрьевич,Кому на Руси жить хорошо,1862,1096
Толстой Лев Николаевич,Белые ночи,1957,1445
Толстой Лев Николаевич,Дама с собачкой,1809,739
Булгаков Михаил Афанасьевич,Записки охотника,1847,1069
Чернышевский Николай Гаврилович,Война и мир,1949,180
Толстой Лев Николаевич,Мастер и Маргарита,1982,506
Мандельштам Осип Эмильевич,Хамелеон,1801,702
Бунин Иван Алексеевич,Идиот,1911,224
Беляев Александр Романович,Морфий,2002,220
Есенин Сергей Александрович,Воскресение,1909,1417
Некрасов Виктор Платонович,Мертвые души,1948,715
Мандельштам Осип Эмильевич,Русские женщины,1840,1283
Грин Александр Степанович,Пётр Первый,1965,245
Горький Максим,Лёгкое дыхание,1860,632
Маяковский Владимир Владимирович,Антоновские яблоки,1803,1220
Некрасов Николай Алексеевич,Дама с собачкой,1857,862
Салтыков-Щедрин Михаил Евграфович,Судьба человека,1842,842
Толстой Лев Николаевич,Война и мир,1858,454
Есенин Сергей Александрович,Евгений Онегин,1900,370
Чернышевский Николай Гаврилович,Пётр Первый,2018,215
Тургенев Иван Сергеевич,Евгений Онегин,1861,774
Добролюбов Николай Александрович,Антоновские яблоки,2009,1222
Куприн Александр Иванович,Тёмные аллеи,1928,731
Беляев Александр Романович,Маленькая печальная повесть,1882,420
Толстой Лев Николаевич,Братья Карамазовы,1881,176
Петров Евгений Петрович,Лёгкое дыхание,1995,131
Стругацкий Аркадий Натанович,Тёмные аллеи,1855,948
Пастернак Борис Леонидович,Мертвые души,1813,111
Мандельштам Осип Эмильевич,Медный всадник,1905,599
Ахматова Анна Андреевна,Белая гвардия,1860,374
Бродский Иосиф Александрович,Лёгкое дыхание,1934,848
Цветаева Марина Ивановна,Записки охотника,1821,214
Салтыков-Щедрин Михаил Евграфович,Маленькая печальная повесть,1840,1138
Горький Максим,Белая гвардия,1829,1428
Стругацкий Борис Натанович,Мастер и Маргарита,1946,711
Стругацкий Борис Натанович,Белые ночи,1981,355
Некрасов Виктор Платонович,Хождение по мукам,1935,987
Бунин Иван Алексеевич,Мертвые души,1824,1212
Достоевский Фёдор Михайлович,Воскресение,1841,1342
Стругацкий Аркадий Натанович,Митина любовь,1976,912
Салтыков-Щедрин Михаил Евграфович,Хамелеон,1821,1112
Некрасов Виктор Платонович,Маленькая печальная повесть,1955,295
Толстой Лев Николаевич,Рядовой Лютиков,1818,680
Платонов Андрей Платонович,Тарас Бульба,1915,554
Замятин Евгений Иванович,Идиот,1923,600
Некрасов Николай Алексеевич,Судьба человека,1816,157
Куприн Александр Иванович,Вий,2015,317
Достоевский Фёдор Михайлович,Война и мир,1997,403
Куприн Александр Иванович,Донские рассказы,1886,1115
Ильф Илья Арнольдович,Воскресение,1949,166
Толстой Алексей Николаевич,Судьба человека,1846,1037
Бродский Иосиф Александрович,Судьба человека,2023,861
Пушкин Александр Сергеевич,Донские рассказы,1989,945
Толстой Лев Николаевич,Война и мир,1931,53
Платонов Андрей Платонович,Белые ночи,1862,351
Бродский Иосиф Александрович,Хождение по мукам,2010,185
Чернышевский Николай Гаврилович,Белая гвардия,2024,111
Куприн Александр Иванович,Хамелеон,2022,1097
Набоков Владимир Владимирович,Судьба человека,1960,816
Блок Александр Александрович,Русские женщины,1922,816
Грин Александр Степанович,Преступление и наказание,2008,1319
Толстой Алексей Николаевич,Листопад,1856,301
Ильф Илья Арнольдович,Мастер и Маргарита,1894,1062
Горький Максим,Антоновские яблоки,1981,840
Толстой Лев Николаевич,Первая любовь,1979,479
Замятин Евгений Иванович,Собачье сердце,1911,1404
Беляев Александр Романович,Аэлита,1949,888
Замятин Евгений Иванович,Дама с собачкой,2024,766
Куприн Александр Иванович,Война и мир,2005,736
Тургенев Иван Сергеевич,Судьба человека,1821,670
Лесков Николай Семёнович,Первая любовь,2018,398
Чехов Антон Павлович,Анна Каренина,1894,839
Блок Александр Александрович,Воскресение,2021,1489
Толстой Лев Николаевич,Шинель,1894,1392
Стругацкий Борис Натанович,Пётр Первый,1832,466
Куприн Александр Иванович,Братья Карамазовы,1999,965
Горький Максим,Рядовой Лютиков,1915,607
Горький Максим,Война и мир,1846,1051
Достоевский Фёдор Михайлович,Ревизор,1896,387
Шолохов Михаил Александрович,Война и мир,1968,549
Салтыков-Щедрин Михаил Евграфович,Мертвые души,1922,1071
Толстой Лев Николаевич,Русские женщины,1955,1375
Ахматова Анна Андреевна,Бесы,1888,154
Островский Александр Николаевич,Тихий Дон,1915,533
Некрасов Виктор Платонович,Воскресение,1823,1469
Толстой Лев Николаевич,Пётр Первый,1804,1484
Бродский Иосиф Александрович,Записки охотника,1886,622
Толстой Лев Николаевич,Война и мир,2006,938
Блок Александр Александрович,Кому на Руси жить хорошо,2013,345
Ахматова Анна Андреевна,Братья Карамазовы,2010,595
Есенин Сергей Александрович,Отцы и дети,1980,1031
Блок Александр Александрович,Рядовой Лютиков,1807,630
Набоков Владимир Владимирович,Война и мир,1889,810
Тургенев Иван Сергеевич,Донские рассказы,1834,63
Грибоедов Александр Сергеевич,Ася,1828,1372
Мандельштам Осип Эмильевич,Записки охотника,1861,913
Есенин Сергей Александрович,Крестьянские дети,1952,904
Островский Александр Николаевич,Листопад,1876,139
Толстой Лев Николаевич,Мертвые души,1890,439
Островский Александр Николаевич,Железная дорога,2016,809
Лермонтов Михаил Юрьевич,Дом с мезонином,1957,844
Добролюбов Николай Александрович,Первая любовь,1909,1281
Цветаева Марина Ивановна,Мастер и Маргарита,1812,418
Замятин Евгений Иванович,Евгений Онегин,1878,1377
Маяковский Владимир Владимирович,Собачье сердце,1942,1108
Толстой Лев Николаевич,Идиот,1948,642
Мандельштам Осип Эмильевич,Листопад,1852,64
Маяковский Владимир Владимирович,Медный всадник,1982,637
Набоков Владимир Владимирович,Хождение по мукам,1934,1310
Ильф Илья Арнольдович,Судьба человека,1924,523
Достоевский Фёдор Михайлович,Мертвые души,1897,674
Некрасов Виктор Платонович,Тихий Дон,1897,670
Чехов Антон Павлович,В окопах Сталинграда,1952,258
Петров Евгений Петрович,Хождение по мукам,1956,164
Бродский Иосиф Александрович,Кому на Руси жить хорошо,1929,61
Ахматова Анна Андреевна,Мастер и Маргарита,1950,1448
Некрасов Николай Алексеевич,Война и мир,1890,861
Тургенев Иван Сергеевич,Антоновские яблоки,1879,90
Некрасов Николай Алексеевич,Тарас Бульба,1908,1436
Чехов Антон Павлович,В окопах Сталинграда,1853,1285
Булгаков Михаил Афанасьевич,Отцы и дети,1903,511
Пастернак Борис Леонидович,Преступление и наказание,2019,1329
Горький Максим,Тарас Бульба,1810,73
Некрасов Виктор Платонович,Евгений Онегин,1876,1010
Замятин Евгений Иванович,Евгений Онегин,1829,1137
Шолохов Михаил Александрович,Братья Карамазовы,1864,50
Бродский Иосиф Александрович,Белые ночи,1843,901
Стругацкий Аркадий Натанович,Митина любовь,1819,820
Есенин Сергей Александрович,Белая гвардия,1824,631
Стругацкий Аркадий Натанович,Хождение по мукам,1851,232
Грибоедов Александр Сергеевич,Дом с мезонином,1929,302
Есенин Сергей Александрович,Белая гвардия,1952,1116
Замятин Евгений Иванович,Вий,1802,1480
Тургенев Иван Сергеевич,Митина любовь,1929,922
Пушкин Александр Сергеевич,Кому на Руси жить хорошо,2017,1105
Куприн Александр Иванович,Мертвые души,2016,131
Пушкин Александр Сергеевич,Воскресение,2017,68
Чернышевский Николай Гаврилович,Ася,1933,1292
Достоевский Фёдор Михайлович,Ионыч,1951,63
Булгаков Михаил Афанасьевич,Рядовой Лютиков,1938,548
Цветаева Марина Ивановна,Ионыч,1922,1126
Толстой Лев Николаевич,Ионыч,1986,769
Ахматова Анна Андреевна,Тарас Бульба,1972,1302
Грин Александр Степанович,Детство,1840,782
Лесков Николай Семёнович,Мастер и Маргарита,1892,759
Чернышевский Николай Гаврилович,Русские женщины,1990,406
Гоголь Николай Васильевич,Ася,1876,411
Чернышевский Николай Гаврилович,Белая гвардия,1994,650
Бродский Иосиф Александрович,Ионыч,1859,446
Толстой Алексей Николаевич,Первая любовь,1840,1234
Толстой Лев Николаевич,Мастер и Маргарита,1834,520
Чернышевский Николай Гаврилович,Братья Карамазовы,1890,227
Куприн Александр Иванович,Вий,1929,1361
Гоголь Николай Васильевич,Преступление и наказание,1831,197
Достоевский Фёдор Михайлович,Тарас Бульба,1932,1162
Чернышевский Николай Гаврилович,Белая гвардия,1812,640
Добролюбов Николай Александрович,Железная дорога,1959,1149
Пушкин Александр Сергеевич,Собачье сердце,1848,284
Есенин Сергей Александрович,Ася,1850,54
Толстой Алексей Николаевич,Тёмные аллеи,1836,1080
Некрасов Николай Алексеевич,Тёмные аллеи,1990,409
Бунин Иван Алексеевич,Дом с мезонином,1869,1049
Маяковский Владимир Владимирович,Мертвые души,1961,1458
Гоголь Николай Васильевич,Мертвые души,1893,367
Толстой Лев Николаевич,Ревизор,1984,808
Мандельштам Осип Эмильевич,Шинель,1842,928
Ахматова Анна Андреевна,Записки охотника,1995,1489
Тургенев Иван Сергеевич,Вишнёвый сад,1832,855
Некрасов Николай Алексеевич,Преступление и наказание,1809,679
Ахматова Анна Андреевна,Мастер и Маргарита,1962,281
Чернышевский Николай Гаврилович,Белая гвардия,1963,668
Булгаков Михаил Афанасьевич,Собачье сердце,1817,619
Лесков Николай Семёнович,Братья Карамазовы,1909,1114
Пастернак Борис Леонидович,Русские женщины,1898,408
Пастернак Борис Леонидович,Бесы,1895,957
Салтыков-Щедрин Михаил Евграфович,Записки охотника,1874,224
Салтыков-Щедрин Михаил Евграфович,Тихий Дон,1998,1142
Салтыков-Щедрин Михаил Евграфович,Евгений Онегин,1865,1096
Бродский Иосиф Александрович,Ревизор,1981,818
Куприн Александр Иванович,Тарас Бульба,1800,358
Толстой Лев Николаевич,Листопад,1997,1481
Есенин Сергей Александрович,Тихий Дон,1840,550
Стругацкий Борис Натанович,Собачье сердце,1819,697
Толстой Лев Николаевич,Вишнёвый сад,1925,757
Лермонтов Михаил Юрьевич,Война и мир,1897,1086
Бродский Иосиф Александрович,Война и мир,2022,905
Грибоедов Александр Сергеевич,Вий,1856,342
Грин Александр Степанович,Русские женщины,1881,1023
Бунин Иван Алексеевич,Митина любовь,1843,734
Тургенев Иван Сергеевич,Евгений Онегин,2023,589
Салтыков-Щедрин Михаил Евграфович,Медный всадник,1885,919
Стругацкий Аркадий Натанович,Мертвые души,1879,1158
Пушкин Александр Сергеевич,Ревизор,1800,867
Некрасов Николай Алексеевич,Русские женщины,1840,336
Маяковский Владимир Владимирович,Лёгкое дыхание,1956,925
Толстой Лев Николаевич,Лёгкое дыхание,1832,1270
Шолохов Михаил Александрович,Мертвые души,1854,1391
Булгаков Михаил Афанасьевич,Записки охотника,1933,687
Толстой Лев Николаевич,Аэлита,1895,154
Бродский Иосиф Александрович,Анна Каренина,1869,1468
Бродский Иосиф Александрович,Записки охотника,1849,757
Цветаева Марина Ивановна,Война и мир,1986,1100
Толстой Лев Николаевич,Донские рассказы,1980,710
Ахматова Анна Андреевна,Вишнёвый сад,1996,302
Стругацкий Аркадий Натанович,Ася,1829,1239
Шолохов Михаил Александрович,Пётр Первый,1864,1481
Пастернак Борис Леонидович,Аэлита,1896,1136
Бунин Иван Алексеевич,Преступление и наказание,1897,1491
Лермонтов Михаил Юрьевич,Аэлита,1931,1151
Куприн Александр Иванович,Записки охотника,1912,187
Толстой Лев Николаевич,Евгений Онегин,2005,679
Ахматова Анна Андреевна,Воскресение,1972,1485
Гоголь Николай Васильевич,Кому на Руси жить хорошо,1960,703
Ахматова Анна Андреевна,В окопах Сталинграда,1993,309
Цветаева Марина Ивановна,Идиот,1908,1312
Маяковский Владимир Владимирович,Мастер и Маргарита,2009,711
Достоевский Фёдор Михайлович,Железная дорога,1909,1435
Ахматова Анна Андреевна,Пётр Первый,1805,1304
Тургенев Иван Сергеевич,Ревизор,1984,1100
Булгаков Михаил Афанасьевич,Воскресение,1930,822
Замятин Евгений Иванович,Белые ночи,1908,772
Толстой Алексей Николаевич,Вишнёвый сад,1974,1109
Беляев Александр Романович,Евгений Онегин,1858,827
Шолохов Михаил Александрович,Евгений Онегин,1942,58
Набоков Владимир Владимирович,Белая гвардия,1980,1101
Достоевский Фёдор Михайлович,Вий,1859,801
Чехов Антон Павлович,Отцы и дети,1845,376
Островский Александр Николаевич,Мастер и Маргарита,2024,431
Салтыков-Щедрин Михаил Евграфович,Собачье сердце,2001,67
Шолохов Михаил Александрович,Воскресение,1924,478
Добролюбов Николай Александрович,Лёгкое дыхание,1896,131
Шолохов Михаил Александрович,В окопах Сталинграда,1897,211
Островский Александр Николаевич,Детство,1918,1275
Булгаков Михаил Афанасьевич,Ревизор,1851,748
Грибоедов Александр Сергеевич,Рядовой Лютиков,1960,260
Толстой Лев Николаевич,Кому на Руси жить хорошо,1891,122
Толстой Лев Николаевич,Ионыч,1846,905
Толстой Лев Николаевич,Крестьянские дети,1855,103
Набоков Владимир Владимирович,Детство,1943,616
Толстой Лев Николаевич,Война и мир,1926,1261
Петров Евгений Петрович,Война и мир,1900,1300
Замятин Евгений Иванович,Тихий Дон,1890,137
Толстой Лев Николаевич,Маленькая печальная повесть,1944,392
Грибоедов Александр Сергеевич,Детство,1988,584
Блок Александр Александрович,Идиот,1912,366
Чехов Антон Павлович,Пётр Первый,1821,649
Толстой Лев Николаевич,Воскресение,1831,1212
Достоевский Фёдор Михайлович,Воскресение,1934,643
Пушкин Александр Сергеевич,Ася,1887,956
Маяковский Владимир Владимирович,Мастер и Маргарита,2000,1167
Есенин Сергей Александрович,Медный всадник,1845,610
Островский Александр Николаевич,Тарас Бульба,1835,340
Толстой Лев Николаевич,Русские женщины,1950,1450
Толстой Лев Николаевич,Тёмные аллеи,1966,1021
Стругацкий Аркадий Натанович,Бесы,1953,245
Грин Александр Степанович,Война и мир,2011,755
Куприн Александр Иванович,Отцы и дети,1842,204
Пушкин Александр Сергеевич,Ревизор,1828,1441
Чернышевский Николай Гаврилович,Идиот,1996,419
Достоевский Фёдор Михайлович,Тёмные аллеи,1979,880
Горький Максим,Тарас Бульба,1841,1238
Мандельштам Осип Эмильевич,Пётр Первый,1807,1234
Чернышевский Николай Гаврилович,Белая гвардия,1864,910
Толстой Лев Николаевич,Война и мир,1933,1148
Шолохов Михаил Александрович,Медный всадник,2008,195
Грин Александр Степанович,Война и мир,1888,944
Достоевский Фёдор Михайлович,Донские рассказы,1831,815
Маяковский Владимир Владимирович,Медный всадник,1888,214
Куприн Александр Иванович,Судьба человека,1954,258
Замятин Евгений Иванович,Детство,1997,504
Толстой Лев Николаевич,Ася,1881,1296
