author,title,year,pages
Толстой Лев Николаевич,Кому на Руси жить хорошо,1821,152
Лермонтов Михаил Юрьевич,Мертвые души,1805,221
Петров Евгений Петрович,Записки охотника,1841,722
Ильф Илья Арнольдович,Мертвые души,1967,797
Пушкин Александр Сергеевич,Лёгкое дыхание,1868,730
Стругацкий Борис Натанович,Крестьянские дети,1838,580
Блок Александр Александрович,Маленькая печальная повесть,1886,1433
Грибоедов Александр Сергеевич,Хамелеон,1998,711
Беляев Александр Романович,Мертвые души,1902,688
Цветаева Марина Ивановна,Кому на Руси жить хорошо,1994,163
Платонов Андрей Платонович,Хамелеон,1954,667
Маяковский Владимир Владимирович,Пётр Первый,1965,677
Достоевский Фёдор Михайлович,Железная дорога,1902,1269
Добролюбов Николай Александрович,Дама с собачкой,1894,738
Грин Александр Степанович,Идиот,1825,297
Достоевский Фёдор Михайлович,Евгений Онегин,1854,201
Замятин Евгений Иванович,Крестьянские дети,1831,418
Платонов Андрей Платонович,Кому на Руси жить хорошо,1819,738
Некрасов Николай Алексеевич,Пётр Первый,1904,720
Островский Александр Николаевич,Лёгкое дыхание,1973,1120
Блок Александр Александрович,Митина любовь,1809,668
Стругацкий Борис Натанович,Преступление и наказание,1955,648
Блок Александр Александрович,Донские рассказы,1980,961
Горький Максим,Дом с мезонином,1974,245
Гоголь Николай Васильевич,Тихий Дон,1961,908
Шолохов Михаил Александрович,Белые ночи,1844,295
Петров Евгений Петрович,Идиот,1876,1456
Мандельштам Осип Эмильевич,Белая гвардия,1949,669
Беляев Александр Романович,Аэлита,1936,735
Цветаева Марина Ивановна,Анна Каренина,1990,1489
Лесков Николай Семёнович,Ревизор,1863,1441
Петров Евгений Петрович,Ионыч,1914,1308
Стругацкий Аркадий Натанович,Рядовой Лютиков,1928,1043
Есенин Сергей Александрович,Тарас Бульба,1982,1465
Булгаков Михаил Афанасьевич,Шинель,2013,1148
Булгаков Михаил Афанасьевич,Железная дорога,1959,1261
Добролюбов Николай Александрович,Мастер и Маргарита,2020,1160
Цветаева Марина Ивановна,Мертвые души,1827,235
Толстой Лев Николаевич,Белая гвардия,1988,1119
Замятин Евгений Иванович,Хождение по мукам,2002,503
Цветаева Марина Ивановна,Рядовой Лютиков,1874,210
Чехов Антон Павлович,Антоновские яблоки,1825,977
Есенин Сергей Александрович,Маленькая печальная повесть,1897,844
Беляев Александр Романович,Дом с мезонином,1808,52
Замятин Евгений Иванович,Преступление и наказание,1965,543
Замятин Евгений Иванович,Белая гвардия,1802,1029
Чернышевский Николай Гаврилович,В окопах Сталинграда,1880,1122
Бунин Иван Алексеевич,Преступление и наказание,2006,1043
Блок Александр Александрович,В окопах Сталинграда,2003,507
Тургенев Иван Сергеевич,Ася,1929,1202
Стругацкий Аркадий Натанович,Тёмные аллеи,2018,1037
Толстой Лев Николаевич,Дом с мезонином,1881,876
Есенин Сергей Александрович,Тарас Бульба,1976,1482
Чернышевский Николай Гаврилович,Анна Каренина,1968,716
Блок Александр Александрович,Кому на Руси жить хорошо,1984,1018
Лермонтов Михаил Юрьевич,Братья Карамазовы,1851,1381
Лесков Николай Семёнович,Идиот,2004,847
Добролюбов Николай Александрович,Вишнёвый сад,1890,476
Чехов Антон Павлович,Тёмные аллеи,1951,1461
Толстой Алексей Николаевич,Тихий Дон,1821,181
Ильф Илья Арнольдович,Тихий Дон,1837,141
Толстой Лев Николаевич,Маленькая печальная повесть,1826,886
Гоголь Николай Васильевич,Вий,1901,273
Беляев Александр Романович,Преступление и наказание,1879,196
Маяковский Владимир Владимирович,Белая гвардия,1871,1175
Замятин Евгений Иванович,Лёгкое дыхание,2002,1048
Толстой Лев Николаевич,Донские рассказы,1985,664
Шолохов Михаил Александрович,Идиот,2012,1485
Есенин Сергей Александрович,Преступление и наказание,1947,1028
Бунин Иван Алексеевич,Пётр Первый,1810,1215
Петров Евгений Петрович,Тихий Дон,1800,282
Маяковский Владимир Владимирович,Братья Карамазовы,1999,901
Некрасов Николай Алексеевич,Судьба человека,1845,642
Стругацкий Борис Натанович,Идиот,1940,977
Чернышевский Николай Гаврилович,Железная дорога,1819,366
Горький Максим,Первая любовь,1826,126
Цветаева Марина Ивановна,Железная дорога,1814,860
Грибоедов Александр Сергеевич,Отцы и дети,1878,1187
Салтыков-Щедрин Михаил Евграфович,Крестьянские дети,2018,1455
Набоков Владимир Владимирович,Дама с собачкой,1983,987
Гоголь Николай Васильевич,Антоновские яблоки,1917,58
Толстой Лев Николаевич,Детство,1999,992
Шолохов Михаил Александрович,Хамелеон,1994,127
Грин Александр Степанович,Антоновские яблоки,1989,144
Пастернак Борис Леонидович,Братья Карамазовы,1981,1104
Толстой Лев Николаевич,Ася,1871,752
Бунин Иван Алексеевич,Вий,1803,1007
Добролюбов Николай Александрович,Анна Каренина,1808,184
Бродский Иосиф Александрович,Дом с мезонином,1958,1082
Куприн Александр Иванович,Братья Карамазовы,1900,820
Чернышевский Николай Гаврилович,Ревизор,1935,1025
Толстой Лев Николаевич,Крестьянские дети,1835,1313
Бунин Иван Алексеевич,Хождение по мукам,1932,101
Пастернак Борис Леонидович,Крестьянские дети,1813,704
Тургенев Иван Сергеевич,Пётр Первый,1930,1228
Некрасов Николай Алексеевич,Тарас Бульба,2010,776
Блок Александр Александрович,Ревизор,1858,1230
Толстой Лев Николаевич,Пётр Первый,1869,794
Стругацкий Аркадий Натанович,Анна Каренина,1924,1360
Достоевский Фёдор Михайлович,Маленькая печальная повесть,1891,540
Блок Александр Александрович,Хождение по мукам,1989,122
Петров Евгений Петрович,Листопад,1858,626
Толстой Лев Николаевич,Антоновские яблоки,1883,143
Замятин Евгений Иванович,Маленькая печальная повесть,1827,393
Платонов Андрей Платонович,Шинель,2022,1459
Булгаков Михаил Афанасьевич,Анна Каренина,1997,1085
Бунин Иван Алексеевич,Хождение по мукам,1909,969
Бунин Иван Алексеевич,Хамелеон,1875,1215
Петров Евгений Петрович,Вишнёвый сад,1964,486
Замятин Евгений Иванович,Первая любовь,1994,941
Толстой Лев Николаевич,Аэлита,1927,553
Есенин Сергей Александрович,Крестьянские дети,1838,544
Лермонтов Михаил Юрьевич,Морфий,1884,1017
Гоголь Николай Васильевич,Собачье сердце,1832,1401
Маяковский Владимир Владимирович,Медный всадник,1809,1482
Платонов Андрей Платонович,Бесы,1904,352
Пушкин Александр Сергеевич,Аэлита,1822,1173
Бунин Иван Алексеевич,Собачье сердце,2004,1463
Добролюбов Николай Александрович,Дом с мезонином,1868,427
Стругацкий Борис Натанович,Дом с мезонином,1983,572
Пастернак Борис Леонидович,Хождение по мукам,1903,542
Замятин Евгений Иванович,Митина любовь,2001,1101
Чернышевский Николай Гаврилович,Листопад,1993,677
Грибоедов Александр Сергеевич,Анна Каренина,2010,801
Пушкин Александр Сергеевич,Тарас Бульба,1925,1040
Стругацкий Борис Натанович,Листопад,1834,66
Шолохов Михаил Александрович,Пётр Первый,1883,337
Тургенев Иван Сергеевич,Лёгкое дыхание,1872,468
Ильф Илья Арнольдович,Ася,1870,105
Пушкин Александр Сергеевич,Анна Каренина,1912,223
Некрасов Виктор Платонович,Мастер и Маргарита,1864,1262
Платонов Андрей Платонович,Тёмные аллеи,1866,1163
Пушкин Александр Сергеевич,Ася,2023,297
Стругацкий Борис Натанович,Донские рассказы,1848,946
Тургенев Иван Сергеевич,Кому на Руси жить хорошо,1905,1401
Лесков Николай Семёнович,Воскресение,1929,478
Толстой Алексей Николаевич,Преступление и наказание,1825,671
Стругацкий Аркадий Натанович,Вий,1960,746
Куприн Александр Иванович,Рядовой Лютиков,1959,275
Гоголь Николай Васильевич,Шинель,1897,813
Салтыков-Щедрин Михаил Евграфович,Медный всадник,1977,1326
Пушкин Александр Сергеевич,Шинель,1868,1111
Маяковский Владимир Владимирович,Дама с собачкой,1948,1398
Некрасов Николай Алексеевич,Идиот,1855,175
Набоков Владимир Владимирович,Маленькая печальная повесть,1818,1242
Толстой Лев Николаевич,Мастер и Маргарита,1863,849
Толстой Лев Николаевич,Ася,1904,961
Маяковский Владимир Владимирович,Собачье сердце,1959,508
Бунин Иван Алексеевич,В окопах Сталинграда,1902,170
Толстой Лев Николаевич,Рядовой Лютиков,1934,256
Гоголь Николай Васильевич,Тихий Дон,1851,956
Пушкин Александр Сергеевич,Бесы,1843,1354
Пастернак Борис Леонидович,Детство,1841,342
Замятин Евгений Иванович,Собачье сердце,2010,384
Есенин Сергей Александрович,Мертвые души,1986,1307
Толстой Лев Николаевич,Рядовой Лютиков,1812,1065
Стругацкий Борис Натанович,Ревизор,1805,655
Добролюбов Николай Александрович,Отцы и дети,2007,262
Есенин Сергей Александрович,Железная дорога,1816,556
Добролюбов Николай Александрович,Вишнёвый сад,1950,805
Цветаева Марина Ивановна,Белые ночи,2010,350
Грибоедов Александр Сергеевич,Шинель,2009,994
Стругацкий Аркадий Натанович,Кому на Руси жить хорошо,1816,1483
Толстой Лев Николаевич,Листопад,1891,1177
Чехов Антон Павлович,Ионыч,1859,1477
Платонов Андрей Платонович,Тихий Дон,1927,360
Петров Евгений Петрович,Медный всадник,1903,242
Шолохов Михаил Александрович,Собачье сердце,1812,1271
Салтыков-Щедрин Михаил Евграфович,Анна Каренина,1967,1256
Достоевский Фёдор Михайлович,Анна Каренина,1895,573
Беляев Александр Романович,Хождение по мукам,1960,619
Достоевский Фёдор Михайлович,Морфий,1877,411
Добролюбов Николай Александрович,Русские женщины,1935,945
Маяковский Владимир Владимирович,Записки охотника,1959,981
Некрасов Виктор Платонович,Детство,1955,1196
Петров Евгений Петрович,Рядовой Лютиков,1804,1144
Платонов Андрей Платонович,Тарас Бульба,1960,934
Горький Максим,Тихий Дон,1826,1037
Толстой Лев Николаевич,Хождение по мукам,1805,1309
Горький Максим,Железная дорога,1845,164
Гоголь Николай Васильевич,Митина любовь,1874,1321
Платонов Андрей Платонович,Ионыч,1804,1436
Гоголь Николай Васильевич,Листопад,1969,653
Петров Евгений Петрович,Тарас Бульба,1996,664
Грин Александр Степанович,Кому на Руси жить хорошо,2000,1465
Платонов Андрей Платонович,Листопад,1938,1095
Платонов Андрей Платонович,Бесы,1895,811
Толстой Алексей Николаевич,Кому на Руси жить хорошо,1948,191
Цветаева Марина Ивановна,Хождение по мукам,1864,825
Пастернак Борис Леонидович,Вий,1918,1138
Лермонтов Михаил Юрьевич,Тарас Бульба,1956,504
Толстой Лев Николаевич,Вий,1937,1435
Стругацкий Аркадий Натанович,Отцы и дети,1930,297
Пушкин Александр Сергеевич,Бесы,1820,1214
Добролюбов Николай Александрович,Братья Карамазовы,1864,1172
Тургенев Иван Сергеевич,Бесы,1904,512
Стругацкий Аркадий Натанович,Антоновские яблоки,1991,826
Маяковский Владимир Владимирович,Дама с собачкой,1800,924
Стругацкий Борис Натанович,Аэлита,1948,1320
Толстой Лев Николаевич,Митина любовь,2002,207
Толстой Лев Николаевич,Митина любовь,1856,168
Салтыков-Щедрин Михаил Евграфович,Белые ночи,1848,348
Толстой Алексей Николаевич,Записки охотника,1904,1046
Мандельштам Осип Эмильевич,Ионыч,1819,492
Ахматова Анна Андреевна,Белые ночи,1979,837
Ильф Илья Арнольдович,Тёмные аллеи,2011,713
Беляев Александр Романович,Война и мир,2015,326
Толстой Лев Николаевич,Ася,1897,1248
Куприн Александр Иванович,Тёмные аллеи,1961,62
Есенин Сергей Александрович,Белые ночи,1857,234
Толстой Алексей Николаевич,Вий,1944,180
Бродский Иосиф Александрович,Евгений Онегин,1968,1223
Блок Александр Александрович,Тёмные аллеи,1956,1030
Толстой Алексей Николаевич,Тёмные аллеи,1886,1179
Есенин Сергей Александрович,Евгений Онегин,1857,1360
Толстой Лев Николаевич,Листопад,1865,855
Замятин Евгений Иванович,Преступление и наказание,1840,781
Петров Евгений Петрович,Воскресение,1882,786
Мандельштам Осип Эмильевич,Судьба человека,1978,1190
Салтыков-Щедрин Михаил Евграфович,Ревизор,1963,275
Куприн Александр Иванович,Отцы и дети,1971,611
Платонов Андрей Платонович,Мертвые души,1946,1242
Гоголь Николай Васильевич,Ионыч,1914,1192
Стругацкий Борис Натанович,Дама с собачкой,1885,932
Беляев Александр Романович,Анна Каренина,1961,176
Лермонтов Михаил Юрьевич,Железная дорога,2016,706
Булгаков Михаил Афанасьевич,Евгений Онегин,1990,1396
Грибоедов Александр Сергеевич,Ревизор,1900,624
Шолохов Михаил Александрович,Тихий Дон,1878,1282
Островский Александр Николаевич,Вишнёвый сад,1874,140
Тургенев Иван Сергеевич,Белая гвардия,1946,461
Толстой Лев Николаевич,Братья Карамазовы,1937,331
Толстой Лев Николаевич,Железная дорога,1878,579
Добролюбов Николай Александрович,Дама с собачкой,1877,891
Достоевский Фёдор Михайлович,Пётр Первый,1839,1090
Ахматова Анна Андреевна,Хамелеон,1825,707
Чернышевский Николай Гаврилович,Вишнёвый сад,1847,1227
Шолохов Михаил Александрович,Белые ночи,1996,246
Есенин Сергей Александрович,Вий,1843,824
Набоков Владимир Владимирович,Ася,1905,724
Бунин Иван Алексеевич,Идиот,1992,262
Бродский Иосиф Александрович,Русские женщины,1895,1309
Блок Александр Александрович,Записки охотника,1889,67
Грин Александр Степанович,Братья Карамазовы,1844,433
Замятин Евгений Иванович,Листопад,1873,265
Стругацкий Аркадий Натанович,Пётр Первый,1970,1319
Мандельштам Осип Эмильевич,Антоновские яблоки,1873,590
Толстой Лев Николаевич,Отцы и дети,1915,542
Толстой Лев Николаевич,Вишнёвый сад,1892,1496
Толстой Лев Николаевич,Ионыч,1925,893
Некрасов Виктор Платонович,Рядовой Лютиков,1876,699
Толстой Лев Николаевич,Хождение по мукам,1851,809
Горький Максим,Шинель,1999,388
Цветаева Марина Ивановна,Тёмные аллеи,1948,542
Лермонтов Михаил Юрьевич,Мертвые души,1964,259
Островский Александр Николаевич,Крестьянские дети,1924,938
Бунин Иван Алексеевич,Крестьянские дети,2002,1190
Петров Евгений Петрович,Аэлита,1801,654
Чернышевский Николай Гаврилович,Анна Каренина,1961,525
Стругацкий Борис Натанович,Мертвые души,2009,1002
Замятин Евгений Иванович,Тихий Дон,1989,839
Салтыков-Щедрин Михаил Евграфович,Листопад,2024,970
Бродский Иосиф Александрович,Медный всадник,2020,1377
Добролюбов Николай Александрович,Дама с собачкой,1878,1273
Платонов Андрей Платонович,Морфий,1939,1043
Толстой Лев Николаевич,Идиот,1827,1251
Толстой Лев Николаевич,Идиот,1841,1172
Платонов Андрей Платонович,Судьба человека,1890,610
Петров Евгений Петрович,Мертвые души,1986,388
Грин Александр Степанович,Дом с мезонином,2006,178
Грин Александр Степанович,Тихий Дон,1841,1494
Булгаков Михаил Афанасьевич,Вишнёвый сад,1897,206
Стругацкий Аркадий Натанович,Маленькая печальная повесть,1881,722
Пастернак Борис Леонидович,Вишнёвый сад,2017,1266
Некрасов Николай Алексеевич,Тёмные аллеи,1864,1179
Маяковский Владимир Владимирович,Мертвые души,1896,335
Толстой Лев Николаевич,Первая любовь,1916,140
Толстой Лев Николаевич,Судьба человека,1886,430
Набоков Владимир Владимирович,Тихий Дон,1803,1206
Маяковский Владимир Владимирович,Ионыч,1874,1403
Толстой Лев Николаевич,Тарас Бульба,1989,1446
Блок Александр Александрович,Мастер и Маргарита,1857,578
Шолохов Михаил Александрович,Рядовой Лютиков,1960,849
Добролюбов Николай Александрович,Евгений Онегин,1899,1435
Гоголь Николай Васильевич,Ася,1981,1275
Грин Александр Степанович,Донские рассказы,1995,304
Тургенев Иван Сергеевич,Братья Карамазовы,1811,252
Стругацкий Борис Натанович,Бесы,1894,1107
Некрасов Николай Алексеевич,Преступление и наказание,1903,1124
Платонов Андрей Платонович,Маленькая печальная повесть,1840,931
Лесков Николай Семёнович,Кому на Руси жить хорошо,1917,138
Лермонтов Михаил Юрьевич,Дама с собачкой,1939,741
Чехов Антон Павлович,Идиот,1849,50
Салтыков-Щедрин Михаил Евграфович,Антоновские яблоки,1806,879
Пастернак Борис Леонидович,Вий,1897,67
Шолохов Михаил Александрович,Белая гвардия,1829,1157
Ильф Илья Арнольдович,Тарас Бульба,1984,841
Петров Евгений Петрович,Братья Карамазовы,2020,887
Толстой Алексей Николаевич,Ионыч,1927,1189
Салтыков-Щедрин Михаил Евграфович,Евгений Онегин,1842,1230
Замятин Евгений Иванович,Вий,1991,471
Толстой Алексей Николаевич,Дом с мезонином,1911,745
Стругацкий Борис Натанович,Рядовой Лютиков,2007,440
Толстой Лев Николаевич,Крестьянские дети,1907,385
Маяковский Владимир Владимирович,Бесы,1993,1432
Платонов Андрей Платонович,Тихий Дон,1901,570
Маяковский Владимир Владимирович,Маленькая печальная повесть,1890,702
Мандельштам Осип Эмильевич,Идиот,1925,1016
Лермонтов Михаил Юрьевич,Ревизор,1824,1083
Мандельштам Осип Эмильевич,Собачье сердце,1926,1368
Толстой Лев Николаевич,Отцы и дети,1921,512
Горький Максим,Ревизор,1896,691
Стругацкий Борис Натанович,Мертвые души,1984,1419
Толстой Лев Николаевич,Рядовой Лютиков,1829,964
Толстой Алексей Николаевич,Донские рассказы,1802,1179
Некрасов Виктор Платонович,Кому на Руси жить хорошо,1987,1110
Достоевский Фёдор Михайлович,Детство,1985,1212
Платонов Андрей Платонович,Антоновские яблоки,1825,303
Чернышевский Николай Гаврилович,Братья Карамазовы,1814,529
Толстой Алексей Николаевич,Бесы,1867,896
Толстой Лев Николаевич,Записки охотника,1911,844
Толстой Лев Николаевич,Митина любовь,2016,1241
Ахматова Анна Андреевна,Шинель,1989,339
Некрасов Виктор Платонович,Русские женщины,1872,1130
Есенин Сергей Александрович,Отцы и дети,1948,1340
Островский Александр Николаевич,Анна Каренина,1879,423
Салтыков-Щедрин Михаил Евграфович,Преступление и наказание,1893,673
Есенин Сергей Александрович,Антоновские яблоки,1968,1089
Набоков Владимир Владимирович,Лёгкое дыхание,1937,861
Бродский Иосиф Александрович,Тёмные аллеи,1961,223
Замятин Евгений Иванович,Митина любовь,1939,1401
Замятин Евгений Иванович,Детство,2014,510
Булгаков Михаил Афанасьевич,Воскресение,1932,986
Некрасов Николай Алексеевич,Лёгкое дыхание,1914,1470
Толстой Лев Николаевич,Братья Карамазовы,2010,377
Пастернак Борис Леонидович,Ревизор,1914,864
Толстой Лев Николаевич,Братья Карамазовы,1937,768
Толстой Лев Николаевич,Медный всадник,1856,235
Блок Александр Александрович,Митина любовь,1960,830
Некрасов Виктор Платонович,Крестьянские дети,1814,1144
Толстой Алексей Николаевич,Судьба человека,1825,626
Толстой Лев Николаевич,Дама с собачкой,1832,535
Толстой Лев Николаевич,Медный всадник,1891,560
Замятин Евгений Иванович,Митина любовь,1945,406
Пушкин Александр Сергеевич,В окопах Сталинграда,1930,1497
Шолохов Михаил Александрович,Рядовой Лютиков,1867,1485
Мандельштам Осип Эмильевич,Анна Каренина,1899,754
Толстой Лев Николаевич,Крестьянские дети,1978,289
Грин Александр Степанович,Тарас Бульба,1858,795
Толстой Лев Николаевич,Собачье сердце,1880,532
Толстой Лев Николаевич,Тихий Дон,1919,884
Толстой Лев Николаевич,Мастер и Маргарита,1860,496
Шолохов Михаил Александрович,Судьба человека,1974,1310
Чехов Антон Павлович,Судьба человека,2024,1175
Булгаков Михаил Афанасьевич,Митина любовь,1937,1369
Бродский Иосиф Александрович,Дама с собачкой,1988,266
Ильф Илья Арнольдович,Мертвые души,1905,124
Платонов Андрей Платонович,Крестьянские дети,1978,904
Гоголь Николай Васильевич,Вишнёвый сад,1887,741
Толстой Лев Николаевич,Дама с собачкой,1899,1469
Стругацкий Борис Натанович,Кому на Руси жить хорошо,1890,610
Тургенев Иван Сергеевич,Бесы,1999,199
Ильф Илья Арнольдович,Идиот,1899,552
Островский Александр Николаевич,Лёгкое дыхание,1853,756
Толстой Лев Николаевич,Пётр Первый,1953,1447
Гоголь Николай Васильевич,Судьба человека,2021,886
Стругацкий Аркадий Натанович,Медный всадник,1925,1100
Грин Александр Степанович,Ася,1983,488
Булгаков Михаил Афанасьевич,Судьба человека,2016,772
Пушкин Александр Сергеевич,Лёгкое дыхание,2014,1200
Шолохов Михаил Александрович,Медный всадник,1975,1264
Петров Евгений Петрович,Железная дорога,1955,482
Ильф Илья Арнольдович,Медный всадник,1920,1438
Грибоедов Александр Сергеевич,Донские рассказы,1991,224
Лермонтов Михаил Юрьевич,Ревизор,1951,222
Бродский Иосиф Александрович,Война и мир,1836,1004
Толстой Лев Николаевич,Дом с мезонином,1808,641
Салтыков-Щедрин Михаил Евграфович,Тёмные аллеи,1818,1030
Толстой Алексей Николаевич,Дом с мезонином,1956,691
Лермонтов Михаил Юрьевич,Детство,1927,473
Пушкин Александр Сергеевич,Собачье сердце,1899,1147
Чехов Антон Павлович,Мастер и Маргарита,1977,1276
Чернышевский Николай Гаврилович,Белые ночи,2007,939
Добролюбов Николай Александрович,Записки охотника,2020,1213
Блок Александр Александрович,Хождение по мукам,1900,99
Стругацкий Аркадий Натанович,Хамелеон,1933,239
Салтыков-Щедрин Михаил Евграфович,Аэлита,1829,838
Грин Александр Степанович,Судьба человека,1913,285
Стругацкий Борис Натанович,Тарас Бульба,1802,462
Петров Евгений Петрович,Белые ночи,2020,1486
Грибоедов Александр Сергеевич,Ася,1846,179
Пастернак Борис Леонидович,Собачье сердце,1975,818
Маяковский Владимир Владимирович,Ионыч,2005,684
Булгаков Михаил Афанасьевич,Донские рассказы,1990,362
Гоголь Николай Васильевич,Кому на Руси жить хорошо,2002,369
Некрасов Николай Алексеевич,Русские женщины,1855,204
Горький Максим,Донские рассказы,1917,1390
Салтыков-Щедрин Михаил Евграфович,Детство,1955,1079
Блок Александр Александрович,В окопах Сталинграда,1849,1099
Набоков Владимир Владимирович,Вишнёвый сад,2007,137
Стругацкий Аркадий Натанович,Аэлита,1823,1325
Грибоедов Александр Сергеевич,Война и мир,1958,291
Лесков Николай Семёнович,Ревизор,1900,1484
Грибоедов Александр Сергеевич,Донские рассказы,1880,1208
Лесков Николай Семёнович,Донские рассказы,1822,1354
Толстой Лев Николаевич,Листопад,1970,494
Пушкин Александр Сергеевич,Медный всадник,1981,492
Цветаева Марина Ивановна,Кому на Руси жить хорошо,1964,733
Цветаева Марина Ивановна,Детство,1850,172
Некрасов Николай Алексеевич,Воскресение,1800,349
Горький Максим,Вишнёвый сад,1940,469
Грибоедов Александр Сергеевич,Первая любовь,1875,502
Пастернак Борис Леонидович,Тёмные аллеи,1855,836
Платонов Андрей Платонович,Вий,1893,294
Ахматова Анна Андреевна,Тарас Бульба,1821,795
Петров Евгений Петрович,Морфий,1840,738
Толстой Лев Николаевич,Пётр Первый,1966,1380
Добролюбов Николай Александрович,Судьба человека,2011,944
Ахматова Анна Андреевна,Тёмные аллеи,1863,510
Бунин Иван Алексеевич,Маленькая печальная повесть,2017,1336
Лермонтов Михаил Юрьевич,Пётр Первый,1965,764
Цветаева Марина Ивановна,Донские рассказы,1873,1345
Платонов Андрей Платонович,Идиот,1806,609
Цветаева Марина Ивановна,Маленькая печальная повесть,1922,1234
Булгаков Михаил Афанасьевич,Тёмные аллеи,1830,752
Есенин Сергей Александрович,Тихий Дон,1857,441
Петров Евгений Петрович,Шинель,1971,322
Есенин Сергей Александрович,Белая гвардия,1826,500
Бунин Иван Алексеевич,Записки охотника,1809,341
Пастернак Борис Леонидович,Хождение по мукам,1950,1210
Достоевский Фёдор Михайлович,Шинель,1828,993
Толстой Лев Николаевич,Евгений Онегин,1905,1220
Гоголь Николай Васильевич,Идиот,1865,1464
Есенин Сергей Александрович,Ревизор,1977,236
Ахматова Анна Андреевна,Крестьянские дети,1808,907
Лесков Николай Семёнович,В окопах Сталинграда,1844,1294
