ФИО автора,название,год издания,количество страниц
Булгаков Михаил Афанасьевич,Отцы и дети,1967,1295
Достоевский Фёдор Михайлович,Ревизор,1523,213
Бунин Иван Алексеевич,Тарас Бульба,1721,513
Некрасов Виктор Платонович,Судьба человека,1183,864
Бунин Иван Алексеевич,Листопад,1727,1686
Некрасов Николай Алексеевич,Медный всадник,1131,162
Толстой Алексей Николаевич,Мертвые души,1192,986
Бунин Иван Алексеевич,Хождение по мукам,1720,1943
Булгаков Михаил Афанасьевич,Судьба человека,1111,1108
Бунин Иван Алексеевич,Листопад,1659,1370
Шолохов Михаил Александрович,Железная дорога,1456,1167
Шолохов Михаил Александрович,Записки охотника,1944,1274
Достоевский Фёдор Михайлович,Первая любовь,1153,1292
Толстой Алексей Николаевич,Мертвые души,1210,278
Булгаков Михаил Афанасьевич,Мастер и Маргарита,1408,943
Пушкин Александр Сергеевич,Морфий,1733,1628
Булгаков Михаил Афанасьевич,Донские рассказы,1479,1811
Достоевский Фёдор Михайлович,Рядовой Лютиков,1401,1882
Булгаков Михаил Афанасьевич,Антоновские яблоки,1127,1451
Бунин Иван Алексеевич,Медный всадник,1212,611
Толстой Лев Николаевич,Ревизор,1586,433
Достоевский Фёдор Михайлович,Война и мир,1674,157
Гоголь Николай Васильевич,Дама с собачкой,1134,326
Некрасов Виктор Платонович,В окопах Сталинграда,1988,937
Тургенев Иван Сергеевич,Первая любовь,1150,1103
Толстой Лев Николаевич,Белые ночи,1785,203
Пушкин Александр Сергеевич,Белая гвардия,1490,1124
Некрасов Виктор Платонович,Тарас Бульба,1493,61
Пушкин Александр Сергеевич,Хамелеон,1913,1005
Толстой Алексей Николаевич,Ионыч,1417,625
Чехов Антон Павлович,Аэлита,1499,1513
Толстой Алексей Николаевич,Железная дорога,1568,1325
Шолохов Михаил Александрович,Белые ночи,1577,1763
Гоголь Николай Васильевич,Братья Карамазовы,1101,357
Достоевский Фёдор Михайлович,Тихий Дон,1457,471
Чехов Антон Павлович,Первая любовь,2006,1601
Бунин Иван Алексеевич,Русские женщины,1877,296
Некрасов Виктор Платонович,Мастер и Маргарита,1703,1371
Некрасов Виктор Платонович,Первая любовь,1626,1352
Тургенев Иван Сергеевич,Дом с мезонином,1112,1229
Пушкин Александр Сергеевич,Медный всадник,1575,713
Булгаков Михаил Афанасьевич,Бесы,2011,563
Достоевский Фёдор Михайлович,Анна Каренина,1170,688
Чехов Антон Павлович,Судьба человека,1741,1098
Булгаков Михаил Афанасьевич,Ионыч,1937,831
Некрасов Николай Алексеевич,Листопад,1356,747
Гоголь Николай Васильевич,Война и мир,1304,1008
Пушкин Александр Сергеевич,Война и мир,1898,1764
Гоголь Николай Васильевич,Мастер и Маргарита,1454,191
Толстой Алексей Николаевич,Пётр Первый,1928,1905
Толстой Лев Николаевич,Железная дорога,1105,520
Гоголь Николай Васильевич,Вий,1801,434
Некрасов Николай Алексеевич,Детство,1303,924
Бунин Иван Алексеевич,Ася,1308,364
Достоевский Фёдор Михайлович,Антоновские яблоки,1371,1629
Толстой Лев Николаевич,Бесы,1779,1668
Чехов Антон Павлович,Железная дорога,1810,1854
Достоевский Фёдор Михайлович,Дом с мезонином,1777,692
Толстой Алексей Николаевич,Хамелеон,1781,1448
Гоголь Николай Васильевич,Отцы и дети,1739,307
Бунин Иван Алексеевич,Евгений Онегин,1332,352
Булгаков Михаил Афанасьевич,Детство,1185,467
Тургенев Иван Сергеевич,В окопах Сталинграда,1435,1369
Толстой Лев Николаевич,Вишнёвый сад,1938,153
Некрасов Николай Алексеевич,Донские рассказы,1665,1285
Тургенев Иван Сергеевич,Маленькая печальная повесть,1465,668
Толстой Алексей Николаевич,Евгений Онегин,1470,1807
Гоголь Николай Васильевич,Тарас Бульба,1727,1499
Некрасов Николай Алексеевич,Железная дорога,1421,1955
Чехов Антон Павлович,Листопад,1619,1187
Чехов Антон Павлович,Записки охотника,1354,1596
Пушкин Александр Сергеевич,Ионыч,1968,96
Тургенев Иван Сергеевич,Анна Каренина,1392,622
Толстой Алексей Николаевич,Собачье сердце,1997,1332
Некрасов Виктор Платонович,Рядовой Лютиков,1553,1156
Некрасов Николай Алексеевич,Вишнёвый сад,1825,365
Шолохов Михаил Александрович,Анна Каренина,1814,1603
Булгаков Михаил Афанасьевич,Записки охотника,1717,929
Некрасов Виктор Платонович,Бесы,1667,1067
Толстой Лев Николаевич,Пётр Первый,1538,1667
Шолохов Михаил Александрович,Мертвые души,1541,563
Некрасов Николай Алексеевич,Морфий,1220,1817
Достоевский Фёдор Михайлович,Отцы и дети,1961,1977
Пушкин Александр Сергеевич,Вий,1399,1766
Чехов Антон Павлович,Дама с собачкой,1926,60
Шолохов Михаил Александрович,Судьба человека,1806,1718
Некрасов Виктор Платонович,Дама с собачкой,1756,1755
Чехов Антон Павлович,Записки охотника,1554,168
Булгаков Михаил Афанасьевич,Первая любовь,1811,1560
Гоголь Николай Васильевич,Медный всадник,1179,1313
Шолохов Михаил Александрович,Преступление и наказание,1983,1136
Некрасов Николай Алексеевич,Кому на Руси жить хорошо,1671,225
Гоголь Николай Васильевич,Первая любовь,1110,555
Толстой Лев Николаевич,Ионыч,1405,421
Булгаков Михаил Афанасьевич,Вишнёвый сад,1359,335
Толстой Алексей Николаевич,Судьба человека,1854,730
Достоевский Фёдор Михайлович,Тёмные аллеи,1243,1005
Бунин Иван Алексеевич,Преступление и наказание,1255,884
Тургенев Иван Сергеевич,Тёмные аллеи,2010,523
Достоевский Фёдор Михайлович,Война и мир,1470,588
Достоевский Фёдор Михайлович,Дом с мезонином,1713,1121
Булгаков Михаил Афанасьевич,Аэлита,1967,633
Булгаков Михаил Афанасьевич,Вишнёвый сад,1529,1992
Гоголь Николай Васильевич,Дом с мезонином,1233,1819
Толстой Алексей Николаевич,Кому на Руси жить хорошо,1569,1053
Тургенев Иван Сергеевич,Бесы,1737,1682
Достоевский Фёдор Михайлович,Рядовой Лютиков,1455,133
Тургенев Иван Сергеевич,Ася,1528,1599
Достоевский Фёдор Михайлович,Русские женщины,1469,279
Пушкин Александр Сергеевич,Вий,1878,184
Пушкин Александр Сергеевич,Крестьянские дети,1423,1552
Толстой Алексей Николаевич,Мертвые души,1390,921
Некрасов Николай Алексеевич,Вишнёвый сад,1111,1606
Некрасов Николай Алексеевич,Собачье сердце,1211,692
Чехов Антон Павлович,Дом с мезонином,1644,1625
Гоголь Николай Васильевич,Преступление и наказание,1735,1163
Булгаков Михаил Афанасьевич,Тарас Бульба,1920,147
Толстой Лев Николаевич,Евгений Онегин,1415,1070
Чехов Антон Павлович,Евгений Онегин,1442,449
Некрасов Виктор Платонович,Лёгкое дыхание,1637,804
Шолохов Михаил Александрович,Собачье сердце,1781,851
Толстой Лев Николаевич,Анна Каренина,1697,430
Некрасов Виктор Платонович,Маленькая печальная повесть,1128,1931
Некрасов Виктор Платонович,Отцы и дети,1590,683
Толстой Лев Николаевич,Аэлита,1610,1029
Тургенев Иван Сергеевич,Ревизор,1368,100
Гоголь Николай Васильевич,Детство,1358,463
Тургенев Иван Сергеевич,Антоновские яблоки,1435,982
Толстой Лев Николаевич,Пётр Первый,1582,527
Чехов Антон Павлович,Дом с мезонином,1626,1985
Некрасов Николай Алексеевич,Митина любовь,1936,13
Гоголь Николай Васильевич,Лёгкое дыхание,1285,1593
Пушкин Александр Сергеевич,Евгений Онегин,1126,1367
Пушкин Александр Сергеевич,Записки охотника,1422,1501
Достоевский Фёдор Михайлович,Тихий Дон,1255,834
Толстой Лев Николаевич,Детство,1323,1964
Толстой Лев Николаевич,Белая гвардия,1241,125
Некрасов Николай Алексеевич,Дом с мезонином,1569,957
Бунин Иван Алексеевич,Крестьянские дети,1964,1186
Шолохов Михаил Александрович,Донские рассказы,1940,324
Некрасов Николай Алексеевич,Собачье сердце,1479,1531
Тургенев Иван Сергеевич,Первая любовь,1964,718
Некрасов Николай Алексеевич,Хождение по мукам,1873,1389
Гоголь Николай Васильевич,Листопад,1129,325
Толстой Лев Николаевич,Бесы,1700,844
Некрасов Николай Алексеевич,Первая любовь,1346,643
Тургенев Иван Сергеевич,Вий,1535,25
Некрасов Николай Алексеевич,Отцы и дети,1562,487
Тургенев Иван Сергеевич,Первая любовь,1912,1524
Пушкин Александр Сергеевич,Вишнёвый сад,1283,1170
Гоголь Николай Васильевич,Вишнёвый сад,1652,42
Чехов Антон Павлович,Рядовой Лютиков,1906,1735
Гоголь Николай Васильевич,Кому на Руси жить хорошо,1794,673
Некрасов Виктор Платонович,Донские рассказы,1440,299
Бунин Иван Алексеевич,Медный всадник,1754,1242
Шолохов Михаил Александрович,Война и мир,1763,1941
Достоевский Фёдор Михайлович,Тихий Дон,1905,1392
Булгаков Михаил Афанасьевич,Тихий Дон,1151,1774
Шолохов Михаил Александрович,Первая любовь,1734,1057
Некрасов Николай Алексеевич,Митина любовь,1592,1471
Тургенев Иван Сергеевич,Хамелеон,1199,1873
Шолохов Михаил Александрович,Маленькая печальная повесть,1550,776
Некрасов Виктор Платонович,Записки охотника,1815,845
Булгаков Михаил Афанасьевич,Первая любовь,1385,1194
Гоголь Николай Васильевич,Евгений Онегин,1825,1105
Пушкин Александр Сергеевич,Вишнёвый сад,1553,763
Толстой Алексей Николаевич,Железная дорога,1784,1549
Достоевский Фёдор Михайлович,Отцы и дети,1939,528
Некрасов Николай Алексеевич,Донские рассказы,1903,503
Некрасов Виктор Платонович,Первая любовь,1375,759
Некрасов Виктор Платонович,Шинель,1345,117
Чехов Антон Павлович,Лёгкое дыхание,1359,1415
Тургенев Иван Сергеевич,Листопад,1792,389
Пушкин Александр Сергеевич,Первая любовь,1456,816
Некрасов Николай Алексеевич,Листопад,1865,1657
Толстой Алексей Николаевич,Вий,1212,1899
Чехов Антон Павлович,Анна Каренина,1129,1422
Бунин Иван Алексеевич,Рядовой Лютиков,1991,621
Толстой Лев Николаевич,Записки охотника,1978,1476
Чехов Антон Павлович,Шинель,1805,468
Бунин Иван Алексеевич,Анна Каренина,1972,107
Булгаков Михаил Афанасьевич,Преступление и наказание,1466,884
Толстой Лев Николаевич,Рядовой Лютиков,1274,69
Некрасов Николай Алексеевич,Белые ночи,1271,1780
Тургенев Иван Сергеевич,Дом с мезонином,1909,68
Некрасов Виктор Платонович,Листопад,1864,1206
Пушкин Александр Сергеевич,Тарас Бульба,1879,1346
Булгаков Михаил Афанасьевич,Донские рассказы,1413,1273
Некрасов Николай Алексеевич,Братья Карамазовы,1481,379
Булгаков Михаил Афанасьевич,Первая любовь,1346,327
Гоголь Николай Васильевич,Маленькая печальная повесть,1699,1051
Толстой Алексей Николаевич,Судьба человека,1507,666
Тургенев Иван Сергеевич,Собачье сердце,1181,1677
Некрасов Виктор Платонович,Антоновские яблоки,1100,70
Чехов Антон Павлович,Идиот,1785,1056
Гоголь Николай Васильевич,Крестьянские дети,1923,1379
Булгаков Михаил Афанасьевич,Тёмные аллеи,1904,10
Бунин Иван Алексеевич,В окопах Сталинграда,1482,1213
Толстой Алексей Николаевич,Мертвые души,1398,467
Некрасов Виктор Платонович,Белые ночи,1756,700
Толстой Алексей Николаевич,Митина любовь,1806,1947
Бунин Иван Алексеевич,Белые ночи,1214,381
Булгаков Михаил Афанасьевич,Митина любовь,1164,1722
Пушкин Александр Сергеевич,Первая любовь,1571,825
Толстой Лев Николаевич,Тарас Бульба,2013,1124
Толстой Лев Николаевич,Хамелеон,1898,1398
Толстой Лев Николаевич,Тёмные аллеи,1886,903
Достоевский Фёдор Михайлович,Пётр Первый,1867,1140
Бунин Иван Алексеевич,Пётр Первый,1806,472
Гоголь Николай Васильевич,Записки охотника,1414,1930
Булгаков Михаил Афанасьевич,Рядовой Лютиков,1961,954
Бунин Иван Алексеевич,Кому на Руси жить хорошо,1818,1391
Некрасов Виктор Платонович,Идиот,1536,694
Толстой Лев Николаевич,Белые ночи,1745,251
Некрасов Виктор Платонович,Собачье сердце,1208,1587
Толстой Алексей Николаевич,Ревизор,1757,239
Толстой Лев Николаевич,Мертвые души,1880,749
Бунин Иван Алексеевич,Идиот,1831,1898
Гоголь Николай Васильевич,Дом с мезонином,1930,1093
Пушкин Александр Сергеевич,Морфий,1809,1344
Шолохов Михаил Александрович,Первая любовь,1268,1671
Достоевский Фёдор Михайлович,Хождение по мукам,1834,1450
Пушкин Александр Сергеевич,Тихий Дон,1975,470
Гоголь Николай Васильевич,Отцы и дети,1695,1954
Достоевский Фёдор Михайлович,Идиот,1128,1728
Некрасов Николай Алексеевич,Морфий,1728,1860
Гоголь Николай Васильевич,Собачье сердце,1880,315
Бунин Иван Алексеевич,Крестьянские дети,1643,66
Достоевский Фёдор Михайлович,Медный всадник,1813,931
Толстой Алексей Николаевич,Вишнёвый сад,1367,992
Толстой Алексей Николаевич,Вишнёвый сад,1281,40
Толстой Алексей Николаевич,Воскресение,1444,1372
Некрасов Николай Алексеевич,Антоновские яблоки,1700,558
Тургенев Иван Сергеевич,Война и мир,1417,144
Достоевский Фёдор Михайлович,Тёмные аллеи,1835,86
Булгаков Михаил Афанасьевич,Братья Карамазовы,1423,710
Толстой Лев Николаевич,Дама с собачкой,1878,1516
Толстой Алексей Николаевич,Белая гвардия,1602,1328
Некрасов Николай Алексеевич,Бесы,1813,898
Толстой Лев Николаевич,Морфий,1698,1876
Тургенев Иван Сергеевич,Детство,1169,1267
Толстой Лев Николаевич,Белые ночи,1631,104
Некрасов Николай Алексеевич,Преступление и наказание,1990,1870
Булгаков Михаил Афанасьевич,Первая любовь,1770,757
Шолохов Михаил Александрович,Дама с собачкой,1108,994
Бунин Иван Алексеевич,Война и мир,1402,932
Достоевский Фёдор Михайлович,Братья Карамазовы,1287,1724
Некрасов Николай Алексеевич,Ревизор,1449,1410
Шолохов Михаил Александрович,Белые ночи,1465,1898
Бунин Иван Алексеевич,Шинель,1158,1622
Пушкин Александр Сергеевич,Хождение по мукам,1868,1637
Достоевский Фёдор Михайлович,Бесы,1251,135
Некрасов Николай Алексеевич,Ионыч,1619,1936
Достоевский Фёдор Михайлович,Вий,1925,513
Шолохов Михаил Александрович,Отцы и дети,1792,1154
Тургенев Иван Сергеевич,Маленькая печальная повесть,1115,867
Бунин Иван Алексеевич,Мертвые души,1287,1931
Бунин Иван Алексеевич,Бесы,1602,1731
Чехов Антон Павлович,Русские женщины,1702,1312
Достоевский Фёдор Михайлович,Лёгкое дыхание,1126,869
Тургенев Иван Сергеевич,Белая гвардия,1738,625
Бунин Иван Алексеевич,Записки охотника,1264,1067
Шолохов Михаил Александрович,Первая любовь,1957,1320
Бунин Иван Алексеевич,Крестьянские дети,1273,317
Гоголь Николай Васильевич,Аэлита,1760,745
Гоголь Николай Васильевич,Рядовой Лютиков,1781,1763
Бунин Иван Алексеевич,Рядовой Лютиков,1377,638
Некрасов Николай Алексеевич,Ася,1326,664
Бунин Иван Алексеевич,В окопах Сталинграда,1721,1142
Некрасов Виктор Платонович,Медный всадник,1975,1795
Гоголь Николай Васильевич,Ионыч,1121,1268
Чехов Антон Павлович,Анна Каренина,1122,1853
Толстой Лев Николаевич,Антоновские яблоки,1762,866
Шолохов Михаил Александрович,Митина любовь,1876,1816
Шолохов Михаил Александрович,Ася,1967,1780
Булгаков Михаил Афанасьевич,Пётр Первый,1443,737
Некрасов Виктор Платонович,Вий,1296,373
Булгаков Михаил Афанасьевич,Ася,1875,401
Некрасов Виктор Платонович,Маленькая печальная повесть,1755,150
Булгаков Михаил Афанасьевич,Донские рассказы,1910,438
Пушкин Александр Сергеевич,Евгений Онегин,1841,764
Некрасов Виктор Платонович,Хождение по мукам,1102,1765
Булгаков Михаил Афанасьевич,Антоновские яблоки,1276,895
Толстой Лев Николаевич,Маленькая печальная повесть,1972,1388
Шолохов Михаил Александрович,Война и мир,1330,1044
Достоевский Фёдор Михайлович,Собачье сердце,1762,926
Бунин Иван Алексеевич,Антоновские яблоки,1485,773
Булгаков Михаил Афанасьевич,Русские женщины,1968,91
Тургенев Иван Сергеевич,Отцы и дети,1960,175
Тургенев Иван Сергеевич,Ионыч,1733,1620
Некрасов Николай Алексеевич,Судьба человека,1705,1710
Толстой Алексей Николаевич,Судьба человека,1786,1824
Толстой Алексей Николаевич,Ионыч,1682,1937
Достоевский Фёдор Михайлович,Евгений Онегин,1551,116
Шолохов Михаил Александрович,Анна Каренина,1890,848
Булгаков Михаил Афанасьевич,Война и мир,2026,1884
Гоголь Николай Васильевич,Листопад,1517,274
Некрасов Николай Алексеевич,Война и мир,1713,617
Бунин Иван Алексеевич,Отцы и дети,1335,590
Толстой Лев Николаевич,Белая гвардия,2002,1315
Толстой Алексей Николаевич,Кому на Руси жить хорошо,1459,1867
Толстой Лев Николаевич,Мертвые души,1904,1629
Некрасов Николай Алексеевич,Дом с мезонином,1757,1580
Толстой Алексей Николаевич,Ионыч,1603,304
Булгаков Михаил Афанасьевич,Дама с собачкой,1767,15
Толстой Алексей Николаевич,Первая любовь,1321,1761
Булгаков Михаил Афанасьевич,Преступление и наказание,1451,199
Толстой Алексей Николаевич,Железная дорога,1201,530
Толстой Алексей Николаевич,Медный всадник,1823,319
Тургенев Иван Сергеевич,Лёгкое дыхание,1452,1297
Бунин Иван Алексеевич,Дама с собачкой,2009,1925
Булгаков Михаил Афанасьевич,Евгений Онегин,1174,328
Тургенев Иван Сергеевич,Пётр Первый,1388,823
Чехов Антон Павлович,Крестьянские дети,1222,1478
Толстой Алексей Николаевич,В окопах Сталинграда,1851,718
Чехов Антон Павлович,Листопад,1345,1807
Достоевский Фёдор Михайлович,Белые ночи,1904,1677
Пушкин Александр Сергеевич,Рядовой Лютиков,1984,382
Толстой Лев Николаевич,Ионыч,1659,1474
Пушкин Александр Сергеевич,Бесы,1262,1001
Шолохов Михаил Александрович,Война и мир,1595,691
Тургенев Иван Сергеевич,Вий,1856,445
Пушкин Александр Сергеевич,Вий,1401,1283
Некрасов Виктор Платонович,Мастер и Маргарита,1743,921
Толстой Лев Николаевич,Шинель,1732,1157
Шолохов Михаил Александрович,Евгений Онегин,1940,1611
Некрасов Николай Алексеевич,Мертвые души,1247,1778
Некрасов Николай Алексеевич,Ася,1884,722
Некрасов Николай Алексеевич,Тёмные аллеи,1685,490
Гоголь Николай Васильевич,Вий,1235,825
Гоголь Николай Васильевич,Хождение по мукам,1499,827
Толстой Лев Николаевич,Преступление и наказание,1382,1955
Бунин Иван Алексеевич,Шинель,1331,829
Тургенев Иван Сергеевич,Тихий Дон,1383,1294
Чехов Антон Павлович,Мертвые души,1238,948
Достоевский Фёдор Михайлович,Листопад,1661,801
Шолохов Михаил Александрович,Донские рассказы,1119,668
Тургенев Иван Сергеевич,Белые ночи,1374,805
Бунин Иван Алексеевич,Воскресение,1848,888
Гоголь Николай Васильевич,Мастер и Маргарита,1860,996
Бунин Иван Алексеевич,В окопах Сталинграда,1558,1896
Толстой Алексей Николаевич,Первая любовь,1146,1894
Некрасов Виктор Платонович,Ася,1528,1426
Бунин Иван Алексеевич,Война и мир,1524,582
Толстой Алексей Николаевич,Вишнёвый сад,1944,259
Чехов Антон Павлович,Тихий Дон,1913,296
Тургенев Иван Сергеевич,Ася,1478,1708
Толстой Алексей Николаевич,Медный всадник,1880,1661
Булгаков Михаил Афанасьевич,Отцы и дети,1561,603
Тургенев Иван Сергеевич,Первая любовь,1615,1019
Пушкин Александр Сергеевич,Идиот,1292,1796
Некрасов Виктор Платонович,Вий,1622,198
Тургенев Иван Сергеевич,Судьба человека,1727,1411
Гоголь Николай Васильевич,Отцы и дети,1321,750
Тургенев Иван Сергеевич,В окопах Сталинграда,1264,171
Пушкин Александр Сергеевич,Морфий,1639,621
Бунин Иван Алексеевич,Крестьянские дети,1944,252
Чехов Антон Павлович,Хождение по мукам,1422,397
Некрасов Николай Алексеевич,Ионыч,1611,997
Шолохов Михаил Александрович,Мастер и Маргарита,2004,409
Шолохов Михаил Александрович,Ревизор,1890,862
Толстой Алексей Николаевич,Хождение по мукам,1755,1693
Некрасов Виктор Платонович,Дом с мезонином,1483,1848
Толстой Алексей Николаевич,Шинель,1847,128
Гоголь Николай Васильевич,Хамелеон,1590,333
Тургенев Иван Сергеевич,Бесы,1499,668
Некрасов Виктор Платонович,Рядовой Лютиков,1959,1862
Шолохов Михаил Александрович,Собачье сердце,1234,1203
Толстой Лев Николаевич,Записки охотника,1495,1566
Булгаков Михаил Афанасьевич,Донские рассказы,1415,501
Толстой Лев Николаевич,Вий,1510,460
Чехов Антон Павлович,Анна Каренина,1870,402
Толстой Алексей Николаевич,Крестьянские дети,1515,1296
Гоголь Николай Васильевич,Собачье сердце,1359,1483
Толстой Алексей Николаевич,Анна Каренина,1996,1126
Толстой Алексей Николаевич,Вишнёвый сад,1182,1675
Некрасов Виктор Платонович,Аэлита,1599,778
Достоевский Фёдор Михайлович,Крестьянские дети,1689,1199
Тургенев Иван Сергеевич,Донские рассказы,1355,120
Достоевский Фёдор Михайлович,Воскресение,1135,1825
Достоевский Фёдор Михайлович,Мастер и Маргарита,1672,1588
Чехов Антон Павлович,Тихий Дон,1409,512
Булгаков Михаил Афанасьевич,Бесы,1384,419
Тургенев Иван Сергеевич,Ионыч,1954,1632
Некрасов Николай Алексеевич,Вий,1215,1630
Бунин Иван Алексеевич,Кому на Руси жить хорошо,1504,1368
Толстой Лев Николаевич,Антоновские яблоки,1528,1635
Бунин Иван Алексеевич,Медный всадник,1957,1374
Толстой Алексей Николаевич,Преступление и наказание,1652,757
Булгаков Михаил Афанасьевич,Собачье сердце,1269,742
Шолохов Михаил Александрович,Тихий Дон,1743,263
Булгаков Михаил Афанасьевич,Вий,1756,1377
Чехов Антон Павлович,Аэлита,1771,145
Бунин Иван Алексеевич,Анна Каренина,2010,889
Достоевский Фёдор Михайлович,Крестьянские дети,1282,194
Чехов Антон Павлович,В окопах Сталинграда,1552,474
Толстой Лев Николаевич,Воскресение,1603,305
Достоевский Фёдор Михайлович,Лёгкое дыхание,2008,1165
Чехов Антон Павлович,Шинель,1980,460
Гоголь Николай Васильевич,Дом с мезонином,1864,982
Гоголь Николай Васильевич,Вишнёвый сад,1481,1382
Булгаков Михаил Афанасьевич,Ася,1151,226
Пушкин Александр Сергеевич,Евгений Онегин,1778,98
Шолохов Михаил Александрович,Белые ночи,1219,1728
Чехов Антон Павлович,Хождение по мукам,1373,294
Тургенев Иван Сергеевич,В окопах Сталинграда,1502,681
Бунин Иван Алексеевич,Тихий Дон,1943,176
Толстой Алексей Николаевич,Железная дорога,1592,1409
Некрасов Николай Алексеевич,Ревизор,1109,515
Толстой Алексей Николаевич,Тарас Бульба,1568,736
Некрасов Николай Алексеевич,Русские женщины,1191,167
Некрасов Николай Алексеевич,Тёмные аллеи,1998,800
Гоголь Николай Васильевич,Детство,1929,1117
Чехов Антон Павлович,Кому на Руси жить хорошо,1432,978
Достоевский Фёдор Михайлович,Митина любовь,1325,775
Достоевский Фёдор Михайлович,Медный всадник,1621,1307
Достоевский Фёдор Михайлович,Идиот,1180,1941
Некрасов Виктор Платонович,Донские рассказы,1112,863
Толстой Алексей Николаевич,Идиот,1618,160
Шолохов Михаил Александрович,Хамелеон,1752,1835
Булгаков Михаил Афанасьевич,Евгений Онегин,1413,484
Толстой Лев Николаевич,Ася,1548,1171
Булгаков Михаил Афанасьевич,Тихий Дон,1568,321
Бунин Иван Алексеевич,Воскресение,1574,745
Некрасов Виктор Платонович,Судьба человека,1592,394
Толстой Лев Николаевич,Белая гвардия,1552,1765
Шолохов Михаил Александрович,Тарас Бульба,1110,344
Некрасов Николай Алексеевич,Лёгкое дыхание,1405,1795
Тургенев Иван Сергеевич,Дама с собачкой,1537,376
Чехов Антон Павлович,Русские женщины,1151,1866
Достоевский Фёдор Михайлович,Пётр Первый,1370,1256
Некрасов Николай Алексеевич,Листопад,1115,876
Толстой Лев Николаевич,Белая гвардия,1455,1079
Некрасов Виктор Платонович,Мастер и Маргарита,1887,1553
Некрасов Николай Алексеевич,Отцы и дети,1445,311
Гоголь Николай Васильевич,Железная дорога,1898,1378
Тургенев Иван Сергеевич,Первая любовь,1656,943
Пушкин Александр Сергеевич,Анна Каренина,1751,1135
Гоголь Николай Васильевич,В окопах Сталинграда,1582,1232
Булгаков Михаил Афанасьевич,Рядовой Лютиков,1603,1667
Толстой Алексей Николаевич,Мертвые души,1621,835
Толстой Лев Николаевич,Анна Каренина,1416,381
Пушкин Александр Сергеевич,Воскресение,1282,1687
Бунин Иван Алексеевич,Митина любовь,1271,1339
Гоголь Николай Васильевич,Хамелеон,1630,1513
Пушкин Александр Сергеевич,Отцы и дети,1385,1467
Толстой Алексей Николаевич,Донские рассказы,1641,1640
Тургенев Иван Сергеевич,Вий,1916,602
Тургенев Иван Сергеевич,Идиот,1923,313
Некрасов Виктор Платонович,Анна Каренина,1421,1301
Некрасов Николай Алексеевич,Ревизор,1401,398
Булгаков Михаил Афанасьевич,Первая любовь,1477,1748
Некрасов Николай Алексеевич,Морфий,1588,1597
Толстой Лев Николаевич,В окопах Сталинграда,1774,863
Тургенев Иван Сергеевич,В окопах Сталинграда,1901,212
Некрасов Николай Алексеевич,Первая любовь,1839,876
Чехов Антон Павлович,Листопад,1169,768
Некрасов Виктор Платонович,Преступление и наказание,1282,855
Шолохов Михаил Александрович,Хамелеон,1763,1865
Бунин Иван Алексеевич,Мертвые души,1841,1854
Булгаков Михаил Афанасьевич,Медный всадник,1790,1219
Толстой Алексей Николаевич,Шинель,1358,365
Толстой Лев Николаевич,Вишнёвый сад,1846,125
Тургенев Иван Сергеевич,Тарас Бульба,1629,180
