ФИО автора,название,год издания,количество страниц
Толстой Алексей Николаевич,Преступление и наказание,1545,930
Булгаков Михаил Афанасьевич,Мастер и Маргарита,1638,1674
Некрасов Николай Алексеевич,Судьба человека,1263,789
Гоголь Николай Васильевич,Мастер и Маргарита,1368,1828
Некрасов Виктор Платонович,Железная дорога,1124,31
Толстой Лев Николаевич,Детство,1151,605
Толстой Лев Николаевич,Белые ночи,1228,1644
Бунин Иван Алексеевич,Преступление и наказание,1714,547
Бунин Иван Алексеевич,Вишнёвый сад,1619,1598
Гоголь Николай Васильевич,Крестьянские дети,1854,775
Некрасов Николай Алексеевич,Ревизор,1891,34
Некрасов Николай Алексеевич,Рядовой Лютиков,1902,1590
Булгаков Михаил Афанасьевич,Хождение по мукам,1725,788
Булгаков Михаил Афанасьевич,Идиот,1438,1296
Шолохов Михаил Александрович,Кому на Руси жить хорошо,1442,1812
Некрасов Виктор Платонович,Тарас Бульба,1406,1016
Гоголь Николай Васильевич,Судьба человека,1705,847
Достоевский Фёдор Михайлович,Аэлита,1874,692
Булгаков Михаил Афанасьевич,Маленькая печальная повесть,1793,1652
Тургенев Иван Сергеевич,Ася,1959,1503
Толстой Лев Николаевич,Белые ночи,1403,385
Некрасов Виктор Платонович,Морфий,1779,1120
Достоевский Фёдор Михайлович,Идиот,1446,171
Булгаков Михаил Афанасьевич,Собачье сердце,1400,375
Некрасов Николай Алексеевич,Вишнёвый сад,1478,80
Тургенев Иван Сергеевич,Рядовой Лютиков,1444,1504
Гоголь Николай Васильевич,Русские женщины,1526,1989
Чехов Антон Павлович,Хамелеон,1746,227
Некрасов Виктор Платонович,Железная дорога,1436,1260
Гоголь Николай Васильевич,Преступление и наказание,1568,579
Толстой Алексей Николаевич,Маленькая печальная повесть,1209,180
Бунин Иван Алексеевич,Крестьянские дети,1206,198
Некрасов Виктор Платонович,Война и мир,1648,1587
Некрасов Николай Алексеевич,Записки охотника,1355,1272
Шолохов Михаил Александрович,Вишнёвый сад,1683,1227
Шолохов Михаил Александрович,Отцы и дети,1174,1005
Гоголь Николай Васильевич,Белая гвардия,1683,367
Бунин Иван Алексеевич,Аэлита,1767,306
Бунин Иван Алексеевич,Вий,1222,1667
Толстой Лев Николаевич,Дом с мезонином,1881,1869
Некрасов Николай Алексеевич,Судьба человека,1872,257
Некрасов Виктор Платонович,Записки охотника,1118,206
Пушкин Александр Сергеевич,Шинель,1208,1203
Тургенев Иван Сергеевич,Белая гвардия,1659,985
Толстой Алексей Николаевич,Лёгкое дыхание,1875,558
Толстой Лев Николаевич,Братья Карамазовы,1345,1667
Толстой Алексей Николаевич,Аэлита,1929,1558
Толстой Лев Николаевич,Рядовой Лютиков,1207,572
Некрасов Николай Алексеевич,Собачье сердце,1690,660
Некрасов Николай Алексеевич,Рядовой Лютиков,1158,1848
Гоголь Николай Васильевич,Шинель,1450,1993
Толстой Лев Николаевич,Бесы,1497,671
Чехов Антон Павлович,Записки охотника,1514,1417
Булгаков Михаил Афанасьевич,В окопах Сталинграда,1299,1216
Некрасов Николай Алексеевич,Маленькая печальная повесть,2013,291
Пушкин Александр Сергеевич,Русские женщины,1948,1764
Чехов Антон Павлович,Донские рассказы,1326,357
Некрасов Николай Алексеевич,Медный всадник,1593,944
Некрасов Николай Алексеевич,Война и мир,1216,1902
Достоевский Фёдор Михайлович,Белая гвардия,1417,676
Гоголь Николай Васильевич,Мертвые души,1785,102
Пушкин Александр Сергеевич,Хамелеон,1770,1983
Тургенев Иван Сергеевич,Антоновские яблоки,1993,797
Бунин Иван Алексеевич,Братья Карамазовы,1264,135
Тургенев Иван Сергеевич,Ревизор,1861,1600
Некрасов Николай Алексеевич,Братья Карамазовы,1883,588
Шолохов Михаил Александрович,Русские женщины,1494,1967
Достоевский Фёдор Михайлович,Кому на Руси жить хорошо,1949,258
Гоголь Николай Васильевич,Первая любовь,1898,30
Толстой Алексей Николаевич,Записки охотника,1365,282
Тургенев Иван Сергеевич,Лёгкое дыхание,1893,1428
Бунин Иван Алексеевич,Детство,1533,1282
Достоевский Фёдор Михайлович,Хождение по мукам,1832,110
Некрасов Виктор Платонович,Тарас Бульба,1572,1470
Тургенев Иван Сергеевич,Ионыч,1228,103
Шолохов Михаил Александрович,Вий,1926,1676
Пушкин Александр Сергеевич,Вишнёвый сад,1815,752
Толстой Алексей Николаевич,Рядовой Лютиков,1250,423
Толстой Лев Николаевич,Судьба человека,1647,149
Тургенев Иван Сергеевич,Ася,1527,1759
Пушкин Александр Сергеевич,Мертвые души,1778,851
Булгаков Михаил Афанасьевич,Дом с мезонином,1695,706
Чехов Антон Павлович,Хамелеон,1853,1921
Некрасов Виктор Платонович,Кому на Руси жить хорошо,1338,935
Некрасов Виктор Платонович,Дама с собачкой,1760,488
Толстой Лев Николаевич,Ревизор,1864,1610
Толстой Алексей Николаевич,Донские рассказы,1809,1897
Бунин Иван Алексеевич,Тёмные аллеи,1189,1925
Гоголь Николай Васильевич,Тихий Дон,1523,445
Толстой Лев Николаевич,Тарас Бульба,2000,1275
Достоевский Фёдор Михайлович,Дом с мезонином,1435,110
Толстой Алексей Николаевич,Белые ночи,1481,494
Чехов Антон Павлович,Судьба человека,1725,705
Булгаков Михаил Афанасьевич,Тихий Дон,1423,1161
Бунин Иван Алексеевич,Хождение по мукам,1515,1549
Достоевский Фёдор Михайлович,Евгений Онегин,1657,447
Гоголь Николай Васильевич,Лёгкое дыхание,1294,160
Чехов Антон Павлович,Пётр Первый,1492,610
Булгаков Михаил Афанасьевич,Крестьянские дети,1814,1154
Пушкин Александр Сергеевич,Мастер и Маргарита,1946,1940
Шолохов Михаил Александрович,Дама с собачкой,1640,1546
Булгаков Михаил Афанасьевич,Ревизор,1577,1875
Толстой Алексей Николаевич,Анна Каренина,1100,761
Тургенев Иван Сергеевич,Ревизор,1381,1168
Булгаков Михаил Афанасьевич,Морфий,1521,451
Толстой Лев Николаевич,Воскресение,1326,1475
Достоевский Фёдор Михайлович,Вишнёвый сад,1778,148
Некрасов Николай Алексеевич,Преступление и наказание,1397,184
Булгаков Михаил Афанасьевич,Тихий Дон,1537,1832
Некрасов Виктор Платонович,Митина любовь,1140,1327
Тургенев Иван Сергеевич,Морфий,1629,1855
Бунин Иван Алексеевич,Евгений Онегин,1843,658
Достоевский Фёдор Михайлович,Братья Карамазовы,1240,1481
Достоевский Фёдор Михайлович,Тарас Бульба,1949,1486
Толстой Лев Николаевич,Ревизор,1219,1828
Достоевский Фёдор Михайлович,Кому на Руси жить хорошо,1924,572
Тургенев Иван Сергеевич,Белая гвардия,1534,1333
Достоевский Фёдор Михайлович,Братья Карамазовы,1973,459
Пушкин Александр Сергеевич,Крестьянские дети,1914,1949
Гоголь Николай Васильевич,Дама с собачкой,1811,872
Достоевский Фёдор Михайлович,Идиот,1442,292
Толстой Лев Николаевич,Хамелеон,1190,1828
Булгаков Михаил Афанасьевич,Дом с мезонином,1887,788
Пушкин Александр Сергеевич,Шинель,1545,1942
Тургенев Иван Сергеевич,Судьба человека,1529,1480
Шолохов Михаил Александрович,Дама с собачкой,1363,1427
Бунин Иван Алексеевич,Ревизор,1119,1067
Бунин Иван Алексеевич,Тихий Дон,1363,193
Некрасов Виктор Платонович,Крестьянские дети,1920,422
Некрасов Николай Алексеевич,Крестьянские дети,1725,381
Достоевский Фёдор Михайлович,Ревизор,1394,1741
Некрасов Виктор Платонович,Вишнёвый сад,1648,295
Тургенев Иван Сергеевич,Воскресение,1534,930
Бунин Иван Алексеевич,Аэлита,1862,1207
Некрасов Николай Алексеевич,Аэлита,1477,1948
Тургенев Иван Сергеевич,Идиот,1122,1475
Бунин Иван Алексеевич,Русские женщины,1952,221
Достоевский Фёдор Михайлович,Белые ночи,1498,111
Бунин Иван Алексеевич,Идиот,1741,1554
Толстой Алексей Николаевич,Вий,1670,544
Пушкин Александр Сергеевич,Хождение по мукам,1877,148
Толстой Лев Николаевич,Бесы,1339,1145
Некрасов Николай Алексеевич,Тихий Дон,1827,1250
Некрасов Виктор Платонович,Бесы,1604,119
Бунин Иван Алексеевич,Пётр Первый,1140,23
Некрасов Николай Алексеевич,В окопах Сталинграда,1960,284
Тургенев Иван Сергеевич,Мертвые души,1404,1959
Тургенев Иван Сергеевич,Ревизор,1202,1674
Пушкин Александр Сергеевич,Лёгкое дыхание,1298,485
Пушкин Александр Сергеевич,Шинель,1777,454
Толстой Лев Николаевич,Первая любовь,1190,636
Шолохов Михаил Александрович,Война и мир,1273,1531
Тургенев Иван Сергеевич,Отцы и дети,1307,1785
Некрасов Николай Алексеевич,Дама с собачкой,1237,1165
Шолохов Михаил Александрович,Воскресение,1198,948
Некрасов Виктор Платонович,Дом с мезонином,1965,1073
Чехов Антон Павлович,Вий,1768,1523
Гоголь Николай Васильевич,Тарас Бульба,1450,619
Чехов Антон Павлович,Первая любовь,1540,1398
Гоголь Николай Васильевич,Ревизор,1260,40
Толстой Лев Николаевич,Рядовой Лютиков,1627,1094
Булгаков Михаил Афанасьевич,Записки охотника,1856,1930
Бунин Иван Алексеевич,Первая любовь,1777,1605
Толстой Лев Николаевич,Вий,1599,715
Гоголь Николай Васильевич,Листопад,1579,432
Тургенев Иван Сергеевич,Маленькая печальная повесть,1251,1054
Тургенев Иван Сергеевич,Преступление и наказание,1373,1466
Тургенев Иван Сергеевич,Вишнёвый сад,1898,101
Пушкин Александр Сергеевич,Война и мир,1885,23
Шолохов Михаил Александрович,В окопах Сталинграда,1828,668
Булгаков Михаил Афанасьевич,Бесы,1659,1566
Шолохов Михаил Александрович,Анна Каренина,1363,1093
Булгаков Михаил Афанасьевич,Отцы и дети,1774,573
Толстой Лев Николаевич,Пётр Первый,1329,1269
Бунин Иван Алексеевич,Тарас Бульба,1866,1836
Некрасов Николай Алексеевич,Железная дорога,1731,747
Некрасов Николай Алексеевич,Железная дорога,1805,1988
Достоевский Фёдор Михайлович,Белые ночи,1262,517
Пушкин Александр Сергеевич,Тихий Дон,1482,171
Достоевский Фёдор Михайлович,Детство,1768,867
Шолохов Михаил Александрович,Судьба человека,2026,1918
Шолохов Михаил Александрович,Медный всадник,1127,1026
Чехов Антон Павлович,Тёмные аллеи,1881,1810
Некрасов Николай Алексеевич,Судьба человека,1583,1049
Толстой Алексей Николаевич,Шинель,1501,204
Гоголь Николай Васильевич,Анна Каренина,1665,1958
Некрасов Николай Алексеевич,Маленькая печальная повесть,1701,1074
Булгаков Михаил Афанасьевич,Русские женщины,1191,1530
Булгаков Михаил Афанасьевич,Братья Карамазовы,1142,1504
Некрасов Виктор Платонович,Первая любовь,1467,1063
Толстой Лев Николаевич,Кому на Руси жить хорошо,1956,1523
Некрасов Виктор Платонович,Дама с собачкой,1125,894
Бунин Иван Алексеевич,Идиот,1770,1940
Некрасов Николай Алексеевич,Записки охотника,1824,1977
Шолохов Михаил Александрович,Листопад,1674,1612
Пушкин Александр Сергеевич,Отцы и дети,1641,418
Бунин Иван Алексеевич,Идиот,2011,1707
Булгаков Михаил Афанасьевич,Мастер и Маргарита,1167,458
Некрасов Виктор Платонович,Воскресение,1443,1553
Пушкин Александр Сергеевич,Мастер и Маргарита,1618,1172
Пушкин Александр Сергеевич,Мастер и Маргарита,1442,1817
Тургенев Иван Сергеевич,Белые ночи,1118,177
Гоголь Николай Васильевич,Ревизор,1937,438
Тургенев Иван Сергеевич,Детство,1391,145
Гоголь Николай Васильевич,Война и мир,1877,556
Достоевский Фёдор Михайлович,Белые ночи,1960,1175
Пушкин Александр Сергеевич,Война и мир,1134,538
Толстой Алексей Николаевич,Донские рассказы,1701,1674
Толстой Лев Николаевич,Ревизор,1900,223
Некрасов Николай Алексеевич,Русские женщины,2014,1520
Толстой Алексей Николаевич,Первая любовь,1254,1530
Шолохов Михаил Александрович,Братья Карамазовы,1128,651
Некрасов Виктор Платонович,Вишнёвый сад,1527,1157
Шолохов Михаил Александрович,Кому на Руси жить хорошо,1218,1591
Чехов Антон Павлович,Митина любовь,1412,747
Шолохов Михаил Александрович,Железная дорога,1356,1773
Шолохов Михаил Александрович,Маленькая печальная повесть,1878,1771
Некрасов Виктор Платонович,Тихий Дон,1365,691
Булгаков Михаил Афанасьевич,Белые ночи,1649,201
Пушкин Александр Сергеевич,Русские женщины,1562,1235
Некрасов Виктор Платонович,Братья Карамазовы,1195,1099
Чехов Антон Павлович,Кому на Руси жить хорошо,1695,1374
Некрасов Николай Алексеевич,Преступление и наказание,1572,1342
Достоевский Фёдор Михайлович,Медный всадник,1573,1358
Толстой Алексей Николаевич,Тихий Дон,1280,1801
Гоголь Николай Васильевич,Тарас Бульба,1518,818
Достоевский Фёдор Михайлович,Медный всадник,1214,590
Толстой Лев Николаевич,Мертвые души,1494,575
Некрасов Николай Алексеевич,Антоновские яблоки,1530,1633
Тургенев Иван Сергеевич,Тёмные аллеи,1738,1952
Тургенев Иван Сергеевич,Листопад,1621,751
Некрасов Виктор Платонович,Собачье сердце,1295,307
Некрасов Виктор Платонович,Железная дорога,1811,1692
Некрасов Николай Алексеевич,Белые ночи,1796,470
Достоевский Фёдор Михайлович,Русские женщины,1113,1920
Пушкин Александр Сергеевич,Собачье сердце,1161,1358
Некрасов Виктор Платонович,Ионыч,1524,1642
Некрасов Виктор Платонович,Мертвые души,1247,1006
Булгаков Михаил Афанасьевич,Дом с мезонином,1593,1888
Гоголь Николай Васильевич,Вий,1548,369
Пушкин Александр Сергеевич,В окопах Сталинграда,1831,1574
Некрасов Виктор Платонович,Рядовой Лютиков,1412,537
Бунин Иван Алексеевич,Тарас Бульба,1470,746
Шолохов Михаил Александрович,Пётр Первый,1778,560
Шолохов Михаил Александрович,Белые ночи,1605,1195
Тургенев Иван Сергеевич,Железная дорога,1100,444
Бунин Иван Алексеевич,Лёгкое дыхание,1657,828
Пушкин Александр Сергеевич,Антоновские яблоки,1900,1574
Булгаков Михаил Афанасьевич,Ионыч,1530,1859
Некрасов Виктор Платонович,Морфий,1360,1625
Некрасов Виктор Платонович,Крестьянские дети,1400,728
Тургенев Иван Сергеевич,Белая гвардия,1207,1347
Некрасов Виктор Платонович,Железная дорога,1654,1954
Шолохов Михаил Александрович,Детство,1938,21
Толстой Лев Николаевич,Преступление и наказание,1427,1557
Тургенев Иван Сергеевич,Кому на Руси жить хорошо,1926,1120
Некрасов Николай Алексеевич,Воскресение,1652,374
Бунин Иван Алексеевич,Ася,1366,1605
Толстой Алексей Николаевич,Рядовой Лютиков,1726,1118
Булгаков Михаил Афанасьевич,Тёмные аллеи,1280,408
Чехов Антон Павлович,Листопад,1656,876
Толстой Лев Николаевич,Тёмные аллеи,1961,857
Тургенев Иван Сергеевич,Первая любовь,1685,1689
Шолохов Михаил Александрович,Война и мир,1876,785
Тургенев Иван Сергеевич,Собачье сердце,1917,1625
Булгаков Михаил Афанасьевич,Пётр Первый,1229,1447
Достоевский Фёдор Михайлович,Крестьянские дети,1336,763
Шолохов Михаил Александрович,Тихий Дон,1409,1183
Некрасов Николай Алексеевич,Тёмные аллеи,1892,1455
Толстой Лев Николаевич,Ионыч,1235,1970
Тургенев Иван Сергеевич,В окопах Сталинграда,1926,1869
Достоевский Фёдор Михайлович,Листопад,1318,1721
Некрасов Виктор Платонович,Ася,1632,1429
Некрасов Николай Алексеевич,Морфий,2022,1677
Достоевский Фёдор Михайлович,Собачье сердце,1976,959
Толстой Лев Николаевич,Лёгкое дыхание,1490,1934
Некрасов Николай Алексеевич,Мастер и Маргарита,1531,395
Шолохов Михаил Александрович,Детство,1930,1423
Некрасов Николай Алексеевич,Евгений Онегин,1390,1007
Чехов Антон Павлович,Донские рассказы,1462,1121
Булгаков Михаил Афанасьевич,Белая гвардия,1198,1285
Толстой Алексей Николаевич,Вишнёвый сад,1388,1259
Пушкин Александр Сергеевич,Ревизор,1569,1014
Пушкин Александр Сергеевич,Первая любовь,1188,583
Булгаков Михаил Афанасьевич,Братья Карамазовы,1846,586
Некрасов Виктор Платонович,Морфий,1127,1788
Бунин Иван Алексеевич,Рядовой Лютиков,1814,1038
Булгаков Михаил Афанасьевич,Вий,1442,321
Тургенев Иван Сергеевич,Медный всадник,1314,1035
Тургенев Иван Сергеевич,Воскресение,1699,1162
Толстой Алексей Николаевич,Война и мир,1504,1073
Гоголь Николай Васильевич,Митина любовь,1669,1913
Пушкин Александр Сергеевич,Хамелеон,1758,680
Толстой Алексей Николаевич,Дом с мезонином,1999,1940
Шолохов Михаил Александрович,Листопад,1248,1980
Некрасов Николай Алексеевич,Шинель,1258,214
Пушкин Александр Сергеевич,Идиот,2007,560
Достоевский Фёдор Михайлович,Дама с собачкой,1980,588
Шолохов Михаил Александрович,Лёгкое дыхание,1769,770
Шолохов Михаил Александрович,Преступление и наказание,1666,1613
Шолохов Михаил Александрович,Белые ночи,1240,1393
Некрасов Виктор Платонович,Вишнёвый сад,1869,1206
Тургенев Иван Сергеевич,Дама с собачкой,1881,652
Булгаков Михаил Афанасьевич,Преступление и наказание,1912,591
Булгаков Михаил Афанасьевич,Маленькая печальная повесть,1707,198
Бунин Иван Алексеевич,Тёмные аллеи,1486,1636
Булгаков Михаил Афанасьевич,Анна Каренина,1534,35
Чехов Антон Павлович,Листопад,1150,440
Пушкин Александр Сергеевич,Хождение по мукам,1433,112
Достоевский Фёдор Михайлович,Русские женщины,1295,94
Толстой Лев Николаевич,Война и мир,1601,565
Некрасов Николай Алексеевич,Евгений Онегин,1406,1006
Некрасов Николай Алексеевич,Антоновские яблоки,1821,1834
Гоголь Николай Васильевич,Собачье сердце,1147,798
Чехов Антон Павлович,Тарас Бульба,1768,132
Пушкин Александр Сергеевич,Рядовой Лютиков,1118,1402
Некрасов Виктор Платонович,Белая гвардия,1198,1339
Достоевский Фёдор Михайлович,Рядовой Лютиков,1488,1793
Пушкин Александр Сергеевич,Записки охотника,1781,1165
Бунин Иван Алексеевич,Дом с мезонином,1715,1637
Булгаков Михаил Афанасьевич,Записки охотника,1872,1145
Толстой Алексей Николаевич,Собачье сердце,2023,529
Тургенев Иван Сергеевич,Маленькая печальная повесть,1768,1460
Чехов Антон Павлович,Листопад,1641,151
Некрасов Виктор Платонович,Судьба человека,1419,1843
Чехов Антон Павлович,Ревизор,1647,1622
Некрасов Николай Алексеевич,Кому на Руси жить хорошо,1535,621
Бунин Иван Алексеевич,Антоновские яблоки,1218,1178
Тургенев Иван Сергеевич,Листопад,1611,1430
Толстой Алексей Николаевич,Преступление и наказание,1807,843
Пушкин Александр Сергеевич,Крестьянские дети,1384,673
Толстой Алексей Николаевич,Белая гвардия,1581,1200
Гоголь Николай Васильевич,Первая любовь,2011,1557
Булгаков Михаил Афанасьевич,Братья Карамазовы,1158,1424
Шолохов Михаил Александрович,Пётр Первый,1228,110
Шолохов Михаил Александрович,Белая гвардия,1473,1617
Толстой Лев Николаевич,Митина любовь,1966,576
Шолохов Михаил Александрович,Хамелеон,1216,1985
Достоевский Фёдор Михайлович,Евгений Онегин,1246,1117
Булгаков Михаил Афанасьевич,Аэлита,1110,104
Чехов Антон Павлович,Анна Каренина,1645,1206
Шолохов Михаил Александрович,Братья Карамазовы,1820,1809
Гоголь Николай Васильевич,Тарас Бульба,2020,1393
Бунин Иван Алексеевич,Мастер и Маргарита,1381,1344
Гоголь Николай Васильевич,Судьба человека,1898,408
Некрасов Виктор Платонович,Воскресение,1706,860
Толстой Лев Николаевич,Белая гвардия,1101,1329
Некрасов Виктор Платонович,Судьба человека,1544,1335
Шолохов Михаил Александрович,Листопад,1898,756
Шолохов Михаил Александрович,Белая гвардия,1259,1395
Тургенев Иван Сергеевич,Судьба человека,1994,1066
Тургенев Иван Сергеевич,Собачье сердце,1669,523
Толстой Алексей Николаевич,Русские женщины,1934,1228
Тургенев Иван Сергеевич,Ася,1332,1318
Гоголь Николай Васильевич,Белая гвардия,1287,811
Чехов Антон Павлович,Кому на Руси жить хорошо,1143,20
Достоевский Фёдор Михайлович,Детство,1639,573
Некрасов Виктор Платонович,Тихий Дон,1213,1616
Толстой Лев Николаевич,Донские рассказы,1193,1414
Бунин Иван Алексеевич,Кому на Руси жить хорошо,1804,643
Булгаков Михаил Афанасьевич,Война и мир,1232,697
Гоголь Николай Васильевич,Антоновские яблоки,1531,545
Достоевский Фёдор Михайлович,Железная дорога,1740,884
Некрасов Виктор Платонович,Маленькая печальная повесть,1178,195
Гоголь Николай Васильевич,Братья Карамазовы,1337,1622
Толстой Лев Николаевич,Братья Карамазовы,1549,1267
Некрасов Виктор Платонович,Маленькая печальная повесть,1306,280
Гоголь Николай Васильевич,Мастер и Маргарита,1177,1635
Гоголь Николай Васильевич,Митина любовь,1652,572
Некрасов Виктор Платонович,Преступление и наказание,1253,1407
Чехов Антон Павлович,Аэлита,1844,1301
Некрасов Николай Алексеевич,Ионыч,1898,973
Булгаков Михаил Афанасьевич,Аэлита,1442,1541
Пушкин Александр Сергеевич,Идиот,1771,810
Толстой Лев Николаевич,Медный всадник,1586,1492
Чехов Антон Павлович,Собачье сердце,1298,1484
Бунин Иван Алексеевич,Крестьянские дети,1554,1617
Толстой Алексей Николаевич,Лёгкое дыхание,1589,527
Толстой Алексей Николаевич,Судьба человека,1474,1345
Толстой Алексей Николаевич,Ревизор,1582,1497
Толстой Алексей Николаевич,Белая гвардия,1473,1685
Чехов Антон Павлович,Анна Каренина,1656,1608
Бунин Иван Алексеевич,Железная дорога,1882,1762
Тургенев Иван Сергеевич,Медный всадник,1754,119
Гоголь Николай Васильевич,В окопах Сталинграда,1156,961
Шолохов Михаил Александрович,Мастер и Маргарита,2013,848
Тургенев Иван Сергеевич,Хамелеон,1525,1338
Тургенев Иван Сергеевич,Кому на Руси жить хорошо,1317,1433
Тургенев Иван Сергеевич,Ионыч,1395,431
Тургенев Иван Сергеевич,Собачье сердце,1232,211
Шолохов Михаил Александрович,Ревизор,1538,915
Некрасов Николай Алексеевич,Отцы и дети,1501,317
Толстой Алексей Николаевич,Шинель,1958,395
Достоевский Фёдор Михайлович,Собачье сердце,1345,1928
Толстой Лев Николаевич,В окопах Сталинграда,2021,1989
Некрасов Николай Алексеевич,Антоновские яблоки,1905,149
Гоголь Николай Васильевич,Ионыч,1716,952
Тургенев Иван Сергеевич,Бесы,1177,225
Достоевский Фёдор Михайлович,Ася,2014,1359
Толстой Алексей Николаевич,Детство,1609,484
Чехов Антон Павлович,Белая гвардия,1796,1049
Толстой Лев Николаевич,Тихий Дон,1926,1110
Некрасов Виктор Платонович,Белая гвардия,1898,1078
Достоевский Фёдор Михайлович,Пётр Первый,1505,166
Некрасов Виктор Платонович,Ревизор,1482,1394
Пушкин Александр Сергеевич,Кому на Руси жить хорошо,1500,517
Булгаков Михаил Афанасьевич,Шинель,1834,595
Тургенев Иван Сергеевич,Тихий Дон,1229,728
Некрасов Николай Алексеевич,Судьба человека,1615,123
Гоголь Николай Васильевич,Пётр Первый,1151,571
Некрасов Виктор Платонович,Железная дорога,1167,156
Достоевский Фёдор Михайлович,Белая гвардия,1735,1286
Достоевский Фёдор Михайлович,Идиот,1184,1500
Шолохов Михаил Александрович,Белые ночи,1633,1894
Пушкин Александр Сергеевич,Железная дорога,1473,1035
Гоголь Николай Васильевич,Русские женщины,1825,1268
Булгаков Михаил Афанасьевич,Листопад,1882,999
Некрасов Николай Алексеевич,Антоновские яблоки,1471,1581
Достоевский Фёдор Михайлович,Собачье сердце,1970,1341
Тургенев Иван Сергеевич,Ася,1158,1899
Шолохов Михаил Александрович,Рядовой Лютиков,1524,1240
Некрасов Виктор Платонович,Шинель,1440,116
Чехов Антон Павлович,Детство,1205,561
Тургенев Иван Сергеевич,Лёгкое дыхание,1561,264
Тургенев Иван Сергеевич,Ревизор,1122,1641
Гоголь Николай Васильевич,Записки охотника,1435,1049
Достоевский Фёдор Михайлович,Дом с мезонином,1707,595
Гоголь Николай Васильевич,Братья Карамазовы,1212,623
Толстой Лев Николаевич,Война и мир,1674,1853
Некрасов Николай Алексеевич,Евгений Онегин,1141,1917
Пушкин Александр Сергеевич,Мертвые души,1288,1839
Гоголь Николай Васильевич,Тихий Дон,1882,988
Бунин Иван Алексеевич,Хамелеон,1939,1394
Толстой Лев Николаевич,Хамелеон,1896,142
Чехов Антон Павлович,Русские женщины,1448,754
Достоевский Фёдор Михайлович,Мастер и Маргарита,1680,241
Некрасов Николай Алексеевич,Бесы,1372,1498
Чехов Антон Павлович,Преступление и наказание,1769,1042
Толстой Лев Николаевич,Донские рассказы,1355,551
Чехов Антон Павлович,Судьба человека,1635,1398
Бунин Иван Алексеевич,Белые ночи,1940,1832
Тургенев Иван Сергеевич,Лёгкое дыхание,1520,1752
Толстой Лев Николаевич,Белая гвардия,2011,1033
Достоевский Фёдор Михайлович,Ионыч,1306,1345
Толстой Алексей Николаевич,Преступление и наказание,1233,575
Некрасов Николай Алексеевич,Белые ночи,2017,486
Достоевский Фёдор Михайлович,Ревизор,1583,14
Шолохов Михаил Александрович,Ася,1749,750
Толстой Лев Николаевич,Лёгкое дыхание,1727,1584
Шолохов Михаил Александрович,Крестьянские дети,2006,878
Булгаков Михаил Афанасьевич,Тёмные аллеи,1734,377
Толстой Алексей Николаевич,Хождение по мукам,1376,439
Бунин Иван Алексеевич,Мастер и Маргарита,1527,611
Шолохов Михаил Александрович,Пётр Первый,1474,381
Некрасов Николай Алексеевич,Митина любовь,1712,434
Тургенев Иван Сергеевич,Хамелеон,1172,1474
Некрасов Николай Алексеевич,Идиот,1588,333
Бунин Иван Алексеевич,Маленькая печальная повесть,1368,220
Чехов Антон Павлович,Война и мир,1740,663
Пушкин Александр Сергеевич,В окопах Сталинграда,1555,1458
